MSTAR,MSTARUPPER,MSTARLOWER,UMSTAR,MASS,MASSUPPER,MASSLOWER,UMASS,RSTAR,RSTARUPPER,RSTARLOWER,URSTAR,R,RUPPER,RLOWER,UR,RHOSTAR,RHOSTARUPPER,RHOSTARLOWER,URHOSTAR,DENSITY,DENSITYUPPER,DENSITYLOWER,UDENSITY,FIRSTREF,FIRSTURL,PLANETDISCMETH
1.64,0.08,0.08,0.08,1.25,0.05,0.05,0.05,2.18,0.08,0.05,0.065,1.67,0.07,0.04999999999999999,0.06,0.2225,0.00084,0.02732,0.01408,0.33,0.04,0.04,0.04,West 2013,http://adsabs.harvard.edu/abs/2013arXiv1310.5607W,Transit
1.64,0.07,0.1,0.085,0.0746947,0.0162168,0.0162168,0.0162168,2.56,0.27,0.29999999999999993,0.285,0.424,0.00039,0.09461,0.0475,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.63,0.06,0.06,0.06,1.63682,0.0869215,0.0869215,0.0869215,4.21565,0.135453,0.135453,0.135453,,,,,,,,,,,,,Johnson 2008,http://adsabs.harvard.edu/abs/2008ApJ...675..784J,RV
1.63,0.22,0.22,0.22,1.41789,0.14139,0.14139,0.14139,5.92,0.44,0.44,0.44,,,,,,,,,,,,,Jones 2014,http://adsabs.harvard.edu/abs/2015A%26A...573A...3J,RV
1.62,0.09,0.09,0.09,1.41137,0.130724,0.130724,0.130724,4.29546,0.137771,0.137771,0.137771,,,,,,,,,,,,,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,RV
1.62,0.11,0.11,0.11,2.12353,0.137418,0.137418,0.137418,2.95355,0.0954483,0.0954483,0.0954483,,,,,,,,,,,,,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,RV
1.62,0.18,0.16999999999999998,0.175,0.110157,0.0450996,0.0450996,0.0450996,2.02,0.5,0.41000000000000003,0.455,0.512,0.00006,0.23094,0.1155,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.61,0.12,0.12,0.12,2.24115,0.178426,0.178426,0.178426,4.56407,0.146099,0.146099,0.146099,,,,,,,,,,,,,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,RV
1.6,0.19,0.16999999999999998,0.18,0.0632121,0.0296791,0.0296791,0.0296791,2.01,0.55,0.3999999999999999,0.475,0.391,0.00052,0.18548,0.093,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.6,0.1,0.1,0.1,0.0125983,0.0018866,0.0018866,0.0018866,1.73,0.29,0.2,0.245,0.152,0.00027,0.04373,0.022,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.6,0.4,0.4,0.4,10.014,1.68215,1.68215,1.68215,41.0489,1.31357,1.31357,1.31357,,,,,,,,,,,,,Lee 2013,http://adsabs.harvard.edu/abs/2013A%26A...549A...2L,RV
1.59,0.11,0.11,0.11,0.044402,0.0138134,0.0138134,0.0138134,2.04,0.33,0.27999999999999997,0.305,0.336,0.00026,0.10074000000000001,0.0505,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.58,0.04,0.04,0.04,2.29191,0.155595,0.155595,0.155595,3.61317,0.115753,0.115753,0.115753,,,,,,,,,,,,,Johnson 2007,http://adsabs.harvard.edu/abs/2007ApJ...665..785J,RV
1.58,0.18,0.15000000000000002,0.165,0.696016,0.449896,0.449896,0.449896,1.95,0.53,0.37,0.45,0.871,0.00414,0.41686,0.2105,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.58,0.08,0.08,0.08,1.9747,0.116164,0.116164,0.116164,5.06,0.04,0.04,0.04,,,,,,,,,,,,,Johnson 2008,http://adsabs.harvard.edu/abs/2008ApJ...675..784J,RV
1.58,0.18,0.16999999999999998,0.175,0.0203354,0.005869,0.005869,0.005869,1.95,0.51,0.38,0.445,0.228,0.00028,0.10572,0.053,,,,,,,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Transit
1.572,0.062,0.062,0.062,2.242,0.08,0.08,0.08,2.32,0.14,0.14,0.14,1.5,0.11,0.11,0.11,0.178816,0.029568,0.029568,0.029568,0.88842,0.18564,0.18564,0.18564,Smith 2013,http://adsabs.harvard.edu/abs/2013A%26A...552A.120S,Transit
