MSTAR,MSTARUPPER,MSTARLOWER,UMSTAR,MASS,MASSUPPER,MASSLOWER,UMASS,RSTAR,RSTARUPPER,RSTARLOWER,URSTAR,R,RUPPER,RLOWER,UR,RHOSTAR,RHOSTARUPPER,RHOSTARLOWER,URHOSTAR,DENSITY,DENSITYUPPER,DENSITYLOWER,UDENSITY
2.049,0.152,0.608,0.38,0.023939313942413557,0.017381407275157728,0.017381407275157728,0.017381407275157728,3.638,0.341,1.82,1.0805,0.24623113075673847,0.02319568623070725,0.12311556537836923,0.07315562580453824,,,,,,,,
2.054,0.253,0.422,0.3375,1,0,0,0,3.627,0.547,1.265,0.9059999999999999,1.1695978710945076,0.17664407206461674,0.4077087925935851,0.29217643232910095,,,,,,,,
2.049,0.186,0.947,0.5665,1,0,0,0,7.317,0.465,1.956,1.2105,0.9983066496985158,0.06334206624539286,0.26675039165313336,0.16504622894926313,,,,,,,,
2.039,0.286,0.392,0.33899999999999997,0.08310937799501532,0.022070614894964605,0.022070614894964605,0.022070614894964605,3.462,0.624,1.141,0.8825000000000001,0.4371494712710213,0.07850847647316299,0.14452696805286824,0.11151772226301562,,,,,,,,
2.04,0.29,0.29,0.29,16.1284,1.53491,1.53491,1.53491,12.0698,0.386245,0.386245,0.386245,,,,,,,,,,,,
2.03,0.2,0.2,0.2,1.8997,0.178024,0.178024,0.178024,6.33673,0.202817,0.202817,0.202817,,,,,,,,,,,,
2.018,0.105,0.942,0.5235,1,0,0,0,6.502,0.19,1.807,0.9984999999999999,1.2463220640114625,0.03657781290226912,0.34615100990440045,0.1913644114033348,,,,,,,,
2.018,0.029,0.248,0.1385,0.2463996318530676,0.20519239628775746,0.20519239628775746,0.20519239628775746,4.24,0.227,1.284,0.7555000000000001,0.736016966935903,0.04014638001468562,0.22303544452603125,0.13159091227035843,,,,,,,,
2.012,0.14,0.86,0.5,0.9032599669521525,0.0967400330478475,0.0967400330478475,0.0967400330478475,7.913,0.492,1.936,1.214,0.9840323812488497,0.06155778268918462,0.24087828008811374,0.15121803138864917,,,,,,,,
2.012,0.325,0.928,0.6265000000000001,0.10517999288997992,0.20884042258365382,0.20884042258365382,0.20884042258365382,5.615,2.423,2.532,2.4775,0.5486671935340368,0.2364175711975931,0.24712327253484262,0.24177042186621786,,,,,,,,
2,0.3,0.3,0.3,2.71808,0.292406,0.292406,0.292406,14.3919,0.460543,0.460543,0.460543,,,,,,,,,,,,
1.992,0.159,0.634,0.3965,0.037854874247109774,0.026717039333864157,0.026717039333864157,0.026717039333864157,4.93,0.63,1.889,1.2595,0.30778891344592313,0.04014638001468562,0.11776271470974449,0.07895454736221506,,,,,,,,
1.946,0.218,0.804,0.511,0.2463996318530676,0.17010758020315217,0.17010758020315217,0.17010758020315217,5.183,0.395,1.227,0.811,0.736016966935903,0.05620493202055987,0.17396764673030435,0.11508628937543212,,,,,,,,
1.939,0.175,0.7,0.4375,1,0,0,0,20.237,1.098,4.392,2.745,1.8752820175748706,0.10170416270387023,0.4068166508154809,0.2542604067596756,,,,,,,,
1.93,0.11,0.11,0.11,19.8471,1.48546,1.48546,1.48546,5.34,0.55,0.55,0.55,,,,,,,,,,,,
1.92,0.02,0.02,0.02,0.5,3,0,1.5,1.842,0.019,0.019,0.019,,,,,,,,,,,,
1.902,0.274,0.841,0.5575,1,0,0,0,6.247,0.531,1.582,1.0565,2.1331109914469626,0.1819969227332415,0.5397457757529955,0.36087134924311853,,,,,,,,
1.9,0.3,0.3,0.3,2.97219,0.339203,0.339203,0.339203,9.54834,0.305562,0.305562,0.305562,,,,,,,,,,,,
1.894,0.142,0.398,0.27,0.069418235370156,0.036810156562332816,0.036810156562332816,0.036810156562332816,4.524,0.416,1.665,1.0405,0.40057165836875214,0.03657781290226912,0.1472033933871806,0.09189060314472487,,,,,,,,
1.866,0.143,0.4,0.2715,1,0,0,0,4.185,0.558,1.673,1.1155,1.1017950959585943,0.1463112516090765,0.44071803838343776,0.2935146449962571,,,,,,,,
1.865,0.132,0.395,0.2635,0.02006293496229358,0.010164619923836084,0.010164619923836084,0.010164619923836084,4.189,0.75,1.393,1.0715,0.22125116096982297,0.04014638001468562,0.07315562580453824,0.05665100290961193,,,,,,,,
1.852,0.103,0.19,0.1465,0.02175635692200997,0.009497866899509714,0.009497866899509714,0.009497866899509714,2.784,0.59,0.59,0.59,0.2328490040851766,0.04906779779572688,0.049959939573831,0.04951386868477894,,,,,,,,
1.843,0.262,0.375,0.3185,0.04273499070527703,0.038636840332902836,0.038636840332902836,0.038636840332902836,2.674,0.935,0.862,0.8985000000000001,0.3238474654517973,0.11330200581922387,0.1043805880381826,0.10884129692870324,,,,,,,,
1.839,0.232,0.81,0.521,1,0,0,0,7.052,0.497,1.811,1.154,1.4880924858776803,0.1043805880381826,0.3818366810285655,0.24310863453337406,,,,,,,,
1.83,0.16,0.907,0.5335,0.0349149721244087,0.04714961091343647,0.04714961091343647,0.04714961091343647,4.233,0.785,3.139,1.962,0.2970832121086736,0.05442064846435162,0.22035901919171888,0.13738983382803524,,,,,,,,
1.821,0.0500001,0.0419999,0.046,5.94193,0.30447,0.30447,0.30447,1.73503,0.0562758,0.0562758,0.0562758,,,,,,,,,,,,
1.82,0.13,0.13,0.13,2.20888,0.135116,0.135116,0.135116,5.49553,0.175876,0.175876,0.175876,,,,,,,,,,,,
1.812,0.168,0.671,0.41950000000000004,1,0,0,0,8.121,1.096,2.556,1.826,6.69820047000577,0.9037396212194786,2.1081310216600473,1.5059353214397628,,,,,,,,
1.81,0.08,0.08,0.08,1.83564,0.108126,0.108126,0.108126,3.92062,0.125817,0.125817,0.125817,,,,,,,,,,,,
1.81,0.08,0.08,0.08,1.51716,0.200171,0.200171,0.200171,3.92062,0.125817,0.125817,0.125817,,,,,,,,,,,,
1.801,0.193,0.359,0.276,0.0413207212175713,0.028896086589837777,0.028896086589837777,0.028896086589837777,3.955,0.688,1.376,1.032,0.31938675656127674,0.055312790242455744,0.11151772226301562,0.08341525625273569,,,,,,,,
1.801,0.193,0.359,0.276,0.22070918616032062,0.30319472800871916,0.30319472800871916,0.30319472800871916,3.955,0.688,1.376,1.032,0.7110369971489875,0.12400770715647336,0.24712327253484262,0.185565489845658,,,,,,,,
1.8,0.25,0.25,0.25,11.0873,1.10896,1.10896,1.10896,44.65,1.4288,1.4288,1.4288,,,,,,,,,,,,
1.8,0.1,0.1,0.1,1.52093,0.145785,0.145785,0.145785,9.9,0.4,0.4,0.4,,,,,,,,,,,,
1.793,0.289,0.305,0.297,1,0,0,0,2.955,0.762,0.942,0.852,76.75095717029787,19.787704638349492,24.462527555615104,22.1251160969823,,,,,,,,
