M Y Z alpha diffusion overshoot age X_c log_g L radius Y_surf
1.008134000976565359e+00 2.689701513671868827e-01 1.942806542968735298e-02 1.865969013671893828e+00 7.347393124999972436e-01 1.874946328125004225e-01 4.448394156816917189e+00 3.947399422080442588e-01 4.446751391201552828e+00 9.970845327024161486e-01 9.958403742676764647e-01 2.549637971139920301e-01
1.011650607421878290e+00 2.674381513671874600e-01 1.881128710937485585e-02 1.886840282226582177e+00 7.555174394531222193e-01 1.854470048828126272e-01 4.324979960970722459e+00 3.994000220169687254e-01 4.446985809139152757e+00 1.021445671521520770e+00 9.973844238217443037e-01 2.529174974262559661e-01
1.005706395507815598e+00 2.686959111328121597e-01 1.895765820312485944e-02 1.879869408203143966e+00 7.273882060546851269e-01 1.875610693359378855e-01 4.485176705118985474e+00 3.915830669812354614e-01 4.447426113026369698e+00 1.004269418870221031e+00 9.940711103140031923e-01 2.547178914404230610e-01
9.785782519531217583e-01 2.656224345703128709e-01 1.485895019531245295e-02 1.829669240234390815e+00 9.425376249999997125e-01 2.222479531250009521e-01 4.554373891546969588e+00 4.194554417345823794e-01 4.448327720810792307e+00 1.011978294253978117e+00 9.796603209872234430e-01 2.502422421681269049e-01
1.009127070312503704e+00 2.673646718749997930e-01 1.867170410156235305e-02 1.885394391601582065e+00 7.169555771484353857e-01 1.839063984375000349e-01 4.389224425307527433e+00 3.965316331561589691e-01 4.447315728708941762e+00 1.017275791217475911e+00 9.957764207638437615e-01 2.534477954451385129e-01
1.031911863281251174e+00 2.706191572265630452e-01 2.250376953124987728e-02 1.876851614257830203e+00 5.960365878906256354e-01 1.595380898437499806e-01 4.293875338957900745e+00 3.866003608392576396e-01 4.441800418548671914e+00 1.014661835592667316e+00 1.013092436274724673e+00 2.601044527442885612e-01
1.006820380859378972e+00 2.677428339843749838e-01 1.848662011718733497e-02 1.890163249023459668e+00 7.331548007812477286e-01 1.844573720703125974e-01 4.422039797463780175e+00 3.940979135169377368e-01 4.447464555702898004e+00 1.016590091206222235e+00 9.943875440722896863e-01 2.534123893971654273e-01
1.019088366210939567e+00 2.686156718750000727e-01 2.043361230468736245e-02 1.903904980468770214e+00 8.523300087890601784e-01 1.802234345703127016e-01 4.348321927218068872e+00 3.917034249879146612e-01 4.445657546859843379e+00 1.015895911924597383e+00 1.002652006574871191e+00 2.535387355052940439e-01
1.016875317382813559e+00 2.702255957031248212e-01 2.093229785156235784e-02 1.883791624023456235e+00 8.047524072265594963e-01 1.741149003906251602e-01 4.388184938622311293e+00 3.892271110263759160e-01 4.445366173221424688e+00 9.984870078637471114e-01 1.001830026101551363e+00 2.561972502294050935e-01
1.005445024414064248e+00 2.674738691406244873e-01 1.860693457031234455e-02 1.869077134765643855e+00 6.826054003906234513e-01 1.830904892578126830e-01 4.453936892215721421e+00 3.965797667049581476e-01 4.447671733964615903e+00 1.003469815035318291e+00 9.936687624924651629e-01 2.543609292076340900e-01
1.014732660156251853e+00 2.682342968749996115e-01 1.987128027343736808e-02 1.868856730468768212e+00 7.645951044921844852e-01 1.857494160156254182e-01 4.291176743315661568e+00 4.039298558707645204e-01 4.447867893335780032e+00 9.990631834493199914e-01 9.979836455818773544e-01 2.545251538254841850e-01
1.012055397460940087e+00 2.681142099609372109e-01 1.965172949218736004e-02 1.880984374023455752e+00 7.842599794921848444e-01 1.840429140625004789e-01 4.430055258443869270e+00 3.923109408691533018e-01 4.446515005109982432e+00 1.004837360783743083e+00 9.982722912214223587e-01 2.536410948579410074e-01
1.004261435546878189e+00 2.669779853515623635e-01 1.809784082031233587e-02 1.891500891601584522e+00 6.925856132812482358e-01 1.822602695312500742e-01 4.477038405632002949e+00 3.921132705099841798e-01 4.448305494815510741e+00 1.015830850199405111e+00 9.921937837797700777e-01 2.534538312339199018e-01
1.017715071289064577e+00 2.687392744140624234e-01 2.044621582031235993e-02 1.894574228515644387e+00 8.794046816406217992e-01 1.796188173828128232e-01 4.354946706570035353e+00 3.922805270573367920e-01 4.445727647404706495e+00 1.008750014828550867e+00 1.001868981074720333e+00 2.532624256328913082e-01
1.021823436523439543e+00 2.661651376953123038e-01 1.999353906249986060e-02 1.862621000976580454e+00 7.553334082031225583e-01 1.801511689453128284e-01 4.174710211185263198e+00 4.104045014920705281e-01 4.446976224951692203e+00 1.008233809120179902e+00 1.002392902572948330e+00 2.530632626899220750e-01
