M Y Z alpha diffusion overshoot age X_c log_g L radius Y_surf
8.051692626953185217e-01 2.770875566406246215e-01 9.047229492187528962e-03 1.927214886718741971e+00 2.207373956054694109e+00 2.353744082031265505e-01 4.246069335937510125e+00 5.407704106153640167e-01 4.576854601649899656e+00 4.985715352665820443e-01 7.649843773872503361e-01 2.544534168911701255e-01
7.930329208984402412e-01 2.825047470703118679e-01 9.115730468750013471e-03 1.847358080078123965e+00 1.528114991210934859e+00 2.766793886718758588e-01 5.228504882812501364e+00 5.117023766644814842e-01 4.565606662674774441e+00 5.156469039647476604e-01 7.703608206148389037e-01 2.636366807907926102e-01
7.831924179687553833e-01 2.842653066406235496e-01 7.700604492187552649e-03 1.788542041992182918e+00 1.207232659179691137e+00 2.774508828125011872e-01 5.337426757812493427e+00 5.095082039228827631e-01 4.568455877827076073e+00 5.123173564044214423e-01 7.619440965558554879e-01 2.678598915212842546e-01
7.950407119140699974e-01 2.751912636718753524e-01 9.975736328125003535e-03 2.009875070312492351e+00 2.987438406250019884e+00 1.903936562500018470e-01 5.669906015624993856e+00 4.638394363917079377e-01 4.564496148706553846e+00 4.731598951593289359e-01 7.712986736696521017e-01 2.377890156170200664e-01
7.730039160156267908e-01 2.862918251953114890e-01 6.048818359375020270e-03 1.728969336914063293e+00 8.116004160156243818e-01 3.022705009765627171e-01 5.958473121846195930e+00 4.857410776827352228e-01 4.557695542809655720e+00 5.653052915722908134e-01 7.668167883887515579e-01 2.694373875558041531e-01
7.943805468750039234e-01 2.877637929687490992e-01 9.869884765624999806e-03 1.818486594726560712e+00 1.344292039062503274e+00 3.072145009765628321e-01 6.117656249999984475e+00 4.758709760598803240e-01 4.551062760845705490e+00 5.252770138675166844e-01 7.836266026911841154e-01 2.685186209944824265e-01
7.841820566406310089e-01 2.802285126953118488e-01 9.000563476562504356e-03 1.873561158203124188e+00 1.131310837890629584e+00 2.666275878906264607e-01 6.518530273437480815e+00 4.578054665234294607e-01 4.564125439870303502e+00 4.922099785054765975e-01 7.663364540440373851e-01 2.636286732146599365e-01
7.777870205078130095e-01 2.692729326171889870e-01 9.787788085937451990e-03 1.860828878906250594e+00 6.320605615234355934e-01 4.113637792968772300e-01 9.176130559239831896e+00 4.887280140416346286e-01 4.565385825591361524e+00 4.566421980548249770e-01 7.624664685496722605e-01 2.597451018954791135e-01
8.071092910156300038e-01 2.745128027343760602e-01 1.055177734375000939e-02 2.064712168945306292e+00 2.809942432617206887e+00 1.976016484375019144e-01 5.140673828124998401e+00 4.806437703752537427e-01 4.569658626695147774e+00 4.789718011520532892e-01 7.727921279916218911e-01 2.408430871905176684e-01
7.919486406250039190e-01 2.857796289062484174e-01 7.943830078125048780e-03 1.770778591796873913e+00 6.381675898437507710e-01 3.046498222656259247e-01 5.179644996846212379e+00 5.155009517263845487e-01 4.564244711801180188e+00 5.464253985704434768e-01 7.705123448579076495e-01 2.750225770974594752e-01
7.640443847656225307e-01 2.672279941406274228e-01 9.888965820312491106e-03 1.882161416015613487e+00 1.606634218750005560e+00 3.612145166015630626e-01 1.035141820468128415e+01 4.550300546640183019e-01 4.560828041346111306e+00 4.236509039270717758e-01 7.595968680920900384e-01 2.457332360926983983e-01
8.041552617187465168e-01 2.591774531250007341e-01 1.232476757812502738e-02 1.951814332031252874e+00 7.592768437500013734e-01 2.677866572265641953e-01 9.230836660859459641e+00 4.360894854560828926e-01 4.558227145504503142e+00 4.526444738713174543e-01 7.821758163892120752e-01 2.468820614722264939e-01
7.839000732421921303e-01 2.879275273437479910e-01 8.024058593750047971e-03 1.759787241210933662e+00 6.683096728515638407e-01 2.999478251953134333e-01 5.529145507812494920e+00 5.017129102204531677e-01 4.564060789598661572e+00 5.285431776300687501e-01 7.666405021049106372e-01 2.769479019003238673e-01
8.184345664062518955e-01 2.763038505859374827e-01 1.160537890624998084e-02 1.905603678710952931e+00 7.091859335937518161e-01 2.835329570312504766e-01 4.694208984375001670e+00 5.370935832979254476e-01 4.573743970667142555e+00 4.866309188085610193e-01 7.749117328343224642e-01 2.663061686949698692e-01
7.946522304687563265e-01 2.825558408203120431e-01 9.310809570312498368e-03 1.930368426757801847e+00 2.149761010742193168e+00 2.606559042968768503e-01 4.941947700285539646e+00 5.175564879683020036e-01 4.573203962794909927e+00 4.926416990518692196e-01 7.632813510150249225e-01 2.593162131444457508e-01
7.855298310546893203e-01 2.744079316406260460e-01 1.051212109375000876e-02 1.906289716796887523e+00 1.133061914062503561e+00 2.621885839843762223e-01 7.567221679687507141e+00 4.329527160468245595e-01 4.563928398162274469e+00 4.556844028738737951e-01 7.672247055493828238e-01 2.562535868724014620e-01
7.983180859375027527e-01 2.821706855468735231e-01 7.453787109375053198e-03 1.789624079101566734e+00 1.060387375976564073e+00 2.939496425781256694e-01 4.396468002500544259e+00 5.418542076506808192e-01 4.567485679276514610e+00 5.608832152791942693e-01 7.711092373740793260e-01 2.644848025861211704e-01
7.938626689453101015e-01 2.646479824218762045e-01 1.120151562500002959e-02 1.960008722656245039e+00 1.823217687500008788e+00 2.694921630859394290e-01 8.462101728751008523e+00 4.610141102456291606e-01 4.561536374051428311e+00 4.385178004188892142e-01 7.737050180487570206e-01 2.407625480080873293e-01
7.889698125000051965e-01 2.882480820312491865e-01 9.721029296874997630e-03 1.841199271484369904e+00 1.283660827148440209e+00 3.024823398437507804e-01 5.922329101562485931e+00 4.839586546493010455e-01 4.560540111105748196e+00 5.017217612884836697e-01 7.719886066108625489e-01 2.707549497655671322e-01
7.856334169921938004e-01 2.850470126953115191e-01 9.440250976562506932e-03 1.856798460937491901e+00 1.942962780273439716e+00 2.639005957031267946e-01 6.091923828124975238e+00 4.702681362994714509e-01 4.557359711662082091e+00 4.958333240153928179e-01 7.733028680679925326e-01 2.600757336275834608e-01
7.861141298828201451e-01 2.820356953125005006e-01 9.291971679687510699e-03 1.998888557617172212e+00 2.998885480468767017e+00 2.152074511718767846e-01 5.545981445312500924e+00 4.712096636640196734e-01 4.567404848060486522e+00 4.808677880139142768e-01 7.642963740331474298e-01 2.458129161138022101e-01
7.893030283203170683e-01 2.861382636718741712e-01 9.235335937500014150e-03 1.840341264648432285e+00 1.659501209960938084e+00 2.820783925781261137e-01 5.774384765624986926e+00 4.851088810645267091e-01 4.557657321820452800e+00 5.147834168426158596e-01 7.751854634215895601e-01 2.640515103066573555e-01
7.973605371093757110e-01 2.740777617187507009e-01 8.524363281249973043e-03 1.963143646484383220e+00 4.887651416015593719e-01 3.812015859375009752e-01 7.419374144998831078e+00 4.841236974383344438e-01 4.563796521517163640e+00 5.530341431599682389e-01 7.731922708271931066e-01 2.652629320716134997e-01
7.885826123046933978e-01 2.938391074218737464e-01 1.007043554687496630e-02 1.806383352539059350e+00 6.868951738281289243e-01 3.219430556640626717e-01 5.959791481221196285e+00 4.822039570685612286e-01 4.560634489479927112e+00 5.052578139532494239e-01 7.716624818197801439e-01 2.834411471479227895e-01
7.861269667968755481e-01 2.716880830078141074e-01 9.955566406250006620e-03 1.972779629882804198e+00 1.887945654296878217e+00 2.521156513671899968e-01 7.354117473824360651e+00 4.671352142917080674e-01 4.569640287244953747e+00 4.573413958692720271e-01 7.623659534820430572e-01 2.482454455237627644e-01
8.103789111328190131e-01 2.770501943359375829e-01 9.147375000000039155e-03 1.910088438476557515e+00 2.124333691406256719e+00 2.443853642578138752e-01 3.521021757812497377e+00 5.713548240333879980e-01 4.582218683730828523e+00 4.955087475171048306e-01 7.628927951911589345e-01 2.568409692790353249e-01
7.966051494140691247e-01 2.806826933593744022e-01 9.951839843750014819e-03 1.963548010742180550e+00 2.133907272460942028e+00 2.315868232421892658e-01 5.540190429687491758e+00 4.785584629841502236e-01 4.566434619425804087e+00 4.870746523885606249e-01 7.701514255656847219e-01 2.540988787980473229e-01
7.918047568359413146e-01 2.853038115234358685e-01 7.832967773437544620e-03 1.769825279296874054e+00 8.747501708984396496e-01 3.048675517578134375e-01 5.300126953125004370e+00 5.095515758659582284e-01 4.559588605078986667e+00 5.551118805979724513e-01 7.748923883003070445e-01 2.710503716227123383e-01
7.875915263671932065e-01 2.773582001953125986e-01 8.984378906250020669e-03 1.966216800781241947e+00 2.031302245117192928e+00 2.176529765625018487e-01 5.955174570312497195e+00 4.651559598368698589e-01 4.569587855467989179e+00 4.881634821881954966e-01 7.631977552129238784e-01 2.515668810853512460e-01
8.138391513671926480e-01 2.699501757812515779e-01 1.124606445312508092e-02 2.162495337890614433e+00 4.420866697265676493e+00 1.148128076171884560e-01 4.551337890624995275e+00 4.840071553151167882e-01 4.570394916555831522e+00 4.584958516411622442e-01 7.752071658172356994e-01 2.198756709867963899e-01
7.784867070312480042e-01 2.605391376953137272e-01 1.113123632812496565e-02 1.785571809570313473e+00 6.247528857421866810e-01 4.044966572265653038e-01 1.132289367106578482e+01 4.558568379090897071e-01 4.548931722171522196e+00 4.265246060432938413e-01 7.783872976748359429e-01 2.503514925594673146e-01
7.675107089843759001e-01 2.812144267578132739e-01 9.478585937500005887e-03 1.899802908203128915e+00 5.265244443359355930e-01 2.984877802734390850e-01 8.610400390624993960e+00 4.118411838146202597e-01 4.565823112780376114e+00 4.653679442739063199e-01 7.567338717935496728e-01 2.718385521874497335e-01
7.908211923828198930e-01 2.763065605468756347e-01 9.606580078124996036e-03 1.974997157226558109e+00 2.590939522460948385e+00 2.129065947265646186e-01 5.901269531249990763e+00 4.642870663906806805e-01 4.564719689113699630e+00 4.770978215590211402e-01 7.691192589017077363e-01 2.433702380012822408e-01
7.733323085937461316e-01 2.638972226562517065e-01 1.014184570312495585e-02 1.824076037109371606e+00 6.022089765624987212e-01 3.790109111328142100e-01 1.094673486514348326e+01 4.461952343444717806e-01 4.554255528013430698e+00 4.459475194211667270e-01 7.707408982726592361e-01 2.536577254957763650e-01
7.804920283203207187e-01 2.839858925781247878e-01 9.415263671874988041e-03 1.872905942382803390e+00 2.115410740234378917e+00 2.507451884765644623e-01 6.230024414062473426e+00 4.646275916627393698e-01 4.560703675388253941e+00 4.770448921535752063e-01 7.676039118280093554e-01 2.570209644252008374e-01
8.085303271484379772e-01 2.716644208984385633e-01 7.939042968750018026e-03 1.821009684570322529e+00 2.156890056640630160e+00 2.854986113281258175e-01 1.919253951619090071e+00 6.515068508742952735e-01 4.603481953569907859e+00 4.721544224220624586e-01 7.445392287722343294e-01 2.554309553112074083e-01
8.108920361328184612e-01 2.699790000000015233e-01 1.016518261718755978e-02 2.162059000976557233e+00 4.915481870117250907e+00 1.290925048828137911e-01 3.151269531249994316e+00 5.647692955759041622e-01 4.592863213783383358e+00 4.483091353783384969e-01 7.538819579005993088e-01 2.298967768840791126e-01
7.943947001953168829e-01 2.715140498046875739e-01 9.421503906250015478e-03 1.988717960937501861e+00 1.498900574218751558e+00 1.904617187500011743e-01 6.057055664062494849e+00 4.570895447945512169e-01 4.574224471749465337e+00 4.833315082748968483e-01 7.624722278685716059e-01 2.507866046338277366e-01
8.128720009765649790e-01 2.744038300781259099e-01 1.078414453125001865e-02 2.022809608398432157e+00 2.178947494140631047e+00 2.504933525390642957e-01 4.885348002894411401e+00 5.278195705580452923e-01 4.576919230837352082e+00 4.856490072397353086e-01 7.689222716390863299e-01 2.520777763390863457e-01
7.860621376953162986e-01 2.886969121093729829e-01 8.086664062500041952e-03 1.756086033203123398e+00 7.725392314453135567e-01 3.066793378906257916e-01 5.646494140624992220e+00 4.957185824838837296e-01 4.557841982337015097e+00 5.476312858419367657e-01 7.735451326212691159e-01 2.758555546486751164e-01
7.645439179687555376e-01 2.974448515625002232e-01 9.713187499999992661e-03 1.835791839843746498e+00 8.062650400390626304e-01 3.454525947265615904e-01 8.018397460937494614e+00 4.180901809111063350e-01 4.551027142796073122e+00 5.005374157500122045e-01 7.683996938929800180e-01 2.834230570202431743e-01
7.964265878906230389e-01 2.569418369140634706e-01 1.202684375000002102e-02 1.907746514648438918e+00 1.241845916015628326e+00 3.021477187500009598e-01 9.753888959682292636e+00 4.557162725070059706e-01 4.556612829707720635e+00 4.198819617483196542e-01 7.793563127115953337e-01 2.387720231722193220e-01
