M Y Z alpha diffusion overshoot age X_c log_g L radius Y_surf
1.008823016601564593e+00 2.715382734374995888e-01 2.033743749999988165e-02 1.888619476562518606e+00 8.081297773437463583e-01 1.865310849609378985e-01 4.508229753793215444e+00 3.846439711790904381e-01 4.445920019116077704e+00 9.954349554482042617e-01 9.972180301901646393e-01 2.567062812275036632e-01
1.009154319335940686e+00 2.667544433593747599e-01 1.848599707031235370e-02 1.879511888671895115e+00 7.164242275390606540e-01 1.854428808593751865e-01 4.330707146546129316e+00 4.022924800753024388e-01 4.448608082784346607e+00 1.012526728457993519e+00 9.943262817633783390e-01 2.531781118130896346e-01
1.002296779296878437e+00 2.689718818359371211e-01 1.865123144531235719e-02 1.882390444335956925e+00 7.301060234374969760e-01 1.897223330078128267e-01 4.510477916979317214e+00 3.920340526753255395e-01 4.448554103180222263e+00 1.000344877893998508e+00 9.909845572992873608e-01 2.547361335372947955e-01
1.011488983398437291e+00 2.682493085937490140e-01 1.917959277343735114e-02 1.822222870117205407e+00 6.832415566406240259e-01 1.672940078125003671e-01 4.530236280719401876e+00 3.851909456765329476e-01 4.439098009063439321e+00 1.022444501356211122e+00 1.006714987599105715e+00 2.553516748103940026e-01
1.019938936523443695e+00 2.666242773437501046e-01 1.898371191406236433e-02 1.973583281250024468e+00 8.118838710937487102e-01 1.806167294921875166e-01 4.463915896311258180e+00 3.738394313568288441e-01 4.443497845058336893e+00 1.084066000677518016e+00 1.005292612436179178e+00 2.509326490279971678e-01
1.009697962890628853e+00 2.684423632812500959e-01 1.881170996093736725e-02 1.906341974609396139e+00 7.555616181640603113e-01 1.822154736328128188e-01 4.506343573492287646e+00 3.821374906033577767e-01 4.444404616380507100e+00 1.035154847468152894e+00 9.994893846228699585e-01 2.534890169416185723e-01
1.013120492187499000e+00 2.684032050781240963e-01 2.031796191406234908e-02 1.828968083007826539e+00 7.634314414062465248e-01 1.669946425781254629e-01 4.508673372182080641e+00 3.864183356516810997e-01 4.441722789394092707e+00 9.899421546093692958e-01 1.004239582570301215e+00 2.551616184509473140e-01
1.025736162109377902e+00 2.666966513671878980e-01 1.984210058593736253e-02 1.915239638671896394e+00 8.048182470703110214e-01 1.776984443359376775e-01 4.399207901711985613e+00 3.816657912927293173e-01 4.439944081529467290e+00 1.066248519073619283e+00 1.012659877525440955e+00 2.515950924682179290e-01
1.003429707031249674e+00 2.700172226562487787e-01 2.028227148437491620e-02 1.824822800781263021e+00 7.145908837890582177e-01 2.060588925781259850e-01 4.477515272587424100e+00 4.053134670101208314e-01 4.451067845777395782e+00 9.408054698922616588e-01 9.886568442208366614e-01 2.577677213504569464e-01
1.008225566406250717e+00 2.671341972656242070e-01 1.934372949218736426e-02 1.819489505859389622e+00 6.504763671874979059e-01 1.768360771484382421e-01 4.355626117076343284e+00 4.071352214005445336e-01 4.448568916346835600e+00 9.717720301845593767e-01 9.940196540299093275e-01 2.555301413624677664e-01
1.012032212890626059e+00 2.711380810546871190e-01 2.088637402343737973e-02 1.878635450195328183e+00 8.368092773437461052e-01 1.862893388671878481e-01 4.409316549774482397e+00 3.937215959605046556e-01 4.447598171376132115e+00 9.802560578272104808e-01 9.969772066390589771e-01 2.567917388068802764e-01
1.017690293945315849e+00 2.673146162109377721e-01 1.977081640624987063e-02 1.910412025390645807e+00 7.642127558593726500e-01 1.851900947265628095e-01 4.397187526780980349e+00 3.905698364490111651e-01 4.446402058211482711e+00 1.025288913031584537e+00 1.001151464962271920e+00 2.530236377648238388e-01
