M Y Z alpha diffusion overshoot age X_c log_g radius Y_surf
1.001800869140620831e+00 2.739261562499987757e-01 1.918262695312480948e-02 1.764457500976575721e+00 4.487173505859389233e-01 1.519334892578124985e-01 6.693232002409721382e+00 1.978326986488972983e-01 4.370761170704015264e+00 1.083658203275323473e+00 2.631997749519386365e-01
9.575133447265574693e-01 2.754426142578124126e-01 1.487062988281242538e-02 1.828652300781257622e+00 8.285466484374982565e-01 2.426458623046886254e-01 7.430343370453415197e+00 2.113393235825721805e-01 4.364408554088569758e+00 1.067459547283500454e+00 2.555250356908235765e-01
1.043680911132805367e+00 2.802817822265618597e-01 2.152947363281237231e-02 1.849999781250021069e+00 2.585038583984364258e-01 1.349495537109381138e-01 5.547610930644423455e+00 1.796567506654934976e-01 4.370111196714118407e+00 1.105508818745043031e+00 2.749782196702557080e-01
1.041752106445309689e+00 2.703981210937497215e-01 2.013440722656238691e-02 1.843660564453146300e+00 7.106611503906279381e-01 1.492089580078127531e-01 6.017462209348744651e+00 1.911356744380495187e-01 4.359096578354598073e+00 1.119826346230277325e+00 2.545705767818152165e-01
9.925446835937447032e-01 2.805698105468742987e-01 1.575185937499991654e-02 1.825244229492208881e+00 9.000075410156306299e-01 1.351145498046873727e-01 5.779686578380286655e+00 2.137480664413856091e-01 4.371122465228891585e+00 1.076764680909000793e+00 2.620042770494961926e-01
1.025168025390624571e+00 2.711692724609380822e-01 2.042089160156232777e-02 1.896240646484393277e+00 3.472184443359377926e-01 1.564415195312499618e-01 6.334204952671762534e+00 1.933097149109614943e-01 4.379240978010161101e+00 1.085458573675208926e+00 2.627478552897790642e-01
1.051773870117177934e+00 2.864041982421878796e-01 2.408927441406241363e-02 1.867803879882841134e+00 3.019687148437515400e-01 1.438187539062506515e-01 5.451604515639301596e+00 1.704226375991794440e-01 4.368605278891092958e+00 1.111278700871882297e+00 2.804499582883439035e-01
1.070787803710933961e+00 2.756216083984381338e-01 2.581520898437499739e-02 1.740092366210955976e+00 1.811729960937490946e-01 1.681065878906249367e-01 5.507460940272088656e+00 2.389390736599187326e-01 4.364928820752820293e+00 1.126524745127606808e+00 2.715807571992263636e-01
9.875312763671935112e-01 2.604154560546877994e-01 1.565163476562485972e-02 1.929613531250025105e+00 2.633450810546870691e-01 1.632839326171875993e-01 7.549498661424898671e+00 1.509042929164466362e-01 4.379318968298060000e+00 1.064031555905647908e+00 2.527770586990079060e-01
9.900428193359329665e-01 2.728539541015608250e-01 1.855976562499981816e-02 1.800579697265635160e+00 7.196308476562445211e-01 1.587427333984376687e-01 6.993171909677156073e+00 1.964988611314024136e-01 4.373087504765392097e+00 1.074746964005242944e+00 2.556458706727499086e-01
1.008621970703121207e+00 2.716028652343736027e-01 1.652061035156240920e-02 1.915430808593764356e+00 5.420504140624994305e-01 1.408673242187504504e-01 5.859650765931203154e+00 2.199608899474272128e-01 4.383541870937116336e+00 1.070818238441946679e+00 2.587476069814242385e-01
