M Y Z alpha diffusion overshoot age X_c log_g radius Y_surf
1.006807032226565202e+00 2.688294160156244339e-01 1.913571386718733447e-02 1.864952387695331115e+00 7.342235449218706966e-01 1.710771474609378562e-01 4.415350340040588684e+00 3.923024854675244422e-01 4.446682856755521662e+00 9.953028976266845573e-01 2.547417498381083778e-01
1.005217572265628467e+00 2.697868398437496262e-01 1.882912695312481330e-02 1.889568743164082409e+00 7.832114912109329197e-01 1.718910097656249913e-01 4.312725720126699080e+00 3.962963419035331336e-01 4.449332546459840998e+00 9.914630802606992921e-01 2.549552747256700336e-01
1.004894406250003813e+00 2.682205468749999100e-01 1.876545019531233524e-02 1.873634277343770194e+00 7.460707666015585771e-01 1.729097841796879420e-01 4.439460246545535504e+00 3.926236303963213103e-01 4.447699287462540063e+00 9.932283092292287785e-01 2.538763549620579596e-01
9.713063388671838716e-01 2.702005195312503494e-01 1.478650781249992753e-02 1.837157127929700096e+00 9.256069658203109896e-01 2.061267812500005570e-01 4.545167287437715586e+00 4.082527744972812567e-01 4.448382905423394540e+00 9.756764878520790552e-01 2.545920193182394931e-01
1.003063108398440928e+00 2.694686855468747533e-01 1.857556542968732266e-02 1.886205964843769234e+00 7.734503398437455601e-01 1.691401962890625443e-01 4.349123197841116450e+00 3.938918127379640866e-01 4.449482270560794817e+00 9.901532434575811559e-01 2.548583926002857547e-01
1.028254449218750421e+00 2.707568437500000313e-01 2.241285449218732503e-02 1.865986257812515259e+00 5.379965214843768218e-01 1.508683310546873879e-01 4.336687377260248333e+00 3.848388797318454402e-01 4.441436760663405536e+00 1.011668531559346773e+00 2.612371177921782861e-01
1.002394712890628758e+00 2.687119130859373928e-01 1.832449218749983288e-02 1.888213690429708214e+00 7.172778417968713738e-01 1.677748837890626621e-01 4.407816195936268500e+00 3.899199156212869166e-01 4.449253748597485902e+00 9.899815744882246582e-01 2.548480052604486512e-01
1.012027578125001215e+00 2.692979541015624312e-01 1.991347656249984818e-02 1.898825337890643228e+00 7.370584296874954644e-01 1.672541582031252527e-01 4.390426711173037511e+00 3.870902448948856933e-01 4.447741328873061839e+00 9.967614548262032637e-01 2.562085704836747913e-01
1.014744745117188263e+00 2.697930087890624273e-01 2.069682031249983969e-02 1.882633602539078632e+00 7.021383339843711990e-01 1.633137304687501123e-01 4.410806998214852115e+00 3.868593120859142309e-01 4.446337067098642848e+00 9.997140518870079040e-01 2.575200576068272795e-01
1.002085695312502578e+00 2.686414326171870925e-01 1.852984667968732291e-02 1.875976126953143419e+00 7.682455390624959302e-01 1.666629160156249678e-01 4.379560337165101735e+00 3.952734589431102785e-01 4.449399334633013403e+00 9.898514964326027288e-01 2.543577883982076626e-01
