M Y Z alpha diffusion overshoot age X_c log_g radius Y_surf
1.005294567382816195e+00 2.711415429687505929e-01 1.920364062499985841e-02 1.906438986328141905e+00 3.904558593750011020e-01 1.957558994140624620e-01 7.482922953830664525e+00 1.432562311319324766e-01 4.356923620442156420e+00 1.102734340879817143e+00 2.614536485062836646e-01
1.034916440429688445e+00 2.683512773437507493e-01 2.072843847656236776e-02 1.871606975585952792e+00 5.529935449218781329e-01 1.771726406249998220e-01 6.522739190466243286e+00 1.948428622211548777e-01 4.363270145987821813e+00 1.110350820555476403e+00 2.557458343096373765e-01
1.032177648437486273e+00 2.662321494140605371e-01 2.136784082031218876e-02 1.611121613281259579e+00 1.241208437500008338e-01 6.725232226562533056e-02 6.942977207073657731e+00 1.493424223997723566e-01 4.340471307426224001e+00 1.137707828107614505e+00 2.633071308140147448e-01
1.005037176757807904e+00 2.746966728515616296e-01 1.998343457031227788e-02 1.741495493164071817e+00 3.220224072265621129e-01 1.472721582031246701e-01 7.311263725956324677e+00 1.446146098737435826e-01 4.346701274085139843e+00 1.116377439650351189e+00 2.666821564936922573e-01
1.053087764648438895e+00 2.637840507812511115e-01 2.061359179687491730e-02 1.885209369140642854e+00 4.142201464843758285e-01 1.673039023437497830e-01 6.549216878306853395e+00 1.553788741588086331e-01 4.349706384612158416e+00 1.137678230803648827e+00 2.542768830466725638e-01
1.007091661132806903e+00 2.742546601562489972e-01 2.010147753906229434e-02 1.732521057617198545e+00 4.380529960937525336e-01 1.495482822265623013e-01 7.011921704063373006e+00 1.736499888199461161e-01 4.354087176854206653e+00 1.107838851980545103e+00 2.636579336273661700e-01
1.024830524414053423e+00 2.686925849609358985e-01 2.071117089843726652e-02 1.685801835937509985e+00 3.865896708984373764e-01 1.143337568359371198e-01 6.941842664949885666e+00 1.639421623201409439e-01 4.343615694144419059e+00 1.130656203217124567e+00 2.600485582375275384e-01
1.042982666015620730e+00 2.681382275390626901e-01 2.110252636718735683e-02 1.742160799804702842e+00 4.142280029296894761e-01 1.458307851562497259e-01 6.208332819983809259e+00 2.034335127566700707e-01 4.355928328773845948e+00 1.124350825228951578e+00 2.592278716493313651e-01
1.023054405273437828e+00 2.725066171875003551e-01 1.988950097656233540e-02 1.860170278320325776e+00 3.945086416015639585e-01 1.769010126953122763e-01 7.126522294171431682e+00 1.328529451267667083e-01 4.342144207999960592e+00 1.131707977994341752e+00 2.629964080807033477e-01
1.027105265624999264e+00 2.690445097656252726e-01 2.013058300781232421e-02 1.839017424804702650e+00 3.945088388671888491e-01 1.556909863281247253e-01 6.816210585191655902e+00 1.578303957355621234e-01 4.356466891961072285e+00 1.114934499032772308e+00 2.597279952402118397e-01
9.886327724609401679e-01 2.804698623046875672e-01 1.992170019531231198e-02 1.810308252929699213e+00 2.931523554687504030e-01 1.834953037109378071e-01 7.751014421605309401e+00 1.122417572254432866e-01 4.350282873707036480e+00 1.101530149979102369e+00 2.729382895520871544e-01
1.025667269531248094e+00 2.688589570312506227e-01 2.016908398437482555e-02 1.828539055664078594e+00 2.830396328124987759e-01 1.430502138671876367e-01 6.929087347722186152e+00 1.420478002787378680e-01 4.355944570895234236e+00 1.114905520570519171e+00 2.618307782664153205e-01
1.002989077148436659e+00 2.770128876953124042e-01 2.068097363281229048e-02 1.781009809570324398e+00 3.287061826171877033e-01 1.620522597656248454e-01 7.184233186318383702e+00 1.558511623990634087e-01 4.359202438748350339e+00 1.098281632292068100e+00 2.685480453934892542e-01
9.932913964843731458e-01 2.769663593749994712e-01 1.961278417968729745e-02 1.763692405273450392e+00 3.424942207031244634e-01 1.636180312499998235e-01 7.352583175769980883e+00 1.501388404518564645e-01 4.355773905259725964e+00 1.097998942583752191e+00 2.678418217415279301e-01
1.019006088867177473e+00 2.717176874999989167e-01 2.062318066406225794e-02 1.686967240234386711e+00 4.386799746093775765e-01 1.134515839843746182e-01 6.879981940176129740e+00 1.646762861919092158e-01 4.346706532337792694e+00 1.123981211527979029e+00 2.622180605817684973e-01
9.965685087890605587e-01 2.741911835937492214e-01 2.050600195312484234e-02 1.769839869140639843e+00 3.661573076171878438e-01 1.671870742187498982e-01 7.552980961168900720e+00 1.479593868446986982e-01 4.358194981174205118e+00 1.096608336409498952e+00 2.647340263844815689e-01
9.983836591796879656e-01 2.743825966796872295e-01 2.014283886718735289e-02 1.813639037109388452e+00 3.529534951171880430e-01 1.958198056640623186e-01 7.624274456733800776e+00 1.460091362216230093e-01 4.353965794611710294e+00 1.102829469576830368e+00 2.655263735777127487e-01
