M Y Z alpha diffusion overshoot age X_c log_g radius Y_surf
1.435604195312504050e+00 2.699257714843743550e-01 2.720396679687495448e-02 1.868413352539058936e+00 1.287070895507822943e+00 1.336693183593753997e-01 1.046684350823558152e+00 5.456602469250682041e-01 4.248992901159057034e+00 1.489879625315962075e+00 2.321071366033767291e-01
1.359076663085929670e+00 2.787330068359366031e-01 2.214787499999995579e-02 1.945263050781259828e+00 1.816449736328124287e-01 1.857605097656259974e-01 1.656446168364415605e+00 4.597435322783348099e-01 4.232314270753722241e+00 1.477849744525517872e+00 2.737827405065748065e-01
1.420620916015624458e+00 2.756855595703109341e-01 2.447134277343731776e-02 1.987922951171883668e+00 3.762133710937478615e-01 1.450528056640627561e-01 1.155238451609730266e+00 5.149728120822666400e-01 4.247463338946789513e+00 1.484233798128657078e+00 2.557423881772011298e-01
1.384676033203121603e+00 2.891690673828118396e-01 2.478471874999992747e-02 1.830354281250002657e+00 3.448713652343726732e-01 1.582558457031258969e-01 1.263398602555318551e+00 4.937999506076528045e-01 4.225973582151681285e+00 1.502760849907475160e+00 2.766759837465379013e-01
1.394638862304690585e+00 2.784443984375001846e-01 2.782761621093737814e-02 1.876481220703123842e+00 8.729430283203193364e-01 2.058113710937519991e-01 1.488062606855744541e+00 4.983366183060351506e-01 4.238246742309205395e+00 1.487979738823498543e+00 2.472691763650413932e-01
1.348122220703124485e+00 2.756236171874990037e-01 2.108082031249997393e-02 1.879521544921887610e+00 1.433382965820311439e+00 1.900396445312506066e-01 1.644914287613670867e+00 4.752845989373049584e-01 4.233174145868922267e+00 1.469778460125224617e+00 2.254650699121513446e-01
1.391038335937499371e+00 2.633585595703110127e-01 2.341343261718742408e-02 2.003256297851554901e+00 8.170869072265692923e-01 1.677550048828139184e-01 1.895224140691293746e+00 4.448715869838523185e-01 4.225188791462136884e+00 1.506877946654486822e+00 2.232162480540031413e-01
1.408185068359376402e+00 2.830144843749987094e-01 2.498900488281235316e-02 1.975139153320319085e+00 3.449428203124981218e-01 1.266844189453126546e-01 1.134156953812493374e+00 5.066767901659398055e-01 4.248173756826715497e+00 1.476905250017347182e+00 2.658931846581393255e-01
1.378887312500000295e+00 2.746903017578110617e-01 2.176065136718739398e-02 2.087166998046886324e+00 4.340406542968723302e-01 2.122316376953133077e-01 1.635967947995488281e+00 4.615131056710675139e-01 4.233149852718098849e+00 1.486692550998795159e+00 2.471253508935805643e-01
1.302057725585934911e+00 2.799107519531237043e-01 1.694456152343756794e-02 2.062961729492200469e+00 8.436870214843754379e-02 1.273798300781251724e-01 2.066332430396664588e+00 3.600681198785894432e-01 4.224084989582247651e+00 1.459484885092458883e+00 2.705090272347131508e-01
