M Y Z alpha diffusion overshoot age X_c log_g radius Y_surf
1.080369719726566036e+00 2.638647910156282639e-01 2.107225195312513802e-02 1.861594312500014947e+00 4.540374042968755020e-01 2.141364453124993683e-01 7.050265845795943065e+00 9.651114395585294603e-02 4.288627432267112738e+00 1.234401326267569043e+00 2.543738740035639267e-01
1.062775843749999671e+00 2.700470927734370807e-01 2.021746582031249545e-02 1.827927360351574215e+00 9.851360273437563819e-01 2.142001523437510879e-01 7.344938442187654459e+00 1.124608007526018832e-01 4.262000334320007688e+00 1.263409780275416283e+00 2.481799808476692626e-01
1.094760331054690061e+00 2.567097617187531489e-01 2.241774316406255907e-02 1.792119371093767732e+00 3.107700009765616556e-01 1.781790166015619070e-01 7.207691424628839272e+00 6.638213005135874811e-02 4.283988860718004332e+00 1.250026504439524011e+00 2.500033474244958698e-01
1.078417790039067015e+00 2.712324423828161857e-01 2.174087500000021142e-02 1.854794512695324915e+00 2.173664140624983199e-01 2.112139345703120397e-01 6.767227575260024608e+00 1.009041621753240942e-01 4.294125986104371684e+00 1.225366665235823271e+00 2.665075103423139580e-01
1.046378719726560602e+00 2.714556855468766017e-01 2.093687890624997341e-02 1.798104015625010543e+00 3.380006552734380887e-01 2.059776503906244616e-01 7.884057787541491003e+00 7.675884158103440935e-02 4.277756468961461778e+00 1.230784460532851732e+00 2.641630349938682287e-01
1.053776062500002109e+00 2.753489736328147419e-01 2.051728710937503891e-02 1.903891786132824393e+00 4.278596484375005726e-01 2.217730039062499603e-01 7.415357386261641537e+00 8.548780533002103832e-02 4.280101134721594036e+00 1.231623626875510080e+00 2.662008591214382602e-01
1.098758071289066551e+00 2.571423144531284621e-01 2.238958984375011285e-02 1.816973791015641826e+00 3.944302363281250168e-01 1.912425439453118436e-01 7.094200442474591028e+00 7.231582796266251834e-02 4.283677865792461681e+00 1.252409422261440808e+00 2.490566936618024418e-01
1.098321922851566601e+00 2.675044589843784681e-01 2.285747363281268735e-02 1.895949354492197925e+00 5.942247333984419511e-01 2.139672167968745542e-01 6.800075153014327078e+00 9.187422350478148536e-02 4.278258150880218658e+00 1.259435956009870905e+00 2.561118677924011378e-01
1.084205989257816416e+00 2.697666464843793688e-01 2.277162500000021877e-02 1.817021137695326694e+00 1.557773056640611720e-01 2.030820468749997831e-01 7.048930657397915134e+00 6.552134049062563470e-02 4.281312026603445453e+00 1.247199100953348960e+00 2.664407949461824465e-01
1.103231882812503395e+00 2.549952265625022862e-01 2.357600976562500977e-02 1.759555159179706063e+00 3.275816582031256252e-01 1.618740937499995591e-01 6.864164396444035532e+00 9.365908966492098031e-02 4.297494249855960291e+00 1.236014543448739511e+00 2.472211799421469847e-01
1.107144370117192800e+00 2.554401699218796784e-01 2.261082714843771699e-02 1.827489751953144559e+00 2.576319218749982265e-01 1.863573789062492880e-01 7.014678540733656931e+00 5.546265201811104856e-02 4.283921732184486686e+00 1.256532802940979687e+00 2.503217870117717125e-01
1.039397120117190321e+00 2.809047324218769681e-01 2.070487011718763481e-02 1.889086358398447185e+00 2.842213085937485562e-01 2.274633583984378427e-01 7.642259718780200828e+00 7.221353120545959126e-02 4.280727842305058317e+00 1.222140906797497317e+00 2.747374907262010724e-01
1.105920614257817292e+00 2.575308496093770549e-01 2.286986718750004186e-02 1.790706596679704221e+00 2.001798447265612790e-01 1.670631513671873569e-01 6.829226357957939975e+00 6.843586567890248828e-02 4.283817608651733444e+00 1.257376419119223154e+00 2.525495712017635785e-01
1.072564903320312624e+00 2.747843046874998141e-01 1.974188574218737474e-02 1.837522014648438784e+00 2.789041269531253309e-01 1.526652148437511181e-01 6.073774961102584413e+00 9.387676894498918345e-02 4.296761983030364718e+00 1.217804122188495652e+00 2.660502005341555121e-01
1.090371968750003973e+00 2.583367685546903991e-01 2.126291308593759519e-02 1.859295375976584452e+00 2.677596640624984037e-01 1.935673837890620752e-01 7.099356158866387823e+00 6.738794823305735426e-02 4.288017415481605532e+00 1.241475577169819378e+00 2.520486321756975623e-01
1.033311738281251335e+00 2.797427519531265894e-01 2.073315917968755057e-02 1.877670861328133212e+00 4.362775517578129092e-01 2.293431308593751605e-01 7.946316676759695774e+00 7.338912962279622865e-02 4.278125447636494272e+00 1.222146253278987293e+00 2.705065704614820765e-01
1.071799709960939317e+00 2.732111425781276748e-01 2.236695019531262027e-02 1.852243743164069034e+00 5.416790253906278441e-01 2.226770478515621710e-01 7.070767368100093542e+00 1.130947738420834681e-01 4.286437247456206023e+00 1.232534207030226092e+00 2.626745164732688376e-01
1.073454753906254444e+00 2.721916640625029471e-01 2.154380566406260272e-02 1.876795419921888586e+00 2.663360273437486159e-01 2.057806015624995266e-01 6.922520103890176024e+00 9.076953129002165999e-02 4.291165348241595012e+00 1.226981474289134511e+00 2.667141239903252914e-01
1.079129570312501896e+00 2.608821552734405524e-01 2.213818750000007968e-02 1.783479934570330494e+00 1.407271523437492455e-01 1.748927353515618843e-01 7.467873469350137405e+00 5.073755756095040675e-02 4.285659395769644497e+00 1.238419397410846390e+00 2.576825419627902791e-01
1.112268163085940564e+00 2.590372812500018607e-01 2.384423730468751210e-02 1.777018812500013034e+00 2.000601044921865301e-01 1.614105224609378442e-01 6.320505952879970302e+00 1.043197448785376791e-01 4.300708106151194698e+00 1.235969196822196192e+00 2.532826592295631674e-01
1.125326452148444067e+00 2.536583544921889866e-01 2.281377929687497183e-02 1.808449975585952219e+00 2.798343222656239360e-01 1.559545117187507435e-01 6.129196332299370553e+00 8.444153034851729911e-02 4.297762975170145161e+00 1.247114614372875963e+00 2.461496778412763931e-01
1.057767179687498560e+00 2.657405585937521741e-01 2.092987988281251599e-02 1.802251079101574671e+00 3.662982207031254545e-01 2.050999833984371024e-01 7.539017271991827585e+00 9.585264760076026014e-02 4.292163410521634859e+00 1.216784349036382995e+00 2.577676002568238256e-01
1.119381549804692400e+00 2.540821123046915764e-01 2.349077050781269577e-02 1.805174941406271216e+00 1.647042304687486303e-01 1.751596630859370285e-01 6.479112369276890604e+00 8.206683244628369678e-02 4.298785035004121013e+00 1.242666761464224390e+00 2.499047323656256037e-01
