Teff Dnu0_median r_sep02_median dnu02_median Fe/H r_avg10_median r_avg01_median
5.977920198912957117e-01 4.191360589619103766e-02 1.810881782306070498e-01 5.791655402734685598e-02 9.066925826652978693e-02 1.378520816162880948e-02 1.683517552640084042e-02
6.043515447225336068e-01 5.095363731301813526e-02 1.839053867224006433e-01 2.634021868488239243e-02 8.281072770463335231e-02 2.181883313805862284e-02 2.981965171447320886e-02
5.593748869853334416e-01 5.587945323376997814e-02 2.275828634283569019e-01 3.089336671387273373e-02 9.298623482879600499e-02 1.575117341005171853e-02 1.753202139981908936e-02
6.439709329866776244e-01 5.027675016048328144e-02 1.506048497376653861e-01 5.688743285225156959e-02 5.049584673908058541e-02 1.490990585616254818e-02 3.285428166767880021e-02
6.091558825185334758e-01 4.029718377154811043e-02 1.857354460005295194e-01 7.266308840676412306e-02 3.651710203915284336e-02 2.857230686607234796e-02 2.705899039739980902e-02
4.379248080103648189e-01 5.210537262619875654e-02 3.191123819001398521e-01 3.570359803785504854e-02 1.206781630460328908e-01 2.236863387216686538e-02 1.210704250724181467e-02
5.839178326916717454e-01 4.527381813362182233e-02 1.961956755444600464e-01 5.979239127319203179e-02 6.553662353457619105e-02 3.392780193663639393e-02 1.535585688584179161e-02
5.856791565379426689e-01 4.278150615829683090e-02 1.601934479382178533e-01 1.858702951458880356e-02 1.237810999065219048e-01 5.207562884214531063e-02 1.690213110228663135e-02
6.347639042066313131e-01 4.530321000110243412e-02 1.812336217507367064e-01 4.389373923038337316e-02 4.350570216555735281e-02 3.758505861760839256e-02 1.371476402798055445e-02
6.126996663842070312e-01 4.930234584104888768e-02 9.994300699455317682e-02 9.562437523668820827e-02 7.997986670222231864e-02 1.418909278053102907e-02 4.826164606074929975e-02
5.705910979531286786e-01 4.486948371656321322e-02 2.299549132093253456e-01 3.536283714995000493e-02 4.483235594322953349e-02 1.874217438552462645e-02 5.564713764227853521e-02
6.120181118111680529e-01 4.472007404580045226e-02 1.751820438028209859e-01 3.346628379891242178e-02 5.698810333240567766e-02 4.213126991856957354e-02 3.549411329032296086e-02
5.312181843731401676e-01 4.804011420860164472e-02 2.318875654122061480e-01 2.919292446089711418e-02 1.215523992416082250e-01 1.228104446155973278e-02 2.582776784198714815e-02
6.164353054820710387e-01 4.546922706263475250e-02 1.833320193883185012e-01 5.641318743831653243e-02 6.839179470951049777e-02 1.409588440615998362e-02 1.586258151298882216e-02
6.369367238697775102e-01 4.990140741001426045e-02 1.682354051847593512e-01 4.810886330364076008e-02 7.257816812637675474e-02 1.184154023217528703e-02 1.239789187325607105e-02
6.271598305305936538e-01 4.723166055915583444e-02 1.279545633036857644e-01 5.788827712884524190e-02 6.905180198361772492e-02 4.877890532135401025e-02 2.193496117274766968e-02
4.403068425224758720e-01 4.105325532781841508e-02 2.247757477815577332e-01 4.542159551693667613e-02 2.196635618374484511e-01 1.273215497577044608e-02 1.604684203799230588e-02
6.316483507540878728e-01 4.239697657542464831e-02 1.702631807912476092e-01 6.063874643579461599e-02 5.205328375576822458e-02 1.867186838859072329e-02 2.432759329908624341e-02
5.064528254933681195e-01 4.618971499773558143e-02 2.779396272168082604e-01 3.231771608570933874e-02 6.229405478469421387e-02 2.743202692759854830e-02 4.737403449408607303e-02
6.178248018341014891e-01 4.636458860808142374e-02 1.676003192197741687e-01 4.691551310736646191e-02 3.354493075106815964e-02 1.171917728395444752e-02 7.603066919565391879e-02
4.366059608564484273e-01 1.251901162521857069e-01 2.851777352243495822e-01 4.526597703797521216e-02 6.458554534891262910e-02 2.405815356070943947e-02 1.911651171941908256e-02
4.975746975085944546e-01 1.152208759878690231e-01 2.247544028424416918e-01 6.141956945260620276e-02 6.582702326506308099e-02 2.270060184124440480e-02 1.250282910218119582e-02
