Teff Fe/H Dnu0_median dnu02_median r_sep02_median r_avg01_median r_avg10_median
4.074687504921007952e-01 1.951975833575341768e-01 1.051732259030091904e-01 8.191365694333523073e-02 1.062840233520173649e-01 9.178851798362572256e-02 1.217424196837756621e-02
6.300354586801487633e-01 4.487204617793964095e-02 1.547078104766411721e-01 7.323792172977292014e-02 4.087200004650964197e-02 3.659614497321816984e-02 1.967861791576961186e-02
6.125880472787480491e-01 4.787679361614612106e-02 1.853144779917038909e-01 6.511099090715233295e-02 4.102078980281491372e-02 3.508431279059077978e-02 1.300458761284405476e-02
5.887328107318576809e-01 4.056322871469110469e-02 1.798391687113410353e-01 5.629913611265352502e-02 7.221993413007873897e-02 4.211385746025483878e-02 2.023186413912312492e-02
6.102605059319342606e-01 4.515723423533084951e-02 1.274952744113827530e-01 3.269824985326839906e-02 5.918967261141179492e-02 1.045783056909311975e-01 2.062075726574085985e-02
6.159593343921683228e-01 4.042863632983118710e-02 1.742305066478091746e-01 4.687995122818568866e-02 9.368730496441039779e-02 1.466751182509802576e-02 1.414675461249732293e-02
5.377650138276834912e-01 7.863011441845395300e-02 9.589731898232330132e-02 5.085166826869222390e-02 6.299306726515346844e-02 1.084029812084338906e-02 1.630225191168500898e-01
5.755512893170917632e-01 4.399867148632867486e-02 2.401035594306497323e-01 5.856181820498753549e-02 4.707278764120696735e-02 2.036339812765123464e-02 1.434847579208413208e-02
5.924836959262290703e-01 4.336755012844993595e-02 1.906676410005601896e-01 4.179349109791619804e-02 1.000253814517176876e-01 1.479759145119727629e-02 1.686464894392959712e-02
5.727618741010631620e-01 4.228807036435731220e-02 2.202887513632586780e-01 4.209236995533677944e-02 4.799812176180595635e-02 5.300162261273726888e-02 2.156918984144073556e-02
6.116980477427967910e-01 5.087189465013514100e-02 1.506793937382341630e-01 7.359050011802462099e-02 5.688576299368562628e-02 2.435503940553740074e-02 3.191936135158630894e-02
5.030277877960678268e-01 4.201146797720719389e-02 1.380309685225492577e-01 8.767152344247468310e-02 7.018768901062377719e-02 1.475927392767147628e-01 1.147782397436230249e-02
6.119818463665817054e-01 4.822282830364873346e-02 1.390392430152424530e-01 5.592418231799770739e-02 7.877894346798676450e-02 2.963232141495703714e-02 3.642063511358557826e-02
6.153596512084111847e-01 4.771488666189194205e-02 1.363229275778664595e-01 7.306937018457328181e-02 6.176544775231796597e-02 1.126861053543370961e-02 5.449910607950535918e-02
5.678248642200922625e-01 4.352482935325846514e-02 1.810060004606489081e-01 3.003640095899189413e-02 6.926255349970500408e-02 6.101330167886288847e-02 4.733204982844053249e-02
6.158214162840582873e-01 4.348546277670740229e-02 1.734925748135589807e-01 8.948978745241001342e-02 4.359738359660229878e-02 1.538273713770238818e-02 1.873063793896045937e-02
6.312605488447635693e-01 4.331577028315624495e-02 1.105181381405014041e-01 7.742949005075359936e-02 4.280491433993443423e-02 7.375015589600444899e-02 2.092098244488633726e-02
5.030035222314944710e-01 5.065674019080562696e-02 2.212830009009120469e-01 4.699598985300711129e-02 4.791985615619122341e-02 8.858558757466977740e-02 4.155530309291973617e-02
5.825727072042284904e-01 4.236575650656162345e-02 1.493447597311478858e-01 2.804684927619064544e-02 1.094297080227897290e-01 5.794473262526877999e-02 3.029548663381287713e-02
6.213947823836778461e-01 4.657389402999086159e-02 1.330989258904003991e-01 9.611688136196852583e-02 5.753052997260058032e-02 2.270819592647522686e-02 2.257679043488671627e-02
5.625637223690804767e-01 4.378319207589867479e-02 9.700440150479271162e-02 5.390757555042310217e-02 4.295667508912111299e-02 1.852817328469786029e-01 1.450270056370523385e-02
4.986245996237370637e-01 8.840032186098867317e-02 2.302178367758463129e-01 5.399970676737635839e-02 9.786254113429092294e-02 1.551028655202161405e-02 1.538470728573904101e-02
4.377923680067004608e-01 4.276107482305530061e-02 3.143214130826686992e-01 7.248305157181947345e-02 8.313807077279031232e-02 3.519567347809286761e-02 1.430834826487293113e-02
6.008552749749132005e-01 4.411046638334127634e-02 1.621855097563969228e-01 5.740654946882520204e-02 6.945091229563327140e-02 4.630939671080466086e-02 1.968189041008552159e-02
6.232036442975559254e-01 4.476645309994286420e-02 1.821355130339830375e-01 2.514548886868241823e-02 7.717260931749637953e-02 1.274085525376866465e-02 3.483543612857083194e-02
5.854699943928827199e-01 4.827418766471665290e-02 1.973348570584146644e-01 2.826304787872544952e-02 6.022624991383719595e-02 3.001306248434258694e-02 5.041860060708076852e-02
5.845138560145121120e-01 4.443995454785171217e-02 1.566249054614875513e-01 8.200817418601470676e-02 4.326777328751420931e-02 2.338766757571475799e-02 6.575766892690490528e-02
5.848541819112861306e-01 4.448780092436473155e-02 2.024101376759335214e-01 6.715727677931242201e-02 5.310986076677608192e-02 1.783142055605966420e-02 3.014932138626742752e-02
5.523513081544311198e-01 1.128384419887395185e-01 1.150763292451669334e-01 6.875130582459874906e-02 8.489694677467192474e-02 2.210294319881663319e-02 4.398272481357515945e-02
6.307975081103239789e-01 4.553341471341396107e-02 1.448510770464140895e-01 5.277626345234896765e-02 5.631896336631580374e-02 1.515862698658936546e-02 5.456414632459387348e-02
4.941901861110254424e-01 5.229265626564979369e-02 2.299713195780915820e-01 3.137577671209317021e-02 1.025950143039291579e-01 7.810963362499785678e-02 1.146541340421294158e-02
5.952940735021945429e-01 5.233053263670383454e-02 1.934916433870854380e-01 3.924094683095352004e-02 5.219992173455478141e-02 3.761640836856910974e-02 2.982647353993883241e-02
