r_sep02_median Teff L Fe/H dnu02_median r_avg10_median Dnu0_median r_avg01_median
5.749345464965256725e-02 3.204005484470301424e-01 1.081787645000289177e-01 7.481398445034882771e-02 1.894838090650588502e-01 1.623703881257256287e-01 4.919879489993904398e-02 3.806025586221604279e-02
1.258893352645011621e-01 3.071429656956766174e-01 1.142456624188990799e-01 5.498382849363644964e-02 1.541135121512026140e-01 1.305303506230890143e-01 5.083009078955955801e-02 6.226425456343560177e-02
2.350846161690202940e-01 1.998275796394506643e-01 1.081452504949992066e-01 4.259021239923839464e-02 1.207573819571719359e-01 1.613849647214003480e-01 5.139504900112634028e-02 8.081494561759290651e-02
8.013870740552603289e-02 1.128715986444002034e-01 1.204324710995873099e-01 4.913236630098859886e-02 8.669152953829378783e-02 3.675582199658588567e-01 3.372621449676838079e-02 1.494488925485767949e-01
3.265688504742713105e-01 7.897210378604549441e-02 1.319984866728181883e-01 7.587890792805777884e-02 1.284144180986307726e-01 1.694950896799020390e-01 3.962915685235431085e-02 4.904298650792005693e-02
9.349003518001865187e-02 3.004754724961021806e-01 1.164726241895274184e-01 4.732767086228326092e-02 9.322583561567630850e-02 2.082933883024088995e-01 1.068383510999959540e-01 3.387662225398723609e-02
3.158330696495307288e-01 1.007701590278516357e-01 1.232192388588136261e-01 3.335142441325690543e-02 1.260046752108221757e-01 1.647107327102650676e-01 4.136484970383018378e-02 9.474585042562963522e-02
1.269900872731870300e-01 2.886559450822780981e-01 1.168663447271655748e-01 4.170680450435734765e-02 2.246178592944768626e-01 9.361977678482229226e-02 6.801293424030252499e-02 3.953024809341014467e-02
8.131366740830069106e-02 2.525654984724041707e-01 1.107672146762568310e-01 5.621874729449165969e-02 5.617521726049781033e-02 1.655101014862442044e-01 3.303369753376422108e-02 2.444158558680404880e-01
1.316942824269277390e-01 2.812157987658841507e-01 1.220665003410341398e-01 6.082416121476570681e-02 1.301676986288153315e-01 1.255906351389322051e-01 5.790816888570816945e-02 9.053275459793257152e-02
2.495926251577017252e-01 9.309294942127793737e-02 1.334400849107979792e-01 1.340475461976637361e-01 1.949879534197289099e-01 1.231613243859177587e-01 3.607547691410745855e-02 3.560203959280435621e-02
