Teff dnu02_median dnu02_slope r_sep02_median r_sep02_slope r_avg01_median r_avg01_slope r_avg10_median r_avg10_slope
6.227896166728052324e-02 6.668710214135795122e-02 6.765866289688070301e-02 8.851383312352173460e-02 7.461085720942817190e-02 1.033008781418471578e-01 7.656891790889737426e-02 1.650529339852387922e-01 2.953278529255475848e-01
6.108129347606711113e-02 6.055632231981904201e-02 7.587532222501716661e-02 7.087913819317691322e-02 9.995078984886957008e-02 1.013982898858770687e-01 8.072319472037539634e-02 1.600026448315793881e-01 2.895330044992183716e-01
6.165294105257312224e-02 6.766863121230468070e-02 7.641807068018743876e-02 6.941772971990045615e-02 1.032952972722615687e-01 9.696843920454067955e-02 1.059032159437552911e-01 1.472753093256526369e-01 2.714003655888241884e-01
7.024789687602002453e-02 5.505747902517256487e-02 6.749475550766478871e-02 1.054426110082491291e-01 5.413519404629364012e-02 9.143843190608921812e-02 9.772565773087403540e-02 1.602743333012746074e-01 2.981836405983620542e-01
6.358591601728154352e-02 6.369886351080132625e-02 6.651182850136933000e-02 7.267764969014611776e-02 1.144087656316786772e-01 1.041082296132980617e-01 7.590975471173812272e-02 1.469548073734732174e-01 2.921441849502135479e-01
6.078970985362522339e-02 6.495080054976551387e-02 6.826715247497182337e-02 8.478246331030218907e-02 8.787243451725770815e-02 8.708448527402125328e-02 1.475671222057352017e-01 1.508312848927980954e-01 2.478545469215229780e-01
6.811947782281083108e-02 6.978730477209144079e-02 6.150066730104439966e-02 5.560194333205728534e-02 1.297779325958820507e-01 9.649458765557934747e-02 1.037975007289870383e-01 1.394653052962755158e-01 2.754552804952721812e-01
6.629049912715402615e-02 6.158769759963862722e-02 6.707296334609912092e-02 1.012608966907659336e-01 7.020406703568493612e-02 1.020413502294437308e-01 6.715339004347543883e-02 1.634959194444076669e-01 3.008932164833305056e-01
6.431497311890199686e-02 6.027318756047331944e-02 6.893839384910760426e-02 7.592952776294741024e-02 8.633215133482079195e-02 1.064801127482300352e-01 1.026342297581109703e-01 1.478624996904220612e-01 2.872349241769858175e-01
6.183788088585796816e-02 6.130245548113128634e-02 7.581218977340627163e-02 9.251576624566661133e-02 9.391133884913972774e-02 9.669308043527924390e-02 8.186196848892209055e-02 1.567095032191417048e-01 2.793558166214550886e-01
5.543847495659892655e-02 8.024268278664027643e-02 6.774213128741696233e-02 5.756145394393712145e-02 1.100063950693617176e-01 9.160017691095144465e-02 1.532058985141542262e-01 1.457854434182986603e-01 2.384173431126405396e-01
7.518506714175418604e-02 5.698709601966040622e-02 7.059298027912042084e-02 8.751746827028414333e-02 7.931552141196478167e-02 1.184458261972720916e-01 6.299631884765202749e-02 1.618010492920766430e-01 2.871586725402151541e-01
6.469590522313455050e-02 5.784821662630183770e-02 6.018535561549014784e-02 7.206745363077975142e-02 1.019257264911219568e-01 1.157347247240159555e-01 8.126419762314664175e-02 1.536253202273910046e-01 2.926530998386180915e-01
5.548113758493537079e-02 6.777150601172951538e-02 7.920440797453347226e-02 6.159702651999268003e-02 1.106344132610222325e-01 8.707292230870830596e-02 9.970395551289847058e-02 1.431227291694495418e-01 2.954119016567303690e-01
5.503854326615253284e-02 6.631687241177607051e-02 7.093289503528692197e-02 9.216843218909394342e-02 6.490149088152931400e-02 8.089715741689344763e-02 1.632409890264843455e-01 1.549394557336644385e-01 2.515641640391190204e-01
6.365482965394084203e-02 6.281870942258785395e-02 6.810237791104017946e-02 8.283177155012912130e-02 6.726840597349272033e-02 8.884214407439730565e-02 1.475459652140962141e-01 1.740055259996778902e-01 2.449302702006378174e-01
6.739745770313471107e-02 6.701396217581645498e-02 7.301631802029626139e-02 9.834031562074634081e-02 5.272340922935331298e-02 9.756008424566649240e-02 8.847057990449699871e-02 1.499226465224923754e-01 3.055552265779968857e-01
7.604180003238499019e-02 5.750493890864330493e-02 7.610156957861197169e-02 6.657798230804731765e-02 8.728447541449287084e-02 8.104455743218877406e-02 1.245271993158558188e-01 1.605227924807122175e-01 2.703946845290626788e-01
6.646720008324283335e-02 5.681146517278420210e-02 6.457969784649891798e-02 9.915032587210834136e-02 6.909676021655294931e-02 9.476339679466985744e-02 1.090288492077215732e-01 1.519791012278103037e-01 2.881232035786109869e-01
6.248941364257660364e-02 6.503858636039148988e-02 6.448470078580936793e-02 1.018584245490512241e-01 7.183005289244401292e-02 9.906430806323911209e-02 1.411389481283192582e-01 1.504059772913002857e-01 2.436895882868686525e-01
6.055235240728037288e-02 7.666537989471877701e-02 7.814328845276932722e-02 9.254962873781502619e-02 7.987215244685881566e-02 1.003501656359000044e-01 7.976033886302406894e-02 1.338114072557969603e-01 2.982952863058365156e-01
