M Y Z alpha diffusion overshoot age radius L log_g
8.999295727539086132e-01 2.716782641601557802e-01 6.267919921875034044e-03 1.692019449218747917e+00 1.195871294433599852e+00 3.982910947265678736e-01 9.384431072126766082e+00 1.279898277365966397e+00 2.419386333323128468e+00 4.177931999559331366e+00
9.102122773437516523e-01 2.759193735351559984e-01 7.863348144531245518e-03 1.860766547363277068e+00 1.184694027343750955e+00 2.855662167968751053e-01 8.972797341726362674e+00 1.204611108432742883e+00 2.154712999361383829e+00 4.235358099143807564e+00
8.645050908203144591e-01 2.673935888671867822e-01 4.030230468750055361e-03 1.677614637695310496e+00 1.232661147949227765e+00 4.218222924804755358e-01 1.022381319343804407e+01 1.278909292182645041e+00 2.382084583441498538e+00 4.161558733084667061e+00
9.929156333007802537e-01 2.829513837890628158e-01 1.422371826171877317e-02 1.858176777832027282e+00 1.226902916503899599e+00 1.611949819335928291e-01 6.990082805858977899e+00 1.199444246563552641e+00 1.999613237895315088e+00 4.277113687907595718e+00
1.040750514648439928e+00 2.711305146484374040e-01 1.142207714843747508e-02 1.826815827148437821e+00 1.289531393066403631e+00 1.731335039062495695e-01 6.188624095070005104e+00 1.310699923399590405e+00 2.575025246053978645e+00 4.227726455213213441e+00
8.753217548828142736e-01 2.715626059570306894e-01 5.254755371093801364e-03 1.792656617187496471e+00 1.172148183593754611e+00 3.866649345703165874e-01 9.874087028943666411e+00 1.238450226544556498e+00 2.285653387824972071e+00 4.194531851570035386e+00
9.559539565429699959e-01 2.701600908203123375e-01 8.759823730468761782e-03 1.866645848632809912e+00 1.203563671386715939e+00 2.090348754882802029e-01 8.000132881452696409e+00 1.218926410462569221e+00 2.246998881681627758e+00 4.248723003514326635e+00
9.863003081054685373e-01 2.640516132812498751e-01 8.953641601562527252e-03 1.895015791992184173e+00 1.151166778808591529e+00 2.608906997070313816e-01 8.133488399741054309e+00 1.297785091655331069e+00 2.460582947177442747e+00 4.210089153979866161e+00
9.768823554687492416e-01 2.838515620117190719e-01 1.394098632812503132e-02 1.860396825195308468e+00 1.251527030273430041e+00 1.608417114257801595e-01 7.349073729419746570e+00 1.189889417682586048e+00 1.923902583781919695e+00 4.276884184960862534e+00
9.679882128906253103e-01 2.746550786132810340e-01 1.160729394531251173e-02 1.828537958496089466e+00 1.203767745605467843e+00 2.935700092773443903e-01 8.107123929259930861e+00 1.259672353218479701e+00 2.243339494918897614e+00 4.222897184434398099e+00
8.716088940429707055e-01 2.704958950195304745e-01 4.184258300781308441e-03 1.680235832031248266e+00 1.282594561035164560e+00 4.165949521484454965e-01 9.758301185049120363e+00 1.264033333930506764e+00 2.415515137035467053e+00 4.174079698765700286e+00
8.941957153320333473e-01 2.734165258789058028e-01 6.676380859374998235e-03 1.809252255371089912e+00 1.208189922363283930e+00 3.449179829101600148e-01 9.561222203104946971e+00 1.238371231982082543e+00 2.284899842058826902e+00 4.202875207412361647e+00
9.077085629882850615e-01 2.575231528320308105e-01 4.411808593750046227e-03 1.700376672363278718e+00 1.022929824218756778e+00 4.291834580078178751e-01 9.407315434459944115e+00 1.302299923698746253e+00 2.573638069152522245e+00 4.167748567393502412e+00
9.948972441406253031e-01 2.780794804687498623e-01 1.283129150390626728e-02 1.825905115234371268e+00 1.094996899902344056e+00 2.088411469726552117e-01 7.041590074602489757e+00 1.199731465966484834e+00 2.059686223193605503e+00 4.278234739006640197e+00
1.081859445800781083e+00 2.719780263671875975e-01 1.555240136718741457e-02 1.864203089355466858e+00 1.209732907226559684e+00 1.831840805664054495e-01 4.680110907086996619e+00 1.230807044095244107e+00 2.208160688818002981e+00 4.299910675669892157e+00
9.337510375976588728e-01 2.503467675781248514e-01 4.620631347656249319e-03 1.759441219726558314e+00 8.561899697265644704e-01 4.346453452148430485e-01 9.401383589538609087e+00 1.358882405981858499e+00 2.540095691362322494e+00 4.145866013702813824e+00
9.046887558593795786e-01 2.483964199218747226e-01 3.495110839843764035e-03 1.728774826660153030e+00 8.476643002929759030e-01 4.442369335937522701e-01 9.767773670500577765e+00 1.340946874174497427e+00 2.510017643158222622e+00 4.142950022169700652e+00
9.359962241210949552e-01 2.854078388671877908e-01 1.112376367187501228e-02 1.888110780273433154e+00 1.274782986816397790e+00 1.963891225585925604e-01 8.354234092071870066e+00 1.196048337212479717e+00 2.049961345011190872e+00 4.253017464877919096e+00
