Teff L Fe/H Dnu0_median dnu02_median r_sep02_median r_avg01_median r_avg10_median
6.194574612736774427e-02 3.657468381048105677e-01 1.067356624491686556e-01 1.023367986654104278e-01 1.552642420630362396e-01 8.056711018161623328e-02 9.150977153039871470e-02 3.589383087819132678e-02
6.381266228494616999e-02 2.813190421981491829e-01 9.629719712372444840e-02 5.395503262926597265e-02 6.474538739889322547e-02 3.531635030844396117e-01 5.920406100190880178e-02 2.750311427867257671e-02
8.122573482419469248e-02 2.065721811506241179e-01 1.089193585501447986e-01 9.017695148290366669e-02 7.217000300338620444e-02 3.682470356663065658e-01 3.171097424667192882e-02 4.097776107576813626e-02
2.831420434023301236e-01 1.280807010479417252e-01 1.382832806363462341e-01 5.244639374354961858e-02 1.544967306540473428e-01 1.719161433798658545e-01 3.398444194368359372e-02 3.765026519223542423e-02
3.078773532864201301e-01 1.300459253383572933e-01 1.247151065246292906e-01 4.636567105344501644e-02 1.156236386536551308e-01 1.107466108456750531e-01 7.500303212811178233e-02 8.962266216970624089e-02
6.278972914489186485e-02 1.947417245385737461e-01 1.042674743995742198e-01 4.896029026762577230e-02 2.544938467499467324e-02 4.860998034898041942e-01 4.643026323464418542e-02 3.126133024989152798e-02
1.990042520600916465e-01 1.084300261765142603e-01 1.085769656277542350e-01 7.252453374214466730e-02 1.188116673331991446e-01 2.933519825078703680e-01 3.540620009878544389e-02 6.389437245364017193e-02
7.935398657957282165e-02 8.288212496396504814e-02 1.036411366125934291e-01 5.656283730392320380e-02 4.551888754175500984e-02 5.611902056700829311e-01 2.977200429026477524e-02 4.107881703784269783e-02
3.500395153801433845e-01 5.513144419459500845e-02 1.358579068641131427e-01 6.792723391867018512e-02 1.002463849967467069e-01 2.088751271390748565e-01 4.307685980468899806e-02 3.884552770196775945e-02
9.001645444061415202e-02 1.252145875832350597e-01 1.137220580375475770e-01 9.531100499101363699e-02 1.536714026050673698e-01 3.386201651287769621e-01 4.069640011882050268e-02 4.274792709492462178e-02
3.253169698301578427e-01 1.106566122059913782e-01 1.259166938682117209e-01 4.598761711824914805e-02 9.007851613105258282e-02 1.690847834984069153e-01 7.155452881867392645e-02 6.140427852925664509e-02
2.185904682083228967e-01 2.040873814212874060e-01 1.320978819740987742e-01 4.917102145158463306e-02 1.904536187613760922e-01 1.288581315659387272e-01 4.375787526949184714e-02 3.298362134789975531e-02
3.390897673414938751e-01 6.155772479360310800e-02 1.434437903056351160e-01 5.883717569261740638e-02 1.304952371068129613e-01 1.851861821450801748e-01 3.246178829609437655e-02 4.892833431866290550e-02
2.500122548660576594e-01 1.573545683953537777e-01 1.097494533199521310e-01 6.086933214345265769e-02 1.657324315018788574e-01 1.705886078467547251e-01 2.509732785099566890e-02 6.059602407555452624e-02
8.267997938318810691e-02 8.320046434167741034e-02 1.050543779671601757e-01 8.400842397979109422e-02 5.450025894209352406e-02 5.193455192315310498e-01 3.570451554210639367e-02 3.550646061245218976e-02
7.037223188195000645e-02 3.322082259067192234e-01 1.082970276517090796e-01 2.361435381967840613e-02 2.471039409555766952e-01 1.283665403675983974e-01 2.809626112493142022e-02 6.194141829183681669e-02
2.964242453050571213e-01 8.760644746446574760e-02 1.442746995256190545e-01 8.555876068044621086e-02 7.980412604422351674e-02 2.194504078281346859e-01 4.351321183684765670e-02 4.336810131520606876e-02
2.989142970185738601e-01 5.664382297815227091e-02 1.334558076407226512e-01 5.927235823966582606e-02 7.226033031070464019e-02 2.648481787090289363e-01 7.012152274208165170e-02 4.448368236107005935e-02
1.955952953395126426e-01 1.337736851514126357e-01 1.183370157444114529e-01 3.990563625213019994e-02 6.562072564352243453e-02 3.609473662991662390e-01 4.605316308170753076e-02 3.976711248813689925e-02
3.320337599593907729e-01 8.421291803559449729e-02 1.518855491975034389e-01 5.200615435439153583e-02 2.102400446338781037e-01 7.911635682125800484e-02 3.802200234367789783e-02 5.248321465430581811e-02
2.892428978790648197e-01 9.674912696629968389e-02 1.131906345985757290e-01 4.806133928694594770e-02 3.143019160577402438e-02 3.444895872447463758e-01 4.078766336281524491e-02 3.604855905577823705e-02
1.333650937545469706e-01 2.145869653315294612e-01 1.203062146622789763e-01 5.786415120266098777e-02 1.389794329690710872e-01 2.553189484595365655e-01 2.989757048808854012e-02 4.968162313228749460e-02
2.162980927479462856e-01 8.403224161393599290e-02 1.305117187926107258e-01 1.172083167287583938e-01 6.525741799276182920e-02 3.100950983742156164e-01 3.745712200816493642e-02 3.913999174160639333e-02
2.889397556353648366e-01 1.540732245942073031e-01 1.116464019513804251e-01 3.741938378085400002e-02 1.737048276107005240e-01 1.110235572997570891e-01 3.361011883689440927e-02 8.958273029084146133e-02
1.318944349067901478e-01 9.803575819162381466e-02 1.045247853256912746e-01 9.924423402359530688e-02 8.675954731385164542e-02 2.827150792934055024e-01 7.525776905334416456e-02 1.215683918916980744e-01
5.986208936358408672e-02 2.891455457503659399e-01 1.074659746877696803e-01 3.837759879952903214e-02 9.700339842108751665e-02 3.280732397032259939e-01 4.199482027691671393e-02 3.807733299752108502e-02
1.903733164915156206e-01 2.097570304354869908e-01 1.138817169634327442e-01 5.389146708625822124e-02 7.453916096277819758e-02 2.882531851846011350e-01 3.583239671586253838e-02 3.347172616006461460e-02
1.150946659631001401e-01 1.125844867483670048e-01 1.085209263712921396e-01 3.036570080255535653e-01 1.377354666820175821e-01 1.352277130420737883e-01 4.446657382751642573e-02 4.271315934007927778e-02
3.417158191732789230e-01 7.167161613832902234e-02 1.297723284165316071e-01 5.841694856462796570e-02 1.507811385870851673e-01 1.588514325526007298e-01 4.228999511137113143e-02 4.650072145617538399e-02
1.392385544640563910e-01 2.544762208045667218e-01 1.034581537625970243e-01 3.423946256621433065e-02 1.405652150985264859e-01 2.443320943938805390e-01 4.399134714375207283e-02 3.969895176640654555e-02
3.208774337942921218e-01 5.782230749986035784e-02 1.129876940792609030e-01 8.361934763247691471e-02 6.410270311199071924e-02 1.791119239114964956e-01 9.880630235052936805e-02 8.267228762009319609e-02
