r_sep02_median L Teff r_avg10_median dnu02_median r_avg01_median Fe/H Dnu0_median
3.829872917120134140e-02 8.849213113743492620e-02 4.464701886138125464e-02 3.104531025421015944e-02 1.668543954845595062e-02 7.208779653522057185e-01 2.672224276986258709e-02 3.323116290524789906e-02
4.082085362699974795e-02 7.724381524718380854e-02 3.471213779441435082e-02 2.712178921836981907e-02 3.389042920464398201e-02 7.183971903319888996e-01 2.896396981543812935e-02 3.884981476096132508e-02
1.096078425208788371e-01 7.221559980797451206e-02 3.484230125514649334e-02 3.487978983649303588e-02 1.779315529190371101e-02 6.683678680576304876e-01 3.395482376474531078e-02 2.833861946522766087e-02
4.547875050138750624e-02 1.414252221844511381e-01 3.458542443923760812e-02 3.269598232645359176e-02 2.263860479536001710e-02 5.343033683158430192e-01 2.382082582379501171e-02 1.650518216134720384e-01
4.625939790733246681e-02 1.212728604392288995e-01 2.243055895845469661e-01 4.877294296594762713e-02 4.621559012585910869e-02 1.995584594544232981e-01 2.930496018526305146e-01 2.056555767003118845e-02
1.916973703999801382e-01 9.929650599140139866e-02 3.539669375984488831e-02 1.635586104687377848e-02 6.231816807119550106e-02 5.256454958966223501e-01 3.769451792741231738e-02 3.159538690666968686e-02
1.615918288735563590e-01 6.925543092050885641e-02 3.919725341692330278e-02 5.026166632049595961e-02 3.889361201374940541e-02 5.515628042496790728e-01 3.503154618441966378e-02 5.420585802066731768e-02
4.097438715837400242e-02 1.053174715242927578e-01 3.328850058838241782e-02 1.096620790288186688e-02 2.823871911208615873e-02 7.156844473554858643e-01 3.666675922393290710e-02 2.886350713456401623e-02
4.915488920897551767e-02 6.815243989071430308e-02 3.215176160336472022e-02 5.757638816344032989e-02 2.983492269385916440e-02 6.949304203145347802e-01 3.626465784434917961e-02 3.193452028076199101e-02
3.189183419693133320e-02 9.347557925093699649e-02 5.484884371933448910e-02 3.342719081152639021e-02 2.598979745298499178e-02 7.015911197867875648e-01 4.075346325212177157e-02 1.802217152937646283e-02
3.789829338644645079e-02 9.913859648879444486e-02 3.688939667531997840e-02 3.340220945847104106e-02 2.333632926388225226e-02 7.108582805863262744e-01 2.381002724150961536e-02 3.466686689924997761e-02
3.101973706649460011e-02 7.835251190196164395e-02 1.136856046212626203e-01 3.588674638361565028e-02 7.046405044899951842e-02 5.708886752193558234e-01 7.476897304105287190e-02 2.493370131725742428e-02
3.481810532717011242e-02 1.903362062221992668e-01 4.729780058564775347e-02 7.743207249471918685e-02 1.591593002666569917e-02 4.309492501524937458e-01 1.764791053052388037e-01 2.677152988586544227e-02
3.387885405838332586e-02 6.687522274370082120e-02 2.312980836711971966e-01 5.393008769161516253e-02 2.450181942637501969e-02 5.210214594101097996e-01 3.140002844100430596e-02 3.709444455761441023e-02
8.973027878819721248e-02 7.097385666957128914e-02 1.885436012219121882e-01 4.128480576381311773e-02 5.031428315144943070e-02 5.070965591621451329e-01 2.252044978803347669e-02 2.953616545487811745e-02
3.935678580216263323e-02 8.638631823028419809e-02 4.051840803206194913e-02 3.513031163221410486e-02 4.435407989321127342e-02 6.909699308003465212e-01 2.116890273655323493e-02 4.211526287316615103e-02
3.248500448409007979e-01 8.476092783110811268e-02 5.978905708242542028e-02 6.554988898072636183e-02 1.186375409770711320e-01 2.963142293983221376e-01 2.644698686458574893e-02 2.365132402486026103e-02
6.933338394983233621e-02 6.349335463205393881e-02 3.810994971230249190e-02 1.155055637796387757e-01 3.916054452776158157e-01 2.625600362292095924e-01 2.509220668197040954e-02 3.430005973737659114e-02
3.217956795787395990e-02 3.273559615695432745e-01 3.419888191148608841e-02 1.863042946146580697e-02 2.180668263296640583e-02 4.717462615037280038e-01 2.331687760250136104e-02 7.076533736043509604e-02
1.516080923135353642e-01 3.516966649617814800e-01 3.369703777590958571e-02 1.512808419473795317e-02 2.669200332109650242e-01 1.145893266590702203e-01 2.593283632112696607e-02 4.042792456287352953e-02
1.375198215596080686e-01 1.555771837307443062e-01 3.703094287044313843e-02 3.643749468993597723e-02 3.644394282855129702e-02 4.999082939034231732e-01 6.351882000817962726e-02 3.356350040911434962e-02
