Teff L Fe/H Dnu0_median dnu02_median r_sep02_median r_avg01_median r_avg10_median
1.389395404750810858e-01 2.360750910853380569e-01 1.197329290693003451e-01 4.522728329368522898e-02 4.793968997174543473e-02 2.313144610968053683e-01 1.457027619237992178e-01 3.506824308424538045e-02
3.300117093069226959e-01 9.163975273002210320e-02 1.213294805354602351e-01 5.036471784668911100e-02 8.692433372111493806e-02 1.179283320034664462e-01 1.349659305773875106e-01 6.683574327893700151e-02
1.107431837583562201e-01 1.330734123312573847e-01 1.038727151366436868e-01 1.881777278156560318e-01 2.261018428389593993e-01 1.591599386762264090e-01 4.068042411849517176e-02 3.819075532440557863e-02
1.992096762739498372e-01 1.458941786439082178e-01 1.052224050880789796e-01 4.890621355185941627e-02 1.038530508918596856e-01 1.783533248706536123e-01 1.908369241625251789e-01 2.772422651716512434e-02
7.872552797217599596e-02 2.824345497249943771e-01 1.018033030187297655e-01 6.086437944077779244e-02 1.947215846850792464e-01 1.434910881799226767e-01 4.508417787751909517e-02 9.287538910080105070e-02
2.083191211059252923e-01 1.060089162463052764e-01 1.226457476002717623e-01 1.351492523031998794e-01 2.026227669503062323e-01 1.397276053111446703e-01 3.524587573700906085e-02 5.028071474583774986e-02
6.318308123237383056e-02 2.981377998746280178e-01 1.085515426877917966e-01 2.805058012614342067e-02 4.890229984457650225e-02 3.664481862716172933e-01 2.671320816684760388e-02 6.001330179602144821e-02
1.012086575804625882e-01 2.909016743714786801e-01 9.913196410855988627e-02 2.730593350544818082e-02 2.345627304975336225e-01 1.544087853233515051e-01 5.537070216381556609e-02 3.710955244935006114e-02
2.792573971223202833e-01 7.219492046643087579e-02 1.193256112991753909e-01 5.712261170875842370e-02 6.622696240144756996e-02 2.766202683228684567e-01 4.029729086463715998e-02 8.895493781436185354e-02
2.293319691635689883e-01 2.002200349879424968e-01 1.167152425240301772e-01 3.783569636054186225e-02 7.370674233383851803e-02 2.582858270567099934e-01 3.685865244895480952e-02 4.704583512441303655e-02
1.257288354802755526e-01 1.116944488929546703e-01 1.462103601712688161e-01 4.049960738198479099e-02 1.282399532567614631e-01 3.575770221172834828e-01 4.047539307099561751e-02 4.957437962847564134e-02
1.579965234775319305e-01 7.730903073212967713e-02 1.101527260940088210e-01 4.993034067826890299e-02 8.061645429149801034e-02 4.384403170248085124e-01 4.389411134222349214e-02 4.166049635953055635e-02
2.359908221843886322e-01 6.931388702844148986e-02 1.171374409711736508e-01 8.778646709265862380e-02 7.343391395697589086e-02 3.114142173390759827e-01 6.272328935934265437e-02 4.219996206794306148e-02
2.075211465242189912e-01 2.162581249487583457e-01 1.288108675464997022e-01 4.256216141420103571e-02 7.440069304602384137e-02 2.606179794636735436e-01 3.787995957084054621e-02 3.194906748578392464e-02
3.516806726310489628e-01 5.603564976751770205e-02 1.433413938419610123e-01 4.113671946481173985e-02 1.129584750039591828e-01 2.065366064176319127e-01 3.993777165039747584e-02 4.837271122267202544e-02
8.455578838295590982e-02 8.602366138685281494e-02 1.096295270572269914e-01 7.896637652143630171e-02 1.083613761908389789e-01 4.543533660436640531e-01 4.293839994753345657e-02 3.517150446949145193e-02
2.013248773377653567e-01 1.716577238502266234e-01 1.253479441596981325e-01 9.906190207362283728e-02 1.100060331804947888e-01 1.866032903874164928e-01 6.811594478646178230e-02 3.788228422431394460e-02
2.593024313818164117e-01 1.920714866568062618e-01 1.165663036907187838e-01 5.857401634388587075e-02 1.085469276669045469e-01 1.532476434077660599e-01 6.118520997199667494e-02 5.050598088010537640e-02
3.563003361515699186e-01 6.174341693044257950e-02 1.334680262045072341e-01 5.975869854457251801e-02 4.430610606305334515e-02 1.519856964361361029e-01 1.575157559089969683e-01 3.492196376072122244e-02
2.272742141943109306e-01 1.759572840655318771e-01 1.146497757683918456e-01 7.156190154366709466e-02 9.951726330204023474e-02 2.223210693155275586e-01 5.543464518442895589e-02 3.328384662610140571e-02
2.158043661522593692e-01 1.152379559184285029e-01 1.067377004145132757e-01 3.031311639933507648e-02 6.819356865726401706e-02 3.527408536872270739e-01 6.638937772039323060e-02 4.458306105057936730e-02
1.663613379661178782e-01 2.531240462496417987e-01 1.074330366960220967e-01 8.655291216966386203e-02 1.296360994450521109e-01 1.833458367233982145e-01 4.607614414087467247e-02 2.747058660922937698e-02
1.114724178001991611e-01 9.770557628937717731e-02 1.075260996155780191e-01 5.131133906195039368e-02 5.914796131412567576e-02 3.199451498562440599e-01 5.412173938695417214e-02 1.987697166755713063e-01
3.405478524745703117e-01 8.278179320861039914e-02 1.345858150343413051e-01 4.863258384758031849e-02 1.077975781304273128e-01 2.024665408314327009e-01 4.715943963512665704e-02 3.602839683791100867e-02
2.527133268242281461e-01 8.400050641973992593e-02 1.102383953049950599e-01 5.480680496795731910e-02 7.244707748176998363e-02 3.384759883594616325e-01 4.645579036313572663e-02 4.086211027871224089e-02
1.503504458571365276e-01 1.515264894263775586e-01 1.170274507462557567e-01 4.117818087567332030e-02 7.129847881750078775e-02 3.403641580400441069e-01 3.296301601617154103e-02 9.529178022084046351e-02
1.788315503262130901e-01 2.082207924397219967e-01 1.187567159444612719e-01 3.774977346769368969e-02 5.070997067175919693e-02 1.550512856277598828e-01 2.211340121527245184e-01 2.954589936966638131e-02
9.102392591722967274e-02 9.906393464974364016e-02 1.115219587490803438e-01 3.746701362133857821e-02 3.412415815008685432e-02 5.550665209111708132e-01 3.096406338794120694e-02 4.076842461340895313e-02
2.701047741994150320e-01 1.541401569460966459e-01 1.167429087426833656e-01 4.687708307289805559e-02 2.010036188429353277e-01 1.205368369019980818e-01 3.865744338672418012e-02 5.193717790724936695e-02
1.792563067269575539e-01 1.083601746473036864e-01 1.063372317009298879e-01 2.619259261927782689e-01 1.170119315317817016e-01 1.146168091829220387e-01 6.799754265896554295e-02 4.449407735836140992e-02
