Teff L log_g Fe/H radius Dnu0_median dnu02_median r_sep02_median r_avg01_median dnu13_median r_sep13_median r_avg10_median
9.764438751108661663e-02 1.725150939140387418e-01 1.572967337638821878e-02 1.056032476805207621e-01 4.561974621873955693e-02 4.692117138866244708e-02 5.094326367293234431e-02 7.873576112226109147e-02 4.622109834657601307e-02 7.625071862622739491e-03 3.071618483632101437e-01 2.527963654296148596e-02
8.448988760665683551e-02 4.358449857473877670e-02 1.835195558135380156e-02 1.060973428103469812e-01 6.517522139479271781e-02 1.605807207929895938e-02 3.062813460530128956e-02 4.826650556986158414e-01 2.553440163525656781e-02 1.582018109933345032e-02 9.243385747552146370e-02 1.916139143878338100e-02
5.231044699136178783e-02 4.978953342193351284e-02 2.570250408934917144e-02 9.981319560835044680e-02 5.092360443651453017e-02 7.195229104096412254e-02 2.345612884186662472e-02 3.315732018661499830e-02 1.627610076542395506e-02 2.220964817071711950e-02 5.272310619068363291e-01 2.717816454006742599e-02
5.479857911510203211e-02 5.949644986930213708e-02 5.868770587454280596e-02 9.521963699249898216e-02 2.940586157289117389e-02 2.886918730805784761e-02 1.511723208019649135e-02 2.082301703185320679e-02 2.478462207961847075e-02 4.687103191711162326e-02 5.335604443397172769e-01 3.236623181910787406e-02
1.839413126087927064e-01 6.577057931377412736e-02 1.529910381948092375e-02 1.034762893101790204e-01 1.143376979658739800e-01 4.653948579281902420e-02 1.887603120990080652e-02 8.101406688757346874e-02 3.824303228335407256e-02 2.451531417746362629e-01 6.753096644291291251e-02 1.981829259070277266e-02
1.441653762684443063e-01 1.436703804840396836e-01 1.632891188920305992e-02 1.540684347858795877e-01 2.295068102433958646e-02 3.901369502160105529e-02 8.791459276094497344e-02 2.074733071122996098e-01 2.823262480677399960e-02 3.513545233351510894e-02 8.839116438224636774e-02 3.265537913071279996e-02
5.204592107144054292e-02 1.904597926211971104e-01 1.918284898303953406e-02 9.363469487970381422e-02 2.265701447696245180e-02 1.514793814495774167e-02 3.346152038144120655e-02 4.386410937189630377e-01 2.190101606080659472e-02 1.382361568159987120e-02 6.639906760227759497e-02 3.264547637761065768e-02
8.694862015280847845e-02 1.195006642512844719e-01 1.546588858663138985e-02 9.388781399559203988e-02 4.110651150641455448e-02 1.416162264850481800e-02 1.097270612562321890e-02 4.449781569000534065e-02 1.832837294675636330e-02 3.853431338377934223e-02 4.728342595099627177e-01 4.376141120263723344e-02
1.693602609110131108e-01 2.264242966065668217e-01 2.058243547340043653e-02 9.710844838594226425e-02 1.298801553521223007e-01 9.519063028453072714e-03 4.507749533553884885e-02 5.551287380500054269e-02 2.514372277393957592e-02 1.306536751054948042e-01 5.920216778263218821e-02 3.153540543989601097e-02
1.946623410302383006e-01 6.018041166109385637e-02 1.835707738714736220e-02 1.000238561913557034e-01 3.102607660718563823e-02 5.652252367544751549e-02 1.857810868485974820e-02 3.952987108104302760e-02 8.042328231308323860e-02 1.335752057304931059e-02 3.580041797761524536e-01 2.933475101934389026e-02
2.157666350928230115e-01 6.542347789435351557e-02 2.359254262033680383e-02 1.035406630638760206e-01 7.108514726741207990e-02 1.474932705663416499e-01 4.281372972315960340e-02 8.769464646451102796e-02 1.851060224358691206e-02 1.148138380360165522e-01 8.104846696444871490e-02 2.821698006313404575e-02
3.067435198114211725e-01 3.848420174528061066e-02 2.532878021212134345e-02 1.000622241138654778e-01 6.512695158288603348e-02 1.026463822611155610e-02 2.143612993693405980e-02 8.090466758470384045e-02 2.127833730267724571e-02 5.105189630342808760e-02 2.504216968587170133e-01 2.889695632185369789e-02
7.891793534182611758e-02 6.579976458731585931e-02 2.180712265337362427e-02 1.039330169117955865e-01 4.940640124619801593e-02 4.817664288540474821e-02 1.406553918366472249e-02 2.839436798195443118e-02 2.215876173151908324e-01 2.334658449170827835e-02 3.226805282993853163e-01 2.188447910218252468e-02
1.424030457531010874e-01 1.090325277208228222e-01 1.927279352196292067e-02 1.029493413147710423e-01 5.632755563096115969e-02 1.763964678522030385e-02 3.970236874948412931e-02 3.869561701455647568e-02 1.418790289475199695e-01 1.028321064757401621e-02 2.739062743276220457e-01 4.790858958640403786e-02
3.221477947372586859e-01 4.669394666292576296e-02 1.795102386424114738e-02 1.251364326844233155e-01 3.724563985275248373e-02 3.033885479641063379e-02 2.251134646384321536e-02 5.969068605740820987e-02 2.093363989872991035e-02 4.959476528893092678e-02 2.397473252507399122e-01 2.800854444233572688e-02
7.344279326032185362e-02 2.833039309403637684e-01 3.433493711168233292e-02 9.908597987514083938e-02 2.094613075205743746e-02 1.278839197961322872e-02 1.849460538599072279e-02 3.344094947231553983e-01 1.921994021007372710e-02 4.141441439671399161e-02 4.104580025137519877e-02 2.151358111351147143e-02
2.487205892860210599e-01 5.032546075071261255e-02 2.093865764224754969e-02 1.154494428848550913e-01 6.549217898528199300e-02 2.193431992429174110e-02 2.605741080076573457e-02 7.899084252309584997e-02 1.924501235366008201e-01 5.597489962139844122e-02 9.602256853782513424e-02 2.764350550690400365e-02
1.441597765461710978e-01 7.923386174858863817e-02 2.373521412747712014e-02 1.023557847583133756e-01 2.441572238248319524e-02 9.550994821288272263e-02 1.803770760637851689e-02 6.878435509518747437e-02 2.458144677214705309e-01 6.687437595622384989e-02 1.044041158809354691e-01 2.667466996388816874e-02
