model_number age log_g radius Y_surf tau_MS
440 1.84382896117691 3.77891194989713 2.70114994420853 0.274452820348689 1.05643970596999
441 1.84586105639046 3.77593062288871 2.71043724572884 0.274452820348689 1.05760401465323
442 1.84783415792693 3.77297887605627 2.71966385864776 0.274452820348689 1.05873452233639
443 1.84975101231702 3.77008672610248 2.72873464562542 0.274452820348689 1.05983280267089
444 1.85161411647144 3.76723032487937 2.73772300657782 0.274452820348689 1.06090028628599
445 1.85342725409883 3.76437563103556 2.74673557564716 0.274452820348689 1.06193914109426
446 1.855188796258 3.76159876155408 2.75553091124866 0.274452820348689 1.06294843377806
447 1.85690055395194 3.7588721981279 2.764194311997 0.274452820348689 1.06392920196912
448 1.85856775195505 3.75617492879314 2.77279143358118 0.274452820348689 1.06488443925267
449 1.86019052865487 3.75352701518128 2.78125725017211 0.274452820348689 1.06581422491919
450 1.86176992487091 3.7509213996558 2.7896130639692 0.274452820348689 1.06671915531632
451 1.86330774951441 3.74835424226337 2.79787009857475 0.274452820348689 1.06760026687732
452 1.86480804462385 3.74581764420927 2.80605284699126 0.274452820348689 1.0684598755274
453 1.86627300253469 3.74332945019919 2.81410270048278 0.274452820348689 1.06929923738643
454 1.86770314589357 3.74087633621387 2.82206166900773 0.274452820348689 1.07011865190988
455 1.86909978388743 3.73846422238206 2.82990956357791 0.274452820348689 1.07091886920912
456 1.87046373327286 3.73608546688426 2.83767029903095 0.274452820348689 1.07170035725278
457 1.8717963837445 3.73374493007655 2.84532711781295 0.274452820348689 1.07246391227988
458 1.87309873830213 3.73142886986148 2.85292420107416 0.274452820348689 1.07321010896889
459 1.87437238821242 3.7291564654711 2.86039779971172 0.274452820348689 1.07393985905149
460 1.87561689703851 3.72692837399959 2.86774466854986 0.274452820348689 1.07465291246697
461 1.87683269291532 3.72473788357715 2.87498594737678 0.274452820348689 1.07534951451936
462 1.87802318567067 3.72258772115039 2.88211169340217 0.274452820348689 1.07603161890263
463 1.87919094143503 3.72046273628674 2.88917135194571 0.274452820348689 1.07670069590615
464 1.88033668764868 3.71836666254216 2.89615190246957 0.27445282034869 1.07735716232389
465 1.881459371818 3.71631422500552 2.90300347388773 0.274452820348691 1.07800041511941
466 1.88256010893612 3.71429455155807 2.9097614930773 0.274452820348691 1.07863109313884
467 1.88364038240776 3.71231952726424 2.91638532611513 0.274452820348693 1.07925004631334
468 1.8847007257741 3.71035883712544 2.92297600006138 0.274452820348695 1.07985758034049
469 1.88574082527885 3.70843715530945 2.92945000359576 0.274452820348697 1.08045351545059
470 1.88676040552807 3.70654846822781 2.93582682201485 0.274452820348701 1.08103769385399
471 1.88776005322307 3.70468615453344 2.94212818685517 0.274452820348705 1.08161045170693
472 1.88874178504593 3.70288439459018 2.94823753295658 0.274452820348712 1.08217294448696
473 1.88970741210525 3.70111557934309 2.95424751142117 0.27445282034872 1.08272620988636
474 1.89065610361903 3.69937866227953 2.96016102985224 0.274452820348729 1.08326977190051
475 1.89158740980473 3.69765759580069 2.96603225876725 0.274452820348748 1.08380337282212
