#  l   n        freq     error
#             muHz        muHz
   19   8   2021.7286   0.0083
   19   9   2173.7312   0.0089
   19   10   2322.2965   0.0098
   19   11   2468.1200   0.0109
   19   12   2613.0330   0.0105
   19   13   2757.8769   0.0094
   19   14   2902.4767   0.0093
   19   15   3046.4838   0.0092
   19   16   3189.7897   0.0113
   19   17   3332.8064   0.0147
   19   18   3476.0468   0.0188
   19   19   3619.2179   0.0241
   19   20   3762.2824   0.0300
   19   21   3905.6166   0.0379
   19   22   4048.8734   0.0494
   19   23   4192.2437   0.0664
   19   24   4335.4335   0.0867
   19   25   4478.9357   0.1195
   20   3   1193.6538   0.0028
   20   4   1386.4842   0.0039
   20   5   1566.5395   0.0041
   20   6   1734.1794   0.0059
   20   7   1893.9079   0.0072
   20   8   2050.0527   0.0080
   20   9   2203.1308   0.0089
   20   10   2352.3802   0.0098
   20   11   2498.9013   0.0102
   20   12   2644.8102   0.0096
   20   13   2790.6506   0.0091
   20   14   2935.8725   0.0090
   20   15   3080.3933   0.0096
   20   16   3224.3525   0.0120
   20   17   3367.9706   0.0155
   20   18   3511.7753   0.0191
   20   19   3655.4862   0.0248
   20   20   3799.0646   0.0310
   20   21   3942.8783   0.0390
   20   22   4086.4816   0.0515
   20   23   4230.2880   0.0684
   20   24   4374.2714   0.0895
   20   25   4517.8979   0.1264
   21   2   1005.0926   0.0019
   21   4   1408.0748   0.0032
   21   5   1589.2846   0.0038
   21   6   1758.2204   0.0062
   21   7   1919.8126   0.0071
   21   8   2077.7246   0.0077
   21   9   2231.8498   0.0095
   21   10   2381.8898   0.0096
   21   11   2529.2612   0.0099
   21   12   2676.1386   0.0097
   21   13   2822.9245   0.0089
   21   14   2968.8432   0.0086
   21   15   3113.8619   0.0099
   21   16   3258.4208   0.0128
   21   17   3402.7812   0.0158
   21   18   3547.0612   0.0203
   21   19   3691.3429   0.0255
   21   20   3835.4316   0.0325
   21   21   3979.6300   0.0420
   21   22   4123.7958   0.0544
   21   23   4267.9720   0.0735
   21   24   4412.0447   0.0947
   21   25   4556.3964   0.1346
   22   2   1022.4480   0.0016
   22   3   1233.1151   0.0025
   22   4   1429.1236   0.0031
   22   5   1611.3465   0.0043
   22   6   1781.5262   0.0064
   22   7   1945.0362   0.0070
   22   8   2104.7284   0.0083
   22   9   2259.9650   0.0095
   22   10   2410.7687   0.0099
   22   11   2559.1516   0.0096
   22   12   2707.0512   0.0088
   22   13   2854.6591   0.0088
   22   14   3001.3298   0.0090
   22   15   3146.9302   0.0098
   22   16   3292.1010   0.0131
   22   17   3437.1384   0.0160
   22   18   3582.0124   0.0213
   22   19   3726.8203   0.0267
   22   20   3871.5271   0.0327
   22   21   4016.0725   0.0442
   22   22   4160.7151   0.0583
   22   23   4305.4623   0.0757
   22   24   4449.9268   0.1044
   22   25   4594.3383   0.1390
   23   3   1252.2452   0.0029
   23   4   1449.6889   0.0033
   23   5   1632.7903   0.0042
   23   6   1804.1995   0.0057
   23   7   1969.6333   0.0072
   23   8   2131.0808   0.0084
   23   9   2287.4372   0.0093
   23   10   2439.1442   0.0101
   23   11   2588.6088   0.0095
   23   12   2737.5471   0.0088
   23   13   2885.9901   0.0089
   23   14   3033.3737   0.0089
   23   15   3179.6164   0.0107
   23   16   3325.4272   0.0132
   23   17   3471.1141   0.0166
   23   18   3616.5678   0.0221
   23   19   3761.8896   0.0272
   23   20   3907.1833   0.0347
   23   21   4052.2941   0.0469
   23   22   4197.2773   0.0613
   23   23   4342.4691   0.0814
   23   24   4487.2432   0.1132
   24   3   1271.0066   0.0021
   24   4   1469.7877   0.0033
   24   5   1653.6860   0.0048
   24   6   1826.2987   0.0062
   24   7   1993.5483   0.0075
   24   8   2156.7412   0.0086
   24   9   2314.2680   0.0091
   24   10   2466.9733   0.0099
   24   11   2617.6161   0.0091
   24   12   2767.6237   0.0085
   24   13   2916.8886   0.0084
   24   14   3064.9473   0.0088
   24   15   3211.9001   0.0108
   24   16   3358.3654   0.0136
   24   17   3504.7276   0.0172
   24   18   3650.8027   0.0226
   24   19   3796.5996   0.0286
   24   20   3942.3698   0.0370
   24   21   4088.0131   0.0497
   24   22   4233.5372   0.0657
   24   23   4379.0900   0.0872
   25   2   1072.5221   0.0023
   25   3   1289.4094   0.0022
   25   4   1489.4554   0.0035
   25   5   1674.0903   0.0048
   25   6   1847.8868   0.0061
   25   7   2016.9056   0.0077
   25   8   2181.7241   0.0083
   25   9   2340.4506   0.0091
   25   10   2494.3150   0.0097
   25   11   2646.1911   0.0097
   25   12   2797.2984   0.0085
   25   13   2947.3279   0.0083
   25   14   3096.0986   0.0090
   25   15   3243.7925   0.0115
   25   16   3390.9947   0.0143
   25   17   3537.9427   0.0181
   25   18   3684.7352   0.0235
   25   19   3831.0160   0.0297
   25   20   3977.3034   0.0392
   25   21   4123.5696   0.0527
   25   22   4269.3296   0.0701
   25   23   4415.5494   0.0953
   25   24   4561.0966   0.1257
   26   2   1088.5943   0.0023
   26   3   1307.4820   0.0022
   26   4   1508.7081   0.0038
