#  l   n        freq     error
#             muHz        muHz
   126   4   2635.6202   0.0083
   126   5   2920.1043   0.0069
   126   6   3190.2022   0.0078
   126   7   3449.5779   0.0162
   127   0   1141.3088   0.0024
   127   1   1649.4011   0.0044
   127   2   2013.1189   0.0065
   127   3   2347.2549   0.0084
   127   4   2643.2766   0.0085
   127   5   2928.7484   0.0069
   127   6   3199.6110   0.0080
   127   7   3459.8069   0.0145
   128   0   1145.7007   0.0024
   128   1   1654.6571   0.0044
   128   2   2018.9553   0.0065
   128   3   2354.0167   0.0086
   128   4   2650.9026   0.0083
   128   5   2937.3637   0.0070
   128   6   3208.9478   0.0082
   129   0   1150.0722   0.0022
   129   1   1659.8974   0.0044
   129   2   2024.8117   0.0066
   129   3   2360.7430   0.0086
   129   4   2658.5075   0.0085
   129   5   2945.9346   0.0069
   129   6   3218.2714   0.0084
   130   0   1154.4300   0.0022
   130   1   1665.0920   0.0045
   130   2   2030.6270   0.0067
   130   3   2367.3894   0.0089
   130   4   2666.0516   0.0084
   130   5   2954.4671   0.0071
   130   6   3227.5392   0.0086
   131   0   1158.7696   0.0024
   131   1   1670.2560   0.0045
   131   2   2036.4056   0.0067
   131   3   2374.0177   0.0090
   131   4   2673.6011   0.0083
   131   5   2962.9677   0.0071
   131   6   3236.8011   0.0087   
   131   7   3500.6270   0.0170
   132   0   1163.0887   0.0024
   132   1   1675.3852   0.0047
   132   2   2042.1783   0.0068
   132   3   2380.6086   0.0092
   132   4   2681.1195   0.0084
   132   5   2971.3982   0.0070
   132   6   3246.0143   0.0091
   133   0   1167.3946   0.0023
   133   1   1680.4776   0.0046
   133   2   2047.9075   0.0068
   133   3   2387.1572   0.0091
   133   4   2688.5913   0.0085
   133   5   2979.8093   0.0071
   133   6   3255.1727   0.0093
   134   0   1171.6893   0.0024
   134   1   1685.5568   0.0046
   134   2   2053.6612   0.0070
   134   3   2393.6561   0.0092
   134   4   2696.0541   0.0085
   134   5   2988.1747   0.0072
   134   6   3264.3122   0.0096
   135   0   1175.9647   0.0026
   135   1   1690.5909   0.0046
   135   2   2059.3423   0.0070
   135   3   2400.1038   0.0094
   135   4   2703.4730   0.0084
   135   5   2996.5143   0.0071
   135   6   3273.3830   0.0097
   136   0   1180.2240   0.0025
   136   1   1695.6132   0.0048
   136   2   2065.0397   0.0070
   136   3   2406.5645   0.0095
   136   4   2710.8765   0.0086
   136   5   3004.7902   0.0072
   136   6   3282.4360   0.0101
   137   0   1184.4676   0.0023
   137   1   1700.5953   0.0046
   137   2   2070.7112   0.0072
   137   3   2412.9276   0.0097
   137   4   2718.2491   0.0084
   137   5   3013.0358   0.0072
   137   6   3291.4533   0.0108
   138   0   1188.6897   0.0024
   138   1   1705.5455   0.0046
   138   2   2076.3361   0.0073
   138   3   2419.2883   0.0099
   138   4   2725.5859   0.0084
   138   5   3021.2708   0.0073
   138   6   3300.4578   0.0109
   139   0   1192.9124   0.0025
   139   1   1710.4582   0.0049
   139   2   2081.9702   0.0073
   139   3   2425.5915   0.0098
   139   4   2732.9220   0.0086
   139   5   3029.4274   0.0075
   139   6   3309.3821   0.0111
   140   0   1197.1085   0.0022
   140   1   1715.3550   0.0049
   140   2   2087.5937   0.0073
   140   3   2431.8849   0.0099
   140   4   2740.2155   0.0086
   140   5   3037.5534   0.0076
   140   6   3318.3017   0.0120
   141   0   1201.2898   0.0026
   141   1   1720.2232   0.0049
   141   2   2093.1798   0.0076
   141   3   2438.0898   0.0104
   141   4   2747.4832   0.0085
   141   5   3045.6536   0.0076
   141   6   3327.2036   0.0117
   142   0   1205.4587   0.0024
   142   1   1725.0517   0.0050
   142   2   2098.7456   0.0076
   142   3   2444.3232   0.0103
   142   4   2754.6975   0.0085
   142   5   3053.7067   0.0077
   142   6   3336.0698   0.0133
   143   0   1209.6123   0.0024
   143   1   1729.8607   0.0049
   143   2   2104.2833   0.0078
   143   3   2450.4758   0.0103
   143   4   2761.9354   0.0087
   143   5   3061.7533   0.0078
   143   6   3344.8699   0.0122
   144   0   1213.7484   0.0024
   144   1   1734.6343   0.0051
   144   2   2109.8225   0.0078
   144   3   2456.6383   0.0103
   144   4   2769.1108   0.0086
   144   5   3069.7391   0.0078
   144   6   3353.6550   0.0137
   145   0   1217.8774   0.0024
   145   1   1739.3851   0.0051
   145   2   2115.3250   0.0079
   145   3   2462.6788   0.0105
   145   4   2776.2666   0.0087
   145   5   3077.7054   0.0080
   145   6   3362.3577   0.0136
   146   0   1221.9879   0.0023
   146   1   1744.1165   0.0051
   146   2   2120.8400   0.0079
   146   4   2783.3939   0.0088
   146   5   3085.6215   0.0080
   147   0   1226.0889   0.0025
   147   1   1748.8286   0.0051
   147   2   2126.3156   0.0080
   147   3   2474.8987   0.0104
   147   4   2790.5125   0.0087
   147   5   3093.4968   0.0080
   147   6   3379.7909   0.0139
   148   0   1230.1768   0.0026
   148   1   1753.4860   0.0052
   148   2   2131.7828   0.0083
   148   3   2480.8100   0.0106
   148   4   2797.6051   0.0088
   148   5   3101.3752   0.0083
   149   0   1234.2404   0.0024
   149   1   1758.1453   0.0052
   149   2   2137.2139   0.0082
   149   4   2804.6512   0.0088
   149   5   3109.1695   0.0083
   150   0   1238.3039   0.0023
   150   1   1762.7590   0.0053
   150   2   2142.6191   0.0085
   150   3   2492.8194   0.0118
   150   4   2811.6843   0.0088
   150   5   3116.9625   0.0086
   150   6   3405.7689   0.0154
   151   0   1242.3370   0.0025
   151   1   1767.3552   0.0055
   151   2   2148.0487   0.0084
   151   3   2498.7033   0.0115
   151   4   2818.6906   0.0089
   151   5   3124.7162   0.0087
   152   0   1246.3681   0.0025
   152   1   1771.9288   0.0054
   152   2   2153.4304   0.0086
   152   3   2504.5898   0.0114
   152   4   2825.6798   0.0090
   152   5   3132.4304   0.0088
   153   0   1250.3896   0.0025
   153   1   1776.4635   0.0055
   153   2   2158.7806   0.0088
   153   4   2832.6291   0.0090
   153   5   3140.1169   0.0091
   154   0   1254.3967   0.0024
   154   1   1781.0029   0.0056
   154   2   2164.1532   0.0088
   154   4   2839.5506   0.0090
   154   5   3147.7817   0.0094
   155   0   1258.3799   0.0025
   155   1   1785.4835   0.0057
   155   2   2169.4676   0.0089
   155   3   2522.1383   0.0121
   155   4   2846.4376   0.0090
   155   5   3155.3985   0.0093
   156   0   1262.3629   0.0025
   156   1   1789.9620   0.0057
   156   2   2174.7827   0.0092
   156   4   2853.3009   0.0092
   156   5   3162.9655   0.0095
   157   0   1266.3243   0.0026
   157   1   1794.4073   0.0059
   157   2   2180.1153   0.0092
   157   4   2860.1815   0.0092
   157   5   3170.5531   0.0099
   158   0   1270.2758   0.0026
   158   1   1798.8411   0.0060
   158   2   2185.3785   0.0094
   158   4   2866.9937   0.0091
   158   5   3178.0789   0.0101
   159   0   1274.2232   0.0027
   159   1   1803.2478   0.0061
   159   2   2190.6560   0.0093
   159   4   2873.8174   0.0093
   159   5   3185.5960   0.0104
   160   0   1278.1517   0.0026
   160   1   1807.6178   0.0059
   160   2   2195.8754   0.0094
   160   4   2880.5724   0.0094
   160   5   3193.0494   0.0107
   161   0   1282.0639   0.0025
   161   1   1811.9573   0.0061
   161   2   2201.1203   0.0101
   161   4   2887.3042   0.0093
   161   5   3200.4951   0.0108
   162   0   1285.9693   0.0024
   162   1   1816.3278   0.0063
   162   2   2206.3767   0.0095
   162   4   2894.0306   0.0094
   162   5   3207.9011   0.0112
   163   0   1289.8613   0.0027
   163   1   1820.6328   0.0063
   163   2   2211.5294   0.0100
   163   4   2900.7084   0.0096
   163   5   3215.3213   0.0113
   164   0   1293.7452   0.0026
   164   1   1824.9272   0.0065
   164   2   2216.7334   0.0105
   164   4   2907.3853   0.0096
   164   5   3222.6939   0.0120
   165   0   1297.6059   0.0028
   165   1   1829.1882   0.0067
   165   2   2221.9153   0.0100
   165   4   2914.0556   0.0097
   165   5   3230.0584   0.0123
   166   0   1301.4676   0.0027
   166   1   1833.4355   0.0065
   166   2   2227.0225   0.0104
   166   4   2920.6708   0.0097
   166   5   3237.3471   0.0128
   167   0   1305.3071   0.0026
   167   1   1837.6679   0.0066
   167   4   2927.2527   0.0099
   167   5   3244.6661   0.0133
   168   0   1309.1455   0.0026
   168   1   1841.8670   0.0068
   168   4   2933.7923   0.0097
   168   5   3251.8833   0.0124
   169   0   1312.9686   0.0027
   169   1   1846.0730   0.0069
   169   4   2940.3565   0.0105
   170   0   1316.7794   0.0027
   170   1   1850.2276   0.0070
   170   4   2946.8813   0.0101
   170   5   3266.3550   0.0128
   171   0   1320.5740   0.0026
   171   1   1854.3651   0.0071
   171   4   2953.3849   0.0108
   172   0   1324.3584   0.0028
   172   1   1858.5005   0.0071
   172   4   2959.8324   0.0102
   173   0   1328.1393   0.0029
   173   1   1862.5861   0.0071
   173   4   2966.2582   0.0107
   174   0   1331.9085   0.0028
   174   1   1866.7024   0.0078
   174   4   2972.6973   0.0106
   175   0   1335.6685   0.0028
   175   1   1870.7736   0.0073
   175   4   2979.0785   0.0109
   176   0   1339.4202   0.0028
   176   1   1874.8167   0.0077
   176   4   2985.4338   0.0112
   177   0   1343.1460   0.0029
   177   1   1878.8410   0.0077
   177   4   2991.8097   0.0113
   178   0   1346.8688   0.0028
   178   1   1882.8464   0.0078
   178   4   2998.0977   0.0105
   179   0   1350.5883   0.0029
   179   1   1886.8852   0.0083
   180   0   1354.2907   0.0030
   180   1   1890.8451   0.0077
   180   4   3010.6516   0.0115
   181   0   1357.9814   0.0029
   181   1   1894.8406   0.0087
   182   0   1361.6704   0.0029
   182   1   1898.7615   0.0078
   183   0   1365.3388   0.0028
   183   1   1902.6776   0.0087
   183   4   3029.3264   0.0113
   184   0   1369.0021   0.0030
   184   1   1906.6091   0.0081
   185   0   1372.6540   0.0031
   185   1   1910.4794   0.0088
   186   0   1376.3008   0.0031
   186   1   1914.3913   0.0087
   187   0   1379.9322   0.0029
   187   1   1918.2392   0.0086
   188   0   1383.5572   0.0033
   189   0   1387.1748   0.0030
   189   1   1925.8784   0.0087
   190   0   1390.7845   0.0032
   191   0   1394.3809   0.0031
   192   0   1397.9635   0.0032
   193   0   1401.5352   0.0032
   194   0   1405.0964   0.0033
   195   0   1408.6644   0.0033
   196   0   1412.2108   0.0033
   197   0   1415.7498   0.0033
   198   0   1419.2784   0.0034
   199   0   1422.8056   0.0033
   200   0   1426.3117   0.0035
   201   0   1429.8125   0.0035
   202   0   1433.3155   0.0036
   203   0   1436.8004   0.0036
   204   0   1440.2878   0.0035
   205   0   1443.7506   0.0037
   206   0   1447.2221   0.0036
   207   0   1450.6719   0.0038
   208   0   1454.1122   0.0037
   209   0   1457.5499   0.0038
   210   0   1460.9701   0.0036
   211   0   1464.3957   0.0037
   212   0   1467.8023   0.0038
   213   0   1471.2137   0.0039
   214   0   1474.6067   0.0038
   215   0   1477.9996   0.0039
   216   0   1481.3720   0.0040
   217   0   1484.7524   0.0040
   218   0   1488.1078   0.0042
   219   0   1491.4672   0.0042
   220   0   1494.8205   0.0041
   221   0   1498.1622   0.0041
   222   0   1501.4950   0.0043
   223   0   1504.8220   0.0041
   224   0   1508.1340   0.0042
   225   0   1511.4499   0.0043
   226   0   1514.7516   0.0044
   227   0   1518.0468   0.0043
   228   0   1521.3440   0.0044
   229   0   1524.6239   0.0044
   230   0   1527.9077   0.0045
   231   0   1531.1662   0.0045
   232   0   1534.4385   0.0046
   233   0   1537.6903   0.0045
   234   0   1540.9359   0.0047
   235   0   1544.1778   0.0048
   236   0   1547.4071   0.0048
   237   0   1550.6292   0.0049
   238   0   1553.8437   0.0050
   239   0   1557.0630   0.0050
   240   0   1560.2768   0.0050
   241   0   1563.4704   0.0049
   242   0   1566.6555   0.0052
   243   0   1569.8558   0.0050
   244   0   1573.0296   0.0051
   245   0   1576.2021   0.0051
   246   0   1579.3769   0.0052
   247   0   1582.5347   0.0052
   248   0   1585.6919   0.0054
   249   0   1588.8384   0.0054
   250   0   1591.9711   0.0055
