n l nu dnu
7 20 1893.9079 0.0072
8 20 2050.0527 0.008
9 20 2203.1308 0.0089
10 20 2352.3802 0.0098
11 20 2498.9013 0.0102
12 20 2644.8102 0.0096
13 20 2790.6506 0.0091
14 20 2935.8725 0.009
15 20 3080.3933 0.0096
16 20 3224.3525 0.012
17 20 3367.9706 0.0155
18 20 3511.7753 0.0191
19 20 3655.4862 0.0248
20 20 3799.0646 0.031
21 20 3942.8783 0.039
22 20 4086.4816 0.0515
23 20 4230.288 0.0684
24 20 4374.2714 0.0895
25 20 4517.8979 0.1264
2 21 1005.0926 0.0019
4 21 1408.0748 0.0032
5 21 1589.2846 0.0038
6 21 1758.2204 0.0062
7 21 1919.8126 0.0071
8 21 2077.7246 0.0077
9 21 2231.8498 0.0095
10 21 2381.8898 0.0096
11 21 2529.2612 0.0099
12 21 2676.1386 0.0097
13 21 2822.9245 0.0089
14 21 2968.8432 0.0086
15 21 3113.8619 0.0099
16 21 3258.4208 0.0128
17 21 3402.7812 0.0158
18 21 3547.0612 0.0203
19 21 3691.3429 0.0255
20 21 3835.4316 0.0325
21 21 3979.63 0.042
22 21 4123.7958 0.0544
23 21 4267.972 0.0735
24 21 4412.0447 0.0947
25 21 4556.3964 0.1346
2 22 1022.448 0.0016
3 22 1233.1151 0.0025
4 22 1429.1236 0.0031
5 22 1611.3465 0.0043
6 22 1781.5262 0.0064
7 22 1945.0362 0.007
8 22 2104.7284 0.0083
9 22 2259.965 0.0095
10 22 2410.7687 0.0099
11 22 2559.1516 0.0096
12 22 2707.0512 0.0088
13 22 2854.6591 0.0088
14 22 3001.3298 0.009
15 22 3146.9302 0.0098
16 22 3292.101 0.0131
17 22 3437.1384 0.016
18 22 3582.0124 0.0213
19 22 3726.8203 0.0267
20 22 3871.5271 0.0327
21 22 4016.0725 0.0442
22 22 4160.7151 0.0583
23 22 4305.4623 0.0757
24 22 4449.9268 0.1044
25 22 4594.3383 0.139
3 23 1252.2452 0.0029
4 23 1449.6889 0.0033
5 23 1632.7903 0.0042
6 23 1804.1995 0.0057
7 23 1969.6333 0.0072
8 23 2131.0808 0.0084
9 23 2287.4372 0.0093
10 23 2439.1442 0.0101
11 23 2588.6088 0.0095
12 23 2737.5471 0.0088
13 23 2885.9901 0.0089
14 23 3033.3737 0.0089
15 23 3179.6164 0.0107
16 23 3325.4272 0.0132
17 23 3471.1141 0.0166
18 23 3616.5678 0.0221
19 23 3761.8896 0.0272
20 23 3907.1833 0.0347
21 23 4052.2941 0.0469
22 23 4197.2773 0.0613
23 23 4342.4691 0.0814
24 23 4487.2432 0.1132
3 24 1271.0066 0.0021
4 24 1469.7877 0.0033
5 24 1653.686 0.0048
6 24 1826.2987 0.0062
7 24 1993.5483 0.0075
8 24 2156.7412 0.0086
9 24 2314.268 0.0091
10 24 2466.9733 0.0099
11 24 2617.6161 0.0091
12 24 2767.6237 0.0085
13 24 2916.8886 0.0084
14 24 3064.9473 0.0088
15 24 3211.9001 0.0108
16 24 3358.3654 0.0136
17 24 3504.7276 0.0172
18 24 3650.8027 0.0226
19 24 3796.5996 0.0286
20 24 3942.3698 0.037
21 24 4088.0131 0.0497
22 24 4233.5372 0.0657
23 24 4379.09 0.0872
2 25 1072.5221 0.0023
3 25 1289.4094 0.0022
4 25 1489.4554 0.0035
5 25 1674.0903 0.0048
6 25 1847.8868 0.0061
7 25 2016.9056 0.0077
8 25 2181.7241 0.0083
9 25 2340.4506 0.0091
10 25 2494.315 0.0097
11 25 2646.1911 0.0097
12 25 2797.2984 0.0085
13 25 2947.3279 0.0083
14 25 3096.0986 0.009
15 25 3243.7925 0.0115
16 25 3390.9947 0.0143
17 25 3537.9427 0.0181
18 25 3684.7352 0.0235
19 25 3831.016 0.0297
20 25 3977.3034 0.0392
21 25 4123.5696 0.0527
22 25 4269.3296 0.0701
23 25 4415.5494 0.0953
24 25 4561.0966 0.1257
2 26 1088.5943 0.0023
3 26 1307.482 0.0022
4 26 1508.7081 0.0038
5 26 1694.0353 0.0047
6 26 1869.0157 0.0066
7 26 2039.7164 0.0079
8 26 2206.0227 0.0084
9 26 2366.0065 0.0092
10 26 2521.1757 0.0092
11 26 2674.32 0.009
12 26 2826.5107 0.0082
13 26 2977.3487 0.0079
14 26 3126.8205 0.0091
15 26 3275.3027 0.0121
16 26 3423.205 0.0149
17 26 3570.8188 0.0194
18 26 3718.2644 0.0242
19 26 3865.2084 0.0309
20 26 4011.8979 0.0417
21 26 4158.6849 0.055
22 26 4305.0463 0.0744
23 26 4451.2562 0.1
2 27 1104.3879 0.0032
3 27 1325.2229 0.0031
4 27 1527.5543 0.0046
5 27 1713.5775 0.0047
6 27 1889.7458 0.0064
7 27 2062.0371 0.0071
8 27 2229.7014 0.0083
9 27 2390.9265 0.0092
10 27 2547.4991 0.009
11 27 2702.0175 0.0084
12 27 2855.3022 0.0079
13 27 3006.9548 0.0079
14 27 3157.1532 0.0093
15 27 3306.3947 0.0123
16 27 3455.08 0.0158
17 27 3603.3744 0.0205
18 27 3751.3704 0.0254
19 27 3898.9245 0.0324
20 27 4046.2372 0.0451
21 27 4193.414 0.0597
22 27 4340.279 0.0805
23 27 4487.2276 0.1068
3 28 1342.6529 0.0023
4 28 1546.0374 0.0034
5 28 1732.741 0.0056
6 28 1910.1292 0.0067
7 28 2083.899 0.0075
8 28 2252.7862 0.0083
9 28 2415.2924 0.0092
10 28 2573.3288 0.0091
11 28 2729.2631 0.0081
12 28 2883.6457 0.0078
13 28 3036.1309 0.0083
14 28 3187.1103 0.0095
15 28 3337.1458 0.0125
16 28 3486.6447 0.0162
17 28 3635.5931 0.0208
18 28 3784.1481 0.0263
19 28 3932.4035 0.0353
20 28 4080.2057 0.0468
21 28 4227.8421 0.063
22 28 4375.2234 0.0856
23 28 4522.2768 0.1127
2 29 1135.1721 0.002
3 29 1359.773 0.0028
4 29 1564.1421 0.0035
5 29 1751.5539 0.0053
6 29 1930.1804 0.0062
7 29 2105.3079 0.0073
8 29 2275.2996 0.0081
9 29 2439.0148 0.0091
10 29 2598.611 0.0089
11 29 2756.1083 0.0082
12 29 2911.5638 0.008
13 29 3064.915 0.0083
14 29 3216.6557 0.0101
15 29 3367.5272 0.0128
16 29 3517.8012 0.0166
17 29 3667.4631 0.0214
18 29 3816.6291 0.0276
19 29 3965.5646 0.0366
20 29 4113.9647 0.0506
21 29 4261.996 0.0688
22 29 4409.7035 0.0926
2 30 1150.1886 0.002
3 30 1376.6104 0.0025
4 30 1581.8968 0.0037
5 30 1770.0417 0.0053
6 30 1949.9419 0.0067
7 30 2126.3363 0.0075
8 30 2297.3192 0.0086
9 30 2462.2234 0.009
10 30 2623.4357 0.0087
11 30 2782.4203 0.0081
