M	radius	Teff	L	age	XMF	ZMF	alpha	X	Z	nu_ac	X_surf	Z_surf	mu	Gamma	Dnu0	nu_max_classic	nu_max	Fe/H
1	13.34649	4291.311	1.734567	12.6033	0	0.01649999	1.700982	0.6974627	0.0165	32.31551	0.697462754	0.0165	1.30909	1.61867	2.68476486067268	20.1270690932079	20.515622600001	0.0135588691715575
1	13.76078	4278.386	1.755902	12.6054	0	0.01649999	1.700982	0.6974627	0.0165	30.42856	0.697462754	0.0165	1.30911	1.61776	2.56382207362158	18.9619753507613	19.3281843417683	0.0135588691715575
1	14.18736	4265.501	1.777169	12.6073	0	0.01649999	1.700982	0.6974627	0.0165	28.65413	0.697462754	0.0165	1.30913	1.61677	2.44838555149226	17.8657585856234	18.2109356603088	0.0135588691715575
1	14.62734	4252.458	1.798395	12.6092	0	0.01649999	1.700982	0.6974627	0.0165	26.98257	0.697462754	0.0165	1.30915	1.61569	2.33829049568165	16.8328996397294	17.1582523302508	0.0135588691715575
1	15.07962	4239.455	1.819519	12.611	0	0.01649999	1.700982	0.6974627	0.0165	25.41284	0.697462754	0.0165	1.30918	1.61456	2.23383463330571	15.8625810096937	16.1693642748677	0.0135588691715575
1	15.54596	4226.394	1.840606	12.6127	0	0.01649999	1.700982	0.6974627	0.0165	23.93398	0.697462754	0.0165	1.3092	1.61345	2.1338036001447	14.9482234364131	15.2374393593009	0.0135588691715575
1	16.02698	4213.277	1.861678	12.6144	0	0.01649999	1.700982	0.6974627	0.0165	22.54013	0.697462754	0.0165	1.30923	1.61234	2.03823990561022	14.0862783826947	14.3589820390111	0.0135588691715575
1	16.5215	4200.2	1.882664	12.6159	0	0.01649999	1.700982	0.6974627	0.0165	21.23054	0.697462754	0.0165	1.30925	1.61122	1.94719041421849	13.2762593734539	13.5333848144921	0.0135588691715575
1	17.03222	4187.068	1.903654	12.6175	0	0.01649999	1.700982	0.6974627	0.0165	19.99448	0.697462754	0.0165	1.30928	1.61003	1.86017725749976	12.5115795028065	12.7540412709439	0.0135588691715575
1	17.5583	4173.88	1.924597	12.6189	0	0.01649999	1.700982	0.6974627	0.0165	18.83081	0.697462754	0.0165	1.30931	1.60878	1.77715340981327	11.7916547146703	12.0203027782566	0.0135588691715575
1	1.109744	5830.422	0.1067361	7.49828	0.1366117	0.0165	1.700982	0.71743	0.0165	4032.083	0.71743	0.0165	1.28327	1.63875	116.787170617105	2497.54922770595	2520.5335875654	0.00130035633826706
1	18.09887	4160.734	1.945476	12.6203	0	0.01649999	1.700982	0.6974627	0.0165	17.73772	0.697462754	0.0165	1.30934	1.60747	1.69814309797103	11.1153147768056	11.3309779672621	0.0135588691715575
1	18.65708	4147.63	1.966361	12.6216	0	0.01649999	1.700982	0.6974627	0.0165	16.70623	0.697462754	0.0165	1.30937	1.60605	1.62284202181079	10.4766470264108	10.6800409138635	0.0135588691715575
1	19.23254	4134.471	1.987233	12.6229	0	0.01649999	1.700982	0.6974627	0.0165	15.73477	0.697462754	0.0165	1.3094	1.60454	1.55064821798114	9.8747565958809	10.066580687128	0.0135588691715575
1	19.82382	4121.355	2.008006	12.6241	0	0.01649999	1.700982	0.6974627	0.0165	14.82266	0.697462754	0.0165	1.30944	1.6029	1.48212150785197	9.30925570199777	9.49023949291892	0.0135588691715575
1	20.43447	4108.09	2.028779	12.6253	0	0.01649999	1.700982	0.6974627	0.0165	13.96172	0.697462754	0.0165	1.30948	1.60121	1.41654767764249	8.77531939141289	8.94605941655684	0.0135588691715575
1	21.06303	4094.869	2.049488	12.6264	0	0.01649999	1.700982	0.6974627	0.0165	13.15174	0.697462754	0.0165	1.30952	1.59955	1.35311482407375	8.27271312050809	8.43380282210543	0.0135588691715575
1	21.71057	4081.596	2.070159	12.6275	0	0.01649999	1.700982	0.6974627	0.0165	12.38886	0.697462754	0.0165	1.30956	1.5979	1.29376199179671	7.79923854611978	7.95122998893473	0.0135588691715575
1	22.37744	4068.366	2.090785	12.6286	0	0.01649999	1.700982	0.6974627	0.0165	11.67054	0.697462754	0.0165	1.3096	1.59621	1.23652775114111	7.35324188655714	7.49665624181608	0.0135588691715575
1	23.06439	4055.085	2.111357	12.6296	0	0.01649999	1.700982	0.6974627	0.0165	10.99393	0.697462754	0.0165	1.30964	1.59443	1.18113017057539	6.93307241171178	7.06839991363118	0.0135588691715575
1	23.77192	4041.755	2.13189	12.6305	0	0.01649999	1.700982	0.6974627	0.0165	10.35663	0.697462754	0.0165	1.30968	1.59255	1.12914076999602	6.53726591407771	6.6649694006837	0.0135588691715575
1	1.146335	5833.511	0.1358276	8.14699	0.07771596	0.0165	1.700982	0.71743	0.0165	3777.527	0.71743	0.0165	1.28325	1.63852	111.329856299186	2340.03065908077	2361.54700970347	0.00130035633826706
1	24.49774	4028.469	2.152301	12.6315	0	0.01649999	1.700982	0.6974627	0.0165	9.758583	0.697462754	0.0165	1.30973	1.59056	1.0797120877713	6.16577408507295	6.28634058683328	0.0135588691715575
1	25.24817	4015.134	2.172744	12.6324	0	0.01649999	1.700982	0.6974627	0.0165	9.192969	0.697462754	0.0165	1.30978	1.5884	1.03211039286088	5.81433204479365	5.92813954696384	0.0135588691715575
1	26.02063	4001.75	2.193134	12.6332	0	0.01649999	1.700982	0.6974627	0.0165	8.660456	0.697462754	0.0165	1.30984	1.58607	0.987060676962159	5.48338919318028	5.59084699885781	0.0135588691715575
1	26.81603	3988.412	2.213467	12.634	0	0.01649999	1.700982	0.6974627	0.0165	8.159333	0.697462754	0.0165	1.30989	1.58368	0.943735796481725	5.17154955376107	5.27299688694843	0.0135588691715575
1	27.63569	3975.026	2.233786	12.6348	0	0.01649999	1.700982	0.6974627	0.0165	7.687309	0.697462754	0.0165	1.30995	1.58138	0.902911005970662	4.87751991815071	4.97331333827321	0.0135588691715575
1	28.47916	3961.594	2.254024	12.6355	0	0.01649999	1.700982	0.6974627	0.0165	7.243208	0.697462754	0.0165	1.31001	1.57908	0.863434155157355	4.60066201789689	4.69112544041816	0.0135588691715575
1	29.34744	3948.117	2.274209	12.6362	0	0.01649999	1.700982	0.6974627	0.0165	6.82507	0.697462754	0.0165	1.31007	1.57674	0.826071821076986	4.3398449058458	4.42528118524227	0.0135588691715575
1	30.24065	3934.685	2.294316	12.6369	0	0.01649999	1.700982	0.6974627	0.0165	6.431534	0.697462754	0.0165	1.31013	1.57429	0.791065383818212	4.09423187252419	4.17492849597449	0.0135588691715575
1	31.16046	3921.209	2.314386	12.6376	0	0.01649999	1.700982	0.6974627	0.0165	6.060648	0.697462754	0.0165	1.31019	1.5717	0.756562633143873	3.8627086074348	3.93893213866956	0.0135588691715575
1	32.10507	3907.689	2.334316	12.6382	0	0.01649999	1.700982	0.6974627	0.0165	5.712036	0.697462754	0.0165	1.31026	1.5689	0.724292584606329	3.64504105867422	3.71706860920775	0.0135588691715575
1	1.183473	5828.811	0.1621406	8.71829	0.02657736	0.0165	1.700982	0.71743	0.0165	3545.446	0.71743	0.0165	1.28323	1.63848	106.181504840467	2196.35717855543	2216.535192699	0.00130035633826706
1	33.07675	3894.126	2.354194	12.6389	0	0.01649999	1.700982	0.6974627	0.0165	5.383653	0.697462754	0.0165	1.31034	1.5659	0.693325752774976	3.44000442951125	3.50808746068518	0.0135588691715575
