model	mass	radius	log_g	logTeff	logL	age	Y	Z	feh	al	Y_c	Z_c
0058	1.6000E+00	3.0090E+00	3.6850E+00	3.8034E+00	1.1238E+00	1.9924E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0059	1.6000E+00	3.0127E+00	3.6839E+00	3.8031E+00	1.1238E+00	1.9928E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0060	1.6000E+00	3.0163E+00	3.6829E+00	3.8028E+00	1.1238E+00	1.9932E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0061	1.6000E+00	3.0200E+00	3.6818E+00	3.8026E+00	1.1237E+00	1.9936E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0062	1.6000E+00	3.0237E+00	3.6808E+00	3.8023E+00	1.1237E+00	1.9940E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0063	1.6000E+00	3.0274E+00	3.6797E+00	3.8020E+00	1.1236E+00	1.9944E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0064	1.6000E+00	3.0311E+00	3.6786E+00	3.8017E+00	1.1235E+00	1.9948E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0065	1.6000E+00	3.0349E+00	3.6775E+00	3.8014E+00	1.1235E+00	1.9952E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0066	1.6000E+00	3.0386E+00	3.6765E+00	3.8011E+00	1.1234E+00	1.9956E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0067	1.6000E+00	3.0424E+00	3.6754E+00	3.8009E+00	1.1233E+00	1.9960E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0068	1.6000E+00	3.0462E+00	3.6743E+00	3.8005E+00	1.1232E+00	1.9964E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0069	1.6000E+00	3.0500E+00	3.6732E+00	3.8003E+00	1.1231E+00	1.9968E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0070	1.6000E+00	3.0539E+00	3.6721E+00	3.7999E+00	1.1230E+00	1.9972E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0071	1.6000E+00	3.0577E+00	3.6710E+00	3.7997E+00	1.1229E+00	1.9976E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0072	1.6000E+00	3.0616E+00	3.6699E+00	3.7993E+00	1.1228E+00	1.9980E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
