M Y Z alpha diffusion overshoot age X_c log_g radius Y_surf
1.137311354492188453e+00 2.910626523437501723e-01 2.270958105468743812e-02 1.843296935546866022e+00 2.797826064453124983e-01 2.033640351562512327e-01 4.652272685734451407e+00 2.180087284160525385e-01 4.251900610686789150e+00 1.322159171013351342e+00 2.812817939136312839e-01
1.089441539062500741e+00 2.813715390624988433e-01 1.607904687500000263e-02 1.980232711914068577e+00 6.812365986328149381e-01 2.241882265625004811e-01 5.326407789414952632e+00 1.678516537314004020e-01 4.247275446801879184e+00 1.300806661003903519e+00 2.625206075084174362e-01
1.174124165039056145e+00 2.927316738281252606e-01 2.288545898437502335e-02 1.984186935546877750e+00 3.654575429687479393e-01 2.109810175781246799e-01 3.955940214051877568e+00 2.474690539264111644e-01 4.252434464276445780e+00 1.342383048139828894e+00 2.820213177892921808e-01
1.058298565429686144e+00 2.804220917968744398e-01 1.310055078125000119e-02 1.926453007812506391e+00 2.201997265624993094e-01 2.307404970703123559e-01 5.552544738409239677e+00 1.547017097935135810e-01 4.245524009813544275e+00 1.284379205550303160e+00 2.727227218146263121e-01
1.134877101562494772e+00 2.935489999999998378e-01 2.054079394531243413e-02 1.894676881835931859e+00 2.546951445312491402e-01 1.800872675781250987e-01 4.414837484648009180e+00 2.009373581349673255e-01 4.244022565895769539e+00 1.332625556476970452e+00 2.849309135909184887e-01
1.079806161132810693e+00 2.813834580078120595e-01 1.412022656250001666e-02 1.935602644531259298e+00 3.722504121093745955e-01 2.121309238281248455e-01 5.230244618378738330e+00 1.623728733386657908e-01 4.240318986465030804e+00 1.305300665117178349e+00 2.681114441152612771e-01
1.114716800781247574e+00 2.889717597656245029e-01 1.933958105468743666e-02 1.927711632812505238e+00 7.439372597656275232e-01 1.600527431640628995e-01 4.764398138688866524e+00 1.710692582564128095e-01 4.250025546472325111e+00 1.312075538883008319e+00 2.688671444924742859e-01
1.142165225585934252e+00 2.942954853515624136e-01 2.160827636718749140e-02 2.009036945312505651e+00 3.803608525390606010e-01 2.123590214843751323e-01 4.218001895490443687e+00 2.353145856188509077e-01 4.268956216017897098e+00 1.298574065202243499e+00 2.838882170335418897e-01
1.143008978515618113e+00 2.966441523437499117e-01 2.079294726562503498e-02 2.062350095703134212e+00 3.333549882812487652e-01 2.043619746093745249e-01 4.250119174117825693e+00 2.042983622174828762e-01 4.255797643814952735e+00 1.318905742100234146e+00 2.874094017667981338e-01
1.129465095703123811e+00 2.878736796874998838e-01 2.080628906249991708e-02 1.893473808593747476e+00 5.615612246093760751e-01 1.736106435546883320e-01 4.706570415117580453e+00 1.864449691708177093e-01 4.250166461570524135e+00 1.320989237685266549e+00 2.723533684197594895e-01
1.080260311523436378e+00 2.827893652343745345e-01 1.478330078124999447e-02 1.912986406250008153e+00 4.203283105468746950e-01 2.112105683593751559e-01 5.186701928259179972e+00 1.732677133657291590e-01 4.244184392143850459e+00 1.300043547699443858e+00 2.695084419563176792e-01
1.139573262695314337e+00 2.905988535156248664e-01 2.297081347656243153e-02 1.885154852539058901e+00 2.763476269531245921e-01 2.037200703125009171e-01 5.069386245919862866e+00 1.649684483480568509e-01 4.231519245949155739e+00 1.355458139425016251e+00 2.814266831397198576e-01
1.117004733398434091e+00 2.876681884765621144e-01 1.962101953124994330e-02 1.915677855468753688e+00 8.689659140625043410e-01 1.881505947265632861e-01 4.768375640688306660e+00 1.977894527654642243e-01 4.253475381840242875e+00 1.307960989284880027e+00 2.657754574757076327e-01
1.118844947265623224e+00 2.889362060546870614e-01 1.897009277343741571e-02 1.904760182617188935e+00 6.393916416015643644e-01 1.834584912109381571e-01 4.729680381100966002e+00 1.858229429141917133e-01 4.241021521574559472e+00 1.328516958302509599e+00 2.710111942310165500e-01
1.100608239257806265e+00 2.970836162109367073e-01 1.778442480468742787e-02 1.972380198242193350e+00 6.668142285156288818e-01 1.675956630859374297e-01 4.536461970392337228e+00 1.825507910525546174e-01 4.251388106936404121e+00 1.300992528080400668e+00 2.792482128844280265e-01
1.114668052734365533e+00 2.955834013671865823e-01 1.870300976562493805e-02 1.992450117187501535e+00 5.070513828125008393e-01 1.589382597656249785e-01 4.522804378927599345e+00 1.725311854116591825e-01 4.251094640152706106e+00 1.309727267358336222e+00 2.817042797749114702e-01
1.079163180664061139e+00 2.800981630859368243e-01 1.413811132812500468e-02 1.851224297851570055e+00 3.145921435546867317e-01 2.085232490234376623e-01 5.314205437431377632e+00 1.585930825369482322e-01 4.231314548951928600e+00 1.318966172529339120e+00 2.678516483386315095e-01
1.119183741210937555e+00 2.807796464843750339e-01 1.771239257812493723e-02 1.882561290039074686e+00 6.919417236328139209e-01 1.737706484375005633e-01 4.941087252544463126e+00 1.718877105627401591e-01 4.231652291822157963e+00 1.343661774517252994e+00 2.623956311562730681e-01
1.105872781249998882e+00 2.905910869140624908e-01 1.795797558593743501e-02 1.898258389648443512e+00 5.823228564453136746e-01 1.692003867187504562e-01 4.661600217932939216e+00 1.854008082815990499e-01 4.248072328127679320e+00 1.309657771416516292e+00 2.740867397581878140e-01
