M Y Z alpha diffusion overshoot age log_g radius Y_surf X_c mass_cc
1.081371420898448621e+00 2.665726958007837433e-01 2.348684570312512682e-02 1.839132294433617032e+00 1.007975079101550042e+00 1.646859521484386468e-01 6.553931109734663529e+00 4.301527801016681529e+00 1.218562714283419668e+00 2.299089836703432366e-01 7.271831990059872408e-02 9.661108212311770443e-03
1.093742956542973044e+00 2.615951845703148870e-01 2.307227197265644333e-02 1.897390269531269880e+00 1.050264910156230691e+00 1.873015996093769786e-01 6.604124396961935872e+00 4.298444510604356061e+00 1.230445175001111613e+00 2.260798649382033121e-01 7.655922315259866551e-02 1.180347883821766808e-02
1.111404583984378913e+00 2.567074023437532215e-01 2.275206201171893136e-02 1.897574649414089265e+00 1.167470905273418680e+00 1.630048320312513788e-01 6.240637553590678621e+00 4.299972060309642963e+00 1.237109482564428875e+00 2.220830259831909625e-01 9.118587810938723337e-02 1.462154936222179007e-02
1.119632551269524878e+00 2.625171918945316540e-01 2.258887402343786460e-02 1.963988786132827347e+00 1.231847004394520217e+00 1.218543959960955159e-01 5.980871073897566781e+00 4.287387902540332085e+00 1.259593027612579519e+00 2.270407655294885418e-01 1.246705108208776142e-01 2.948992921099661060e-02
1.084438054687496544e+00 2.652591694335940109e-01 2.333010693359404905e-02 1.910353530273450007e+00 1.093603568359355904e+00 1.598172128906260869e-01 7.053018200069200994e+00 4.285429688584405206e+00 1.243281104037631701e+00 2.283804589518175776e-01 8.120791910100241817e-02 2.081129710216216358e-02
1.096828322265617661e+00 2.740818188476577544e-01 2.362255322265644983e-02 1.896971325683601828e+00 1.054858140624987506e+00 1.718736953125026556e-01 6.205997986443362535e+00 4.282841719947249715e+00 1.254030558455206501e+00 2.375489521343651100e-01 1.532881876332111426e-01 3.809624435134405934e-02
1.095375291503913218e+00 2.699860712890637671e-01 2.170749853515647684e-02 1.858524001953132831e+00 9.641198027343590438e-01 1.363551953125013705e-01 5.769839889360709684e+00 4.288003819723434695e+00 1.245463360660699959e+00 2.317367017553165209e-01 1.281052829064850129e-01 2.415953817028224440e-02
1.092554865234377726e+00 2.649957841796889979e-01 2.428479833984397221e-02 1.898711788574230175e+00 1.053925539062483541e+00 1.929265327148455278e-01 6.486367024858147090e+00 4.307096223649962141e+00 1.218780665547596564e+00 2.300715824817158028e-01 1.169353403917810924e-01 1.792681066246618049e-02
1.086021095703121997e+00 2.620007783203135432e-01 2.368413623046889890e-02 2.024657587402351577e+00 9.761100209960786867e-01 2.035075966796903446e-01 7.104553156148337045e+00 4.307461747271482899e+00 1.213953795339870911e+00 2.279026164544435129e-01 9.741651365557234266e-02 2.279151995536569594e-02
1.082438523437507572e+00 2.781586909179683542e-01 2.164703173828144353e-02 1.874644478515637536e+00 9.464167441406157177e-01 1.262245903320324270e-01 5.760013364955937298e+00 4.286492251961226962e+00 1.240167917391690855e+00 2.385080808698188670e-01 1.168823080563777816e-01 2.447874027563590182e-02
1.083204096679690309e+00 2.778994028320316834e-01 2.306510498046889304e-02 1.892230242675797092e+00 9.811496010742102314e-01 1.424876118164074279e-01 6.047535751024469164e+00 4.288883129842225195e+00 1.237449120752035503e+00 2.392605270487260793e-01 1.192585742565935719e-01 2.704435712565804797e-02
1.072599979492191657e+00 2.799570991210942883e-01 2.119223925781267906e-02 1.907314794433605076e+00 1.018830509765617842e+00 1.401435864257824793e-01 6.148919265496902042e+00 4.277170103427778258e+00 1.248082257947855211e+00 2.397327981465522395e-01 1.167055804139005004e-01 3.173547559439932053e-02
1.089613852050781651e+00 2.651815131835951189e-01 2.259890185546888086e-02 1.933467041015654475e+00 1.115064832519518934e+00 1.697154965820331096e-01 6.477240383507266053e+00 4.298467802625637546e+00 1.227445850404807137e+00 2.292442037801379340e-01 6.543168771367101344e-02 1.231853469768844078e-02
1.068569507812501707e+00 2.682017290039082624e-01 2.312823144531267819e-02 1.925238301757822956e+00 1.005741967285135097e+00 2.049907084960949921e-01 6.923967255239889873e+00 4.310582593967674292e+00 1.199535498456124394e+00 2.324805563059300084e-01 9.221337516110786336e-02 1.586880617936155258e-02
1.094933353515619601e+00 2.628585747070341094e-01 2.501012744140641841e-02 2.027596349121091102e+00 9.888633749999867772e-01 2.412711967773475685e-01 7.007091804223271048e+00 4.309112106944415821e+00 1.217251588374198334e+00 2.300769425639761223e-01 1.174054664800247144e-01 2.691475549918553867e-02
1.068286412109382688e+00 2.690566416015643947e-01 2.243906640625020418e-02 1.912663291503920338e+00 1.061379086914046477e+00 1.992920117187510221e-01 6.798851695812189178e+00 4.303490941177502194e+00 1.209039042463353475e+00 2.324201650231061678e-01 8.078281958655247896e-02 1.292987738035961121e-02
1.080542260253913422e+00 2.761617861328110046e-01 2.310845703125000150e-02 1.887929808105500928e+00 9.121541689453153134e-01 1.360754946289062239e-01 5.875916985950309979e+00 4.307441936991138753e+00 1.209471870075775168e+00 2.391689440212995121e-01 7.765754892201859327e-02 9.928270669200383799e-03
1.088709899902348344e+00 2.650955961914080450e-01 2.346068798828144022e-02 1.871555236816426993e+00 1.065826958007795477e+00 1.777410556640642014e-01 6.619499007898640208e+00 4.296118098975976629e+00 1.230119082625049654e+00 2.289141002193302854e-01 7.181785197098661255e-02 1.191595250197175285e-02
