M Y Z alpha diffusion overshoot age X_c log_g radius Y_surf
9.991997626953112999e-01 2.789237226562503724e-01 2.058953027343730577e-02 1.788453346679698575e+00 2.616759824218736763e-01 1.759081435546876460e-01 7.481327470578795769e+00 1.268426077207617242e-01 4.351213652155133893e+00 1.106303782640083444e+00 2.721231192715978797e-01
9.813521416015610344e-01 2.792940507812493034e-01 1.962727636718731780e-02 1.762316952148449190e+00 2.685134384765616722e-01 1.730213740234375630e-01 7.821974955528301798e+00 1.207864769974994062e-01 4.352782924652181862e+00 1.094834770921834677e+00 2.716214228605935976e-01
9.988333408203072805e-01 2.766254531249995874e-01 2.010584765624977982e-02 1.750315073242197705e+00 2.594169335937485665e-01 1.537247158203121356e-01 7.555535783131093197e+00 1.233473629882569506e-01 4.345084589190720159e+00 1.114363231174734015e+00 2.696825107376428221e-01
1.002036108398440595e+00 2.706851142578130531e-01 1.899673144531235577e-02 1.898671899414079212e+00 3.453307656250003133e-01 1.986719316406253544e-01 7.525661784200874393e+00 1.429293740695965487e-01 4.360099775216236928e+00 1.096274067297329236e+00 2.621799775212686479e-01
1.034618184570313959e+00 2.691585888671880755e-01 2.085752734374989037e-02 1.868448889648450573e+00 5.542364980468763580e-01 1.831919902343747963e-01 6.541028838396980127e+00 1.935842733811374006e-01 4.361439671501821103e+00 1.112398462421731127e+00 2.561980775231418872e-01
1.031148447265611390e+00 2.674221923828106751e-01 2.141113574218721574e-02 1.617775289062509003e+00 1.361480644531244122e-01 6.954881738281275261e-02 6.912818203242921733e+00 1.491624847579170188e-01 4.340948577930413776e+00 1.136614755212595584e+00 2.640379233445062090e-01
1.003091828124995644e+00 2.747531406249995034e-01 1.997786425781230418e-02 1.747428775390635458e+00 3.195232041015627633e-01 1.537354423828121153e-01 7.312197099999920624e+00 1.491642885296231291e-01 4.349835472197713493e+00 1.110754234469035762e+00 2.665723642961702056e-01
1.052525784179688229e+00 2.644731044921884711e-01 2.068795996093743261e-02 1.867228083984390219e+00 4.292912919921895720e-01 1.697952626953122268e-01 6.591376009418410398e+00 1.544623467585130028e-01 4.345840038426639573e+00 1.141991532825327171e+00 2.543611399430505404e-01
1.009219185546870401e+00 2.741531181640620152e-01 2.045345117187481743e-02 1.740542164062510722e+00 3.609418759765638529e-01 1.581519697265621749e-01 7.011366949318371233e+00 1.777355887679495927e-01 4.355027431179354203e+00 1.107686838687853337e+00 2.645828422535708158e-01
1.020645095703114791e+00 2.692404755859358345e-01 2.067093261718727995e-02 1.681948632812509503e+00 3.580644189453145998e-01 1.122372900390618683e-01 6.992510414187001366e+00 1.631236526628425942e-01 4.345468159401382202e+00 1.125886484341831695e+00 2.606888177028041098e-01
