num_points variable r2 ev sigma diff
4 mass_cc 0.618273763844 0.623996404852 0.420860012909 0.00934286220527
4 Y_surf 0.455930529903 0.456360167955 0.596429472002 0.0352998695425
4 L 0.992534288051 0.992540551932 0.260653001968 0.0922127784843
4 radius 0.980135169677 0.980160501226 0.374713452706 0.0219362282243
4 M 0.921018122231 0.921354066366 0.587478050765 0.048232921875
4 Y 0.0580398152169 0.0594009297999 0.867101511551 0.0273416640625
4 Z 0.921520755575 0.922292949635 0.348498271784 0.0009627265625
4 alpha 0.116431170616 0.116536083946 0.789029251044 0.212663714844
4 overshoot 0.33087524467 0.331159507718 0.495760545887 0.0609951171875
4 diffusion 0.428634584992 0.431468330538 0.292278720818 0.506554261719
4 age 0.9261353142 0.926152156355 0.32773384993 0.215388992037
4 X_c 0.91178249509 0.913220367691 0.512745932605 0.0408606415528
