num_points	parameter	r2	ev	dist	diff	sigma
4	M	0.918422122225	0.91843547767	0.575948461785	0.0480354277344	0.0875172818714
4	Y	0.0698789973957	0.0700995577281	0.803382891799	0.0258337285156	0.0327808405404
4	Z	0.926813320416	0.927552830835	0.364755056426	0.000649625	0.00228113807454
4	alpha	0.113738615418	0.114067139094	0.814322924384	0.220774925781	0.276532873531
4	overshoot	0.335117104808	0.335483919893	0.480053528911	0.0523611328125	0.115829842884
4	diffusion	0.450843749973	0.457241417638	0.253548158741	1.25267051563	5.9248514202
4	age	0.933871262179	0.934002533753	0.362582172418	0.20017852043	0.590922734026
4	X_c	0.910619267914	0.910641120725	0.518337857604	0.0406633849792	0.084419630408
4	Y_surf	0.81069334637	0.810997119501	0.450864799754	0.0281960312006	0.060894665467
4	L	0.989982867281	0.989985252904	0.269978330158	0.128742471795	0.568789297723
