num_tracks variable r2 ev sigma diff
2 Y_surf 0.0119614382604 0.316714581392 1.24459730983 0.0863884117527
2 L 0.568488096215 0.593443507354 0.453180179954 1.84243460693
2 radius 0.0550961820858 0.152805333063 0.690234216844 0.138006929046
2 M 0.152578034464 0.152622723017 0.893717502915 0.155533408203
2 Y -0.952644603849 -0.368405153179 1.77726813864 0.034183
2 Z -0.20407739955 0.014215098441 7.07202003414 0.00184187695313
2 alpha -0.598384655527 -0.0145997998251 11.242065327 0.2492995
2 overshoot -0.252094797348 0.0 inf 0.008532
2 diffusion -0.0644593452774 -0.0636238457003 1.56038233913 3.03604457031
2 age 0.118599887053 0.222106706133 0.669264848837 1.84235208539
2 X_c 0.505484227444 0.507137093787 0.602338734199 0.104154552275
2 Y_surf 0.217372838961 0.332223569108 1.41736494914 0.0733996533869
2 L 0.44527318415 0.574165513468 0.578361935075 1.96924993632
2 radius 0.0844363794244 0.125834394401 1.08030748779 0.132100527394
2 M -0.741344231366 -0.171679443437 12.1043183698 0.235688253906
2 Y -1.24290286798 -0.0359372327189 20.0691101447 0.0385729492188
2 Z 0.567550822149 0.877594298639 1.57482326228 0.0113475273437
2 alpha -2.33064338983 -0.0936481314988 17.156655424 0.432363029297
2 overshoot -0.21108550957 -0.00100109196013 54.4190015845 0.00827216015625
2 diffusion -0.215471360789 -0.211832791769 1.10887359997 0.591330355469
2 age -0.46203720987 -0.220089875955 1.41232335961 2.96205490641
2 X_c 0.37574049429 0.483634065402 0.788898949044 0.122862248062
2 Y_surf -0.860663961673 -0.160241637425 7.06801601614 0.0634348812964
2 L -0.602319909264 -0.00208939985251 10.4803094608 1.99508939181
2 radius 0.100379906984 0.138142537509 1.43962555404 0.136031586736
2 M -0.113106379599 -0.0545874243615 1.24448094225 0.215697773438
2 Y -0.470912179154 -0.00356227717024 24.9995152934 0.0295671171875
2 Z 0.187136494259 0.202614532676 3.40869129387 0.012635375
2 alpha -0.0582650568162 -0.00414261454789 9.8807569278 0.250981947266
2 overshoot -2.27942775137 -1.61439226031 0.400183793894 0.116530517578
2 diffusion -5.72499434874 -0.635191970698 2.61919352327 36.6695069727
2 age -0.135209296001 0.0968955195217 0.930429495564 0.741250480678
2 X_c -0.187030479832 0.322133367976 1.07576756365 0.148204041896
2 Y_surf -0.128563375026 0.126783381505 1.59204137956 0.114438004578
2 L -0.434179138807 -0.19917995014 1.42929940795 2.88632322256
2 radius -0.236340416663 0.166426398389 0.864865385657 0.191936925034
2 M 0.176969831206 0.214454761366 1.43242956032 0.171223455078
2 Y -0.36002350118 -0.0132366283597 11.7970140569 0.0297472929688
2 Z -0.290844923916 0.000406410547433 18.4799964428 0.0009410546875
2 alpha -0.426325305599 -0.419932218919 0.858975995441 0.261600898437
2 overshoot -0.252094797348 0.0 inf 0.008532
2 diffusion -0.0983127450096 -7.07020317869e-06 25.9966957898 0.00411899609375
2 age -0.181453538408 -0.000318870932016 1.0354453964 0.817349275844
2 X_c 0.573038646667 0.573202335067 0.640774813207 0.0971228088365
2 Y_surf -0.20389942835 -0.0399055811556 2.6912412168 0.0613015200157
2 L 0.340618314047 0.364646515714 1.37494970326 3.16286316237
2 radius 0.210241621512 0.23926647862 1.54028227756 0.106504694676
2 M -1.42834638433 -0.625255459498 1.71522544687 0.27635071875
2 Y -1.66941440601 -0.00250897290967 41.0502908328 0.0453127578125
2 Z 0.375590614187 0.408509614039 0.494596537347 0.00339465625
2 alpha -0.450534235658 -0.418512091671 1.95031281275 0.260322851563
2 overshoot -0.172299226052 -0.0108036063224 6.2092109956 0.0226965273438
2 diffusion -0.0961106829709 0.000103897553829 10.3685098078 0.0523430976562
2 age -1.85588619769 -1.29897029207 1.68328054459 4.48557631303
2 X_c -0.100257971561 0.228969980283 1.00191909742 0.145795971199
2 Y_surf -0.94916244421 0.0807335454899 15.4188658741 0.0770334127339
2 L -0.391505472547 -0.0421367721673 2.3810395853 1.97543786208
2 radius 0.144775446663 0.169482658212 0.872165953828 0.155904064913
4 M 0.247615890196 0.278440039361 1.33639434093 0.129442076172
4 Y -1.35773387664 -0.0712238665165 12.3804389543 0.03882803125
4 Z 0.190488490643 0.292144938634 0.889176576424 0.0017932421875
4 alpha -0.379939269905 -0.372212951556 2.06495040689 0.260178243164
4 overshoot -0.208674426776 0.000592346776489 2.07701649821 0.013528609375
4 diffusion -0.0464985988646 0.016524055648 0.77801468197 0.691303552734
4 age 0.353618458953 0.467839490432 0.604689905363 0.869170421774
4 X_c 0.708302811113 0.710748585749 0.566540747193 0.0794044356602
4 Y_surf 0.398360831117 0.433679251209 1.57025883859 0.0693781267213
4 L 0.805173791334 0.815367446822 0.473123642417 0.863858345818
4 radius 0.13222887002 0.248587520527 1.34243130011 0.10034207435
4 M 0.324030650146 0.32673033358 1.31688065501 0.162268987305
4 Y -0.935809844582 -0.194213897917 1.69174142869 0.0351587441406
4 Z 0.44303820753 0.597454770299 0.69468299578 0.0100499902344
4 alpha -0.800988111367 -0.282311976776 1.66863479798 0.280828642578
4 overshoot -0.204411913675 -0.0162765659495 1.79065140261 0.0178827363281
4 diffusion -0.058508542286 0.00283327465508 0.914764491989 0.956800273438
4 age 0.349182344396 0.349907097754 0.595081711783 0.983191043075
4 X_c 0.572526501415 0.631549693333 0.634187190317 0.101171706669
