n_tracks variable cv ev
2 alpha -1.12204610268 -0.647255801639
2 overshoot -0.193323709909 0.00357844303709
2 diffusion -0.093257521426 -6.24493665669e-08
2 age -0.0947249675734 -0.0261474205659
2 X_c 0.557666168512 0.583233869675
2 mass_cc -0.504944349146 -0.373719852192
2 Y_surf -0.196756981423 0.0773444637807
2 L -0.255647149403 -0.034018196484
2 radius 0.103415562578 0.267020913901
2 M -1.36092078612 -0.830390576421
2 Y -0.375442509035 -0.282960803799
2 Z 0.47666016891 0.552421322455
2 alpha -1.88628649366 -0.00821971841459
2 overshoot -0.245849058487 -0.000391358195144
2 diffusion 0.0104405891239 0.0111742908263
2 age -1.03910406661 -0.759508163525
2 X_c 0.338154329027 0.347516418999
2 mass_cc -0.270428212354 -0.0561039542599
2 Y_surf 0.346355488443 0.491450738211
2 L -0.558019471899 -0.0549077632868
2 radius 0.335535846937 0.339504403072
2 M -0.265438532039 -0.234948361315
2 Y -0.652853804028 -0.0743212487572
2 Z -0.249144748344 0.312016597787
2 alpha -0.00878198209686 -0.00553769712702
2 overshoot -6.52882938048 -0.869140757274
2 diffusion -6.74624937437 -3.27284745372
2 age -0.0587075446231 0.0302736802816
2 X_c 0.190798964074 0.336420633756
2 mass_cc -1.51003411085 -0.685528632667
2 Y_surf -0.512211225373 0.281956588339
2 L 0.234314328829 0.35481958254
2 radius 0.170413928961 0.193392545078
2 M -0.0907818927493 0.0791868037144
2 Y -0.744527206992 -0.132359339854
2 Z -0.228819478595 0.0249339499066
2 alpha -0.155985163653 -0.112819103112
2 overshoot -0.0482080133587 -0.000374543409361
2 diffusion -0.0932576564295 0.0
2 age -1.92690300839 -0.689275400595
2 X_c 0.496696675525 0.554367353769
2 mass_cc -0.0406019148632 -0.0398269587194
2 Y_surf -0.19725550509 0.0815162300708
2 L -0.0283632091696 0.00574593527801
2 radius 0.381781677205 0.452076172338
2 M 0.266628409579 0.269988735759
2 Y -0.145123855466 -0.0859560740573
2 Z -0.229009511477 -0.0575099768438
2 alpha -1.0976295294 -0.000159638481583
2 overshoot -0.186568036122 -0.0124759744868
2 diffusion -0.659147251224 -0.338239375658
2 age 0.171679861656 0.204550602643
2 X_c 0.379778331694 0.386353717394
2 mass_cc -0.648891226038 -0.408797945873
2 Y_surf 0.424446485844 0.448926553894
2 L 0.204733906419 0.37347579903
2 radius 0.0328617862674 0.0330789789599
2 M 0.115695075072 0.283050056147
2 Y -1.77414703336 -0.728515980821
2 Z -0.223388032972 0.0362740281688
2 alpha -0.837807293735 -0.704586553793
2 overshoot -0.151707040862 -0.0709244786629
2 diffusion -0.0818353859079 0.000956454427105
2 age -0.167335178428 0.00288188048585
2 X_c 0.501075759982 0.501866426629
2 mass_cc -0.265229690459 0.0194863993127
2 Y_surf -1.50319759612 0.143517601017
2 L 0.298072040273 0.390655973397
2 radius 0.0712321145568 0.164674574935
2 M 0.334176773948 0.493471264179
2 Y -0.0911215502323 -0.0898251216365
2 Z -0.418934569178 0.190000759543
2 alpha -0.96987747813 -0.166126992666
2 overshoot -0.238122079961 -0.000190628518013
2 diffusion -0.0585309946926 -8.81893484339e-05
2 age 0.214146355376 0.538795350889
2 X_c 0.473332343046 0.493945303565
2 mass_cc -0.305173049659 0.0808398479099
