n_tracks m_points variable cv oob
4096 4 log_g 0.999898728254 0.999880417547
4096 4 L 0.995285981459 0.994921296637
4096 4 radius 0.993809892829 0.995147013433
4096 4 Y_surf 0.89995490183 0.93967109007
4096 4 mass_cc 0.647649866081 0.895186610663
4096 5 M 0.949002242066 0.964041927698
4096 5 Y 0.181415523939 0.516314086044
4096 5 Z 0.983813601387 0.983036509218
4096 5 alpha 0.193518713247 0.212923026731
4096 5 overshoot 0.489649725874 0.567926090068
4096 5 diffusion 0.342617912411 0.510779210828
4096 5 age 0.940220143883 0.959345420965
4096 5 X_c 0.927133982291 0.990234071804
4096 5 log_g 0.999943362434 0.999924857089
4096 5 L 0.99603356932 0.995285334614
4096 5 radius 0.995126789224 0.99547237258
4096 5 Y_surf 0.9190145613 0.940062073416
4096 5 mass_cc 0.785633835803 0.893330995866
4096 5 M 0.94859639446 0.964056413664
4096 5 Y 0.193941767685 0.515867552088
4096 5 Z 0.984012478334 0.982714175156
4096 5 alpha 0.192144771076 0.212815391242
4096 5 overshoot 0.500671538265 0.56988603289
4096 5 diffusion 0.538012280683 0.498281116547
4096 5 age 0.94739951673 0.959139320317
4096 5 X_c 0.927559527194 0.990088119856
4096 5 log_g 0.999946735285 0.999942210529
4096 5 L 0.995952285609 0.995303538521
4096 5 radius 0.995331577426 0.995377683908
4096 5 Y_surf 0.909235541857 0.94028615736
4096 5 mass_cc 0.784985881204 0.893786036134
4096 5 M 0.948866960525 0.964149451023
4096 5 Y 0.166194849055 0.518551690763
4096 5 Z 0.97804096274 0.983344594059
4096 5 alpha 0.197378357028 0.207050531377
4096 5 overshoot 0.473208956674 0.565262239318
4096 5 diffusion 0.509207121011 0.501342006617
4096 5 age 0.952519707332 0.959219456389
4096 5 X_c 0.929337390695 0.990237185279
4096 5 log_g 0.99993444047 0.999908149323
4096 5 L 0.995767347457 0.995089729563
4096 5 radius 0.994695829674 0.995402389529
4096 5 Y_surf 0.912308955443 0.940469434686
4096 5 mass_cc 0.773665229988 0.89445529152
4096 6 M 0.953041023904 0.964316840693
4096 6 Y 0.248613389438 0.504894560836
4096 6 Z 0.982891941439 0.983817469561
4096 6 alpha 0.212023098008 0.212574830553
4096 6 overshoot 0.524660879946 0.586984253355
4096 6 diffusion 0.476339432634 0.527967747809
4096 6 age 0.944336351437 0.959987405376
4096 6 X_c 0.946142607677 0.98730322586
4096 6 log_g 0.999785776299 0.999980339411
4096 6 L 0.99621764875 0.995624987968
4096 6 radius 0.994958627636 0.995687157931
4096 6 Y_surf 0.914907547768 0.941754925867
4096 6 mass_cc 0.811530656142 0.894408970185
4096 6 M 0.955659301437 0.963565393825
4096 6 Y 0.258895734963 0.501156073214
4096 6 Z 0.978552099679 0.984708724137
4096 6 alpha 0.198733821933 0.217053739226
4096 6 overshoot 0.482613420426 0.58845137976
4096 6 diffusion 0.433365522115 0.534841279874
4096 6 age 0.963116163972 0.957722835793
4096 6 X_c 0.945334754913 0.987389109602
4096 6 log_g 0.999959536324 0.999947483473
4096 6 L 0.996447834875 0.995530434004
4096 6 radius 0.995404063653 0.995502904503
4096 6 Y_surf 0.920218789189 0.940476314768
4096 6 mass_cc 0.821346310868 0.894710511595
4096 6 M 0.955882755385 0.963802187502
4096 6 Y 0.263144327969 0.502602319399
4096 6 Z 0.981362508168 0.983447973697
4096 6 alpha 0.207345731725 0.212656742662
4096 6 overshoot 0.529490700651 0.583282491298
4096 6 diffusion 0.530125164365 0.530085369685
4096 6 age 0.95659451455 0.958578395936
4096 6 X_c 0.945642942123 0.987249851744
4096 6 log_g 0.999994090537 0.999942610517
4096 6 L 0.996407435556 0.995403445746
4096 6 radius 0.995699175839 0.995431574236
4096 6 Y_surf 0.918336044335 0.940343782176
4096 6 mass_cc 0.826537841637 0.892496449729
4096 7 M 0.958085969674 0.964691933104
4096 7 Y 0.320322444952 0.494593412381
4096 7 Z 0.97930625912 0.985569214253
4096 7 alpha 0.180095868394 0.228984399923
4096 7 overshoot 0.55873413178 0.592650502121
4096 7 diffusion 0.456220832503 0.548543355813
4096 7 age 0.953789112451 0.959365697616
4096 7 X_c 0.956336673619 0.985193781578
4096 7 log_g 0.999477449317 0.999992521904
4096 7 L 0.996322328292 0.995785996741
4096 7 radius 0.993520006807 0.995793258008
4096 7 Y_surf 0.916977226708 0.942505288872
4096 7 mass_cc 0.842409921193 0.89563930709
4096 7 M 0.957472212013 0.9647244589
4096 7 Y 0.311546359677 0.495927948434
4096 7 Z 0.983758310831 0.984961279123
4096 7 alpha 0.199304810002 0.223804411957
4096 7 overshoot 0.545946088207 0.590197087178
4096 7 diffusion 0.470950559901 0.543890587178
4096 7 age 0.943042085547 0.961179897555
4096 7 X_c 0.956218675914 0.98524274472
4096 7 log_g 0.999800522183 0.999979869548
4096 7 L 0.99600215196 0.995770524628
4096 7 radius 0.99542682857 0.995847930078
4096 7 Y_surf 0.923087501949 0.943112641344
4096 7 mass_cc 0.839704793592 0.895745029712
4096 7 M 0.961132137452 0.964560384417
4096 7 Y 0.316872246323 0.494970619216
4096 7 Z 0.982844283125 0.984505173471
4096 7 alpha 0.22779334622 0.217524271387
4096 7 overshoot 0.559663374773 0.595399793855
4096 7 diffusion 0.539922873237 0.53858504918
4096 7 age 0.95260453379 0.960030430648
4096 7 X_c 0.955887912093 0.984670203437
4096 7 log_g 0.999992858954 0.999943388438
4096 7 L 0.996679918742 0.995821183802
4096 7 radius 0.996123108426 0.995569416039
4096 7 Y_surf 0.929964457728 0.941818905033
4096 7 mass_cc 0.850955392395 0.895349875927
4096 8 M 0.963106127985 0.96481474857
4096 8 Y 0.365931061859 0.490741747809
4096 8 Z 0.984481881853 0.985223165622
4096 8 alpha 0.229195922953 0.227537474101
4096 8 overshoot 0.598905825182 0.603618827777
4096 8 diffusion 0.444632527898 0.555160293881
4096 8 age 0.952332462147 0.959984410905
4096 8 X_c 0.963210694515 0.983421451306
4096 8 log_g 0.999942142356 0.999944966803
4096 8 L 0.996808166859 0.996032316887
4096 8 radius 0.996079227164 0.995781413142
4096 8 Y_surf 0.931130794462 0.942900292529
4096 8 mass_cc 0.869763040326 0.895684882692
4096 8 M 0.960963767494 0.964868581219
4096 8 Y 0.360985276504 0.491111932909
4096 8 Z 0.981673608617 0.985467526741
4096 8 alpha 0.225998685968 0.229391845119
