num_trees variable cv ev
2 L 0.988710409787 0.9887108194
2 radius 0.973239968821 0.973242869716
2 M 0.922261970904 0.922380976406
2 Y -0.00134568413741 -0.00134131689474
2 Z 0.947578360447 0.947930988349
2 alpha -0.0385589882817 -0.0349199912233
2 overshoot 0.400829260582 0.407972483488
2 diffusion 0.387021571503 0.387255965317
2 age 0.926243403278 0.926432592563
2 X_c 0.933532584289 0.933546746403
2 mass_cc 0.73279754034 0.734255133287
2 Y_surf 0.819845844292 0.81986734685
2 L 0.988488256758 0.988488777693
2 radius 0.970859808921 0.970907923748
2 M 0.924004281531 0.924141574624
2 Y -0.0042695373976 -0.00230775310182
2 Z 0.957006683433 0.957039820956
2 alpha -0.145996557102 -0.145976749729
2 overshoot 0.393785419171 0.39494789563
2 diffusion 0.272777632444 0.276991131493
2 age 0.954855776734 0.954859377559
2 X_c 0.937174538915 0.937316066163
2 mass_cc 0.756513997503 0.757091143157
2 Y_surf 0.816493887512 0.816596996639
2 L 0.989858393631 0.989888072793
2 radius 0.979674168399 0.979705923209
2 M 0.923812674637 0.923915305574
2 Y 0.00934325169944 0.0100609561868
2 Z 0.949045630112 0.949049300302
2 alpha -0.256002549845 -0.237090599476
2 overshoot 0.487541195477 0.488194597049
2 diffusion 0.40014351387 0.40147284223
2 age 0.925002383663 0.925566109244
2 X_c 0.939674671994 0.939676915627
2 mass_cc 0.782314080431 0.783186318549
2 Y_surf 0.788397509325 0.78850114682
2 L 0.988986199437 0.988987011364
2 radius 0.976122848582 0.97613601048
2 M 0.921985217773 0.9230581209
2 Y -0.0814690714519 -0.0707119659446
2 Z 0.956633186241 0.957060428935
2 alpha -0.184039018696 -0.17923961727
2 overshoot 0.368307573905 0.370701473556
2 diffusion 0.406731178031 0.413443030574
2 age 0.94622775856 0.946465829202
2 X_c 0.933886809262 0.933901096709
2 mass_cc 0.77492052971 0.776856299541
2 Y_surf 0.822526083855 0.822798412234
2 L 0.990586516681 0.99060305269
2 radius 0.976553698811 0.976722074243
2 M 0.92289365952 0.923551488066
2 Y -0.0343222866542 -0.0256074683145
2 Z 0.958797302093 0.958804731562
2 alpha -0.0502295136882 -0.0496834139153
2 overshoot 0.346768452712 0.347691999517
2 diffusion 0.354207968115 0.355763068881
2 age 0.950355625321 0.950441208879
2 X_c 0.934418001126 0.93441808322
2 mass_cc 0.756403389311 0.757205851679
2 Y_surf 0.816508502795 0.816615524228
2 L 0.989730726638 0.989746658643
