M Y Z alpha diffusion overshoot age X_c Y_surf
1.065630660156250853e+00 2.743031015625004287e-01 2.124390527343745713e-02 1.964598391601574789e+00 1.534357363281246278e-01 1.931458339843758754e-01 6.825678197888448651e+00 1.000220194839281512e-01 2.700116691592497897e-01
1.037995679687499617e+00 2.776568613281267250e-01 2.042399511718749616e-02 1.943769189453141255e+00 1.924886289062485711e-01 2.201105605468749171e-01 7.840600876248700501e+00 6.268540809972776573e-02 2.726056426644199449e-01
1.053309956054688357e+00 2.773857001953138890e-01 2.205160937500007245e-02 1.856682023437512319e+00 3.411798007812498201e-01 2.132276718749998856e-01 7.564957961134132880e+00 8.251888442314404826e-02 2.696895496084031341e-01
1.086085797851564783e+00 2.670061914062525910e-01 2.303369042968764213e-02 1.897238586914072878e+00 4.762031230468756759e-01 2.068972900390625702e-01 6.897130610682634000e+00 1.103741401224013485e-01 2.572861407469583250e-01
1.081806088867190097e+00 2.701424726562531853e-01 2.205438183593767462e-02 1.839214906250012938e+00 1.626098837890609661e-01 2.045894257812501116e-01 6.737114804833082893e+00 9.381784311521780551e-02 2.662122517283225798e-01
1.031733227539059383e+00 2.798200175781261345e-01 2.064993164062500081e-02 1.779214352539073341e+00 2.276783535156224891e-01 2.134893984375000053e-01 7.919021148088253526e+00 6.844239995966369672e-02 2.739209074915348041e-01
1.081205166992185829e+00 2.667154042968766792e-01 2.301764843750002398e-02 1.835926417968765545e+00 1.651623398437489509e-01 1.714427363281252337e-01 6.826509343148329023e+00 8.373176959296696475e-02 2.619177081722872114e-01
1.092115947265627662e+00 2.646580009765649444e-01 2.219816699218761166e-02 1.831741641601576820e+00 2.290731035156236273e-01 1.779391181640628539e-01 6.691952197011591608e+00 7.378519749226251923e-02 2.589148541133448611e-01
1.060823708984373281e+00 2.671084609375017904e-01 2.158539746093750961e-02 1.822000853515640451e+00 3.401005302734367297e-01 1.868094023437496809e-01 7.299153182905092407e+00 9.433725939045421727e-02 2.591631857549582807e-01
1.114293264648441140e+00 2.564828271484413946e-01 2.362524023437524018e-02 1.828143006835956985e+00 1.909496914062480677e-01 1.796678271484371536e-01 6.566633668744580987e+00 8.546788961075149627e-02 2.521811821443787349e-01
1.086380760742190699e+00 2.648122968750025730e-01 2.251955664062511506e-02 1.905172809570324199e+00 4.637942265625006888e-01 2.017318554687501930e-01 6.969449155613659741e+00 9.844869652686184802e-02 2.551258836695366461e-01
1.057025609374999231e+00 2.677746035156266524e-01 2.157577636718748665e-02 1.857171299804702080e+00 3.127497636718744589e-01 1.851491093749998706e-01 7.538964301215847819e+00 7.707214829548277024e-02 2.603677723707260028e-01
1.065889049804688682e+00 2.767140488281277788e-01 2.190836132812519141e-02 1.813625193359387211e+00 8.766346191406214350e-02 2.217569042968751958e-01 7.053246903170606430e+00 8.804917128789688241e-02 2.739893977015058768e-01
1.063271747070311690e+00 2.739097128906265444e-01 2.203230566406258820e-02 1.844633516601570822e+00 6.145658222656277259e-01 2.379086152343755922e-01 7.126551638460373539e+00 1.384782999296547412e-01 2.605087649901513536e-01
1.075710168945313683e+00 2.701617001953157127e-01 2.231295312500012132e-02 1.878183727539076031e+00 3.404250468750004699e-01 1.956918544921870118e-01 7.208117184823290557e+00 7.014634229203908777e-02 2.627579572654392126e-01
1.025075129882813130e+00 2.981117841796893653e-01 2.124852246093770006e-02 1.851299592773436586e+00 2.559529462890605123e-01 2.748096142578146939e-01 7.254078127081699634e+00 1.262945667088065382e-01 2.926029532171465775e-01
1.039814025390627394e+00 2.906154677734393843e-01 2.108306250000013468e-02 1.890694014648445220e+00 2.227645732421849045e-01 2.365272548828133703e-01 7.289854892300616562e+00 8.497209518524341532e-02 2.853726968992063018e-01
1.084757620117190458e+00 2.700834970703155369e-01 2.204834765625015083e-02 1.843543422851578129e+00 1.518459082031238805e-01 2.040797880859376578e-01 6.861230884993418044e+00 7.410734643571412206e-02 2.663989821926355805e-01
1.058579868164063464e+00 2.767825048828158052e-01 2.079801367187516375e-02 1.796497439453135003e+00 2.651385908203104380e-01 2.353857373046877866e-01 7.197858319422432594e+00 8.441114630366298999e-02 2.705844999051031374e-01
