M Y Z alpha diffusion overshoot age X_c Y_surf
1.021740357421876855e+00 2.782699023437504304e-01 2.317663867187484683e-02 1.886176035156268416e+00 7.176308222656261337e-01 1.503444746093749451e-01 4.288453296924296332e+00 3.747288558612151821e-01 2.648067434047047253e-01
1.007074833007815862e+00 2.724585195312499986e-01 1.947324121093734275e-02 1.917038252929709197e+00 7.922686035156235596e-01 1.546567373046877913e-01 4.370218079184089888e+00 3.739524021203392556e-01 2.565551837235505728e-01
1.014346403320315337e+00 2.747182519531250477e-01 2.123969726562485380e-02 1.925915052734394006e+00 9.163533564453109070e-01 1.580957177734376717e-01 4.337901791982683442e+00 3.739054220916278037e-01 2.579188778489564515e-01
1.014158751953126769e+00 2.754860781250002000e-01 2.167887792968735405e-02 1.913098976562517706e+00 8.987342880859359173e-01 1.547710439453126585e-01 4.339732341544404015e+00 3.743966854776884512e-01 2.593068227349821231e-01
1.007069570312502771e+00 2.718135253906246440e-01 1.943956835937485708e-02 1.904459166015646021e+00 7.951243124999989309e-01 1.544598759765626883e-01 4.331446257494161678e+00 3.795883007582582791e-01 2.560740509468210635e-01
1.013031463867189785e+00 2.733589511718746978e-01 2.056395898437485270e-02 1.887508685546894327e+00 8.296558623046853542e-01 1.551336308593750657e-01 4.258283413499179382e+00 3.828573784195481444e-01 2.574213948033922672e-01
1.010706215820315501e+00 2.730104482421874534e-01 2.045483105468734464e-02 1.909754926757831761e+00 8.396029218749979650e-01 1.582798417968751814e-01 4.387401186613861803e+00 3.748956208607592266e-01 2.569092153966052727e-01
1.003741282226565668e+00 2.725214765624998647e-01 1.918680859374984754e-02 1.913631845703146706e+00 7.769254501953113401e-01 1.545455722656252917e-01 4.412335722635176261e+00 3.723735328440144765e-01 2.568878961125343752e-01
1.014258209960939849e+00 2.743956728515624666e-01 2.120477929687485802e-02 1.921460675781268668e+00 9.331830126953102322e-01 1.563832812500001446e-01 4.337069365651248454e+00 3.738397266324414159e-01 2.573965576574908654e-01
1.016248168945314445e+00 2.736857666015622415e-01 2.078675781249984464e-02 1.885749863281269256e+00 8.659245878906229876e-01 1.509919414062501353e-01 4.153871831648869417e+00 3.863854298841801760e-01 2.573992464648497402e-01
1.013070733398439449e+00 2.761002187500002925e-01 2.183132910156234535e-02 1.914026296875017241e+00 8.615903271484367520e-01 1.554866044921875134e-01 4.391400040327829934e+00 3.722315348465486395e-01 2.603849826004383528e-01
1.014666549804689177e+00 2.747939023437500627e-01 2.133247363281235917e-02 1.916039750976580303e+00 8.799327324218744195e-01 1.557072509765626833e-01 4.312306103312860017e+00 3.757668340465065704e-01 2.587446010439526378e-01
1.013105276367189722e+00 2.778170898437504199e-01 2.248087109374982337e-02 1.913030900390643607e+00 7.725629999999995556e-01 1.550830986328124439e-01 4.460453901835659707e+00 3.667504708753763776e-01 2.633132122031557332e-01
9.964218603515644368e-01 2.727137832031246156e-01 1.834904492187486302e-02 1.920925761718770941e+00 7.138098681640613341e-01 1.489998398437501759e-01 4.517016008197965782e+00 3.645878106149652020e-01 2.581504443834308771e-01
1.012275949218752080e+00 2.744103798828124163e-01 2.113122070312484918e-02 1.920024918945330894e+00 9.167971464843729379e-01 1.576695546875001852e-01 4.366177231023823602e+00 3.743522647398335734e-01 2.576417190117905043e-01
1.011899897460939002e+00 2.759132080078126048e-01 2.168815332031234777e-02 1.912679590820329567e+00 8.632856816406240252e-01 1.558190224609375396e-01 4.398667502251318417e+00 3.726632557566846304e-01 2.602288462535986557e-01
1.013686780273438615e+00 2.747859667968746700e-01 2.122028515624985179e-02 1.896266741210955953e+00 9.032422558593729001e-01 1.561962714843751210e-01 4.280105369791378678e+00 3.806005809907294091e-01 2.582427577388935469e-01
1.014144801757813852e+00 2.757327910156252559e-01 2.177480468749985743e-02 1.905690594726579645e+00 8.836564794921857313e-01 1.521781318359377577e-01 4.345036544468824147e+00 3.739847073301397762e-01 2.597775134239195260e-01
1.015440958984378028e+00 2.742448437500000225e-01 2.102041308593736307e-02 1.925864748046894670e+00 8.913645664062491702e-01 1.570498935546877084e-01 4.301376820091854292e+00 3.753093963229681695e-01 2.577149588823445248e-01
1.013849331054688552e+00 2.747195068359373771e-01 2.129748535156236050e-02 1.910401507812517607e+00 8.951574951171855643e-01 1.539148916015627422e-01 4.319198256785970358e+00 3.758211346359467964e-01 2.584262001137622167e-01
1.019068020507814420e+00 2.774581103515629810e-01 2.295755957031232405e-02 1.889867228515643260e+00 7.138653144531255101e-01 1.486476542968750703e-01 4.388568288583795329e+00 3.700405621353726748e-01 2.639342855383963737e-01
1.023284123046876548e+00 2.782150429687506032e-01 2.316240332031234417e-02 1.884488626953142898e+00 6.938093671875008583e-01 1.485498447265624911e-01 4.260590208681392710e+00 3.744364399289974998e-01 2.651273144838829365e-01
1.009578402343753734e+00 2.724732685546874533e-01 1.975691210937485093e-02 1.917176418945333527e+00 7.858852490234363719e-01 1.556352753906251885e-01 4.334270949880396628e+00 3.764707189975037838e-01 2.568481345614914702e-01
1.013250123046876450e+00 2.757148925781252591e-01 2.169266406249984597e-02 1.915606541015641984e+00 8.889035039062483934e-01 1.560201855468751619e-01 4.373068449899410126e+00 3.735202506634636155e-01 2.596528883252090525e-01
1.004593469726566823e+00 2.734068974609372149e-01 1.974269531249985346e-02 1.918473529296896407e+00 7.907426347656231203e-01 1.557034111328125525e-01 4.468280004010713569e+00 3.689797063843245906e-01 2.574996626618566431e-01
9.917854951171859446e-01 2.704874833984373117e-01 1.734722949218738680e-02 1.923891885742208041e+00 6.737749238281235398e-01 1.510654091796876930e-01 4.586097884835725225e+00 3.643654925236306519e-01 2.564318360682786846e-01
1.000491088867190959e+00 2.722437607421871464e-01 1.899577832031234051e-02 1.914949105468773061e+00 7.175248076171860667e-01 1.564895175781249870e-01 4.529245120609636466e+00 3.674477330254929397e-01 2.572511042991096342e-01
1.012198370117188384e+00 2.759145566406251970e-01 2.180022070312484170e-02 1.900941529296891419e+00 8.763710292968732718e-01 1.524231171875002067e-01 4.388885470001522293e+00 3.736671214233621696e-01 2.601030086569683375e-01
1.009700605468753176e+00 2.731693320312499340e-01 2.035196484374984099e-02 1.917247348632831860e+00 8.258951728515608881e-01 1.592643242187501695e-01 4.389207030674335819e+00 3.744153757855279152e-01 2.572894178468542181e-01
1.019326170898439354e+00 2.770649755859378449e-01 2.229441992187486052e-02 1.909341968750017493e+00 8.550034755859369229e-01 1.543054160156249743e-01 4.258388451059829549e+00 3.756749824762820600e-01 2.613235137895785765e-01
1.016306009765626017e+00 2.764979511718752003e-01 2.201025292968736280e-02 1.901652733398454975e+00 8.998348564453118037e-01 1.523736367187500662e-01 4.277381621110133203e+00 3.771277062158330251e-01 2.603029987841697923e-01
1.003730540039066144e+00 2.735996923828121208e-01 1.991657714843735050e-02 1.905727312500021142e+00 7.616038642578107920e-01 1.557322158203125473e-01 4.494352653021398858e+00 3.697029743179289230e-01 2.582745341912823234e-01
1.010296793945315352e+00 2.733850224609371549e-01 2.045563183593735943e-02 1.895372564453144504e+00 7.855381210937484315e-01 1.568593583984377315e-01 4.365540743754317887e+00 3.767048803083277164e-01 2.580319316073600433e-01
1.012441494140627452e+00 2.737039414062496512e-01 2.074557714843736425e-02 1.895008973632831939e+00 8.438536992187483099e-01 1.556115966796876582e-01 4.312427515804523104e+00 3.788417977811139314e-01 2.577482755137568970e-01
